avg_total_amount,bkt_trip_distance,trip_distance_start,trip_distance_end
9.23714285663196,0,0.0,2981.095465503512
15.641397006121968,94,280222.97375733015,283204.06922283367
15.641396914436518,212,631992.2386867446,634973.3341522481
15.641397006121968,554,1651526.8878889456,1654507.9833544493
15.641397006121968,818,2438536.090781873,2441517.1862473763
15.64139562533909,1565,4665414.403512997,4668395.4989785
15.641394713985719,2683,7998279.133945923,8001260.229411426
15.641396960279243,470,1401114.8687866507,1404095.964252154
