avg_tip_percentage,bkt_total_amount,total_amount_start,total_amount_end
0.1202200451654326,26,-11.667104224286277,24.74569945939504
0.1022333533201592,29,97.57130682675768,133.98411051043888
0.10227179749875172,19,-266.5567300100554,-230.14392632637407
0.10227175165602254,54,1007.8913989187901,1044.3042026024714
0.10227178812191595,0,-958.4,-921.9871963163187
0.10227184438295638,22,-157.31831895901144,-120.90551527533012
0.10227146914844136,34,279.63532524516415,316.04812892884536
0.10227181384808161,50,862.2401841840648,898.6529878677462
0.10227178812191595,136,3993.7413009806564,4030.1541046643374
0.10227176696621451,57,1117.1298099698338,1153.5426136535152
0.1022708077380377,32,206.80971787780152,243.22252156148272
0.10227179509447229,43,607.3505583982957,643.7633620819771
0.10226999574121932,31,170.3969141941203,206.80971787780152
0.102271589015276,39,461.69934366357063,498.11214734725183
0.10227306338736555,25,-48.079907907967595,-11.667104224286277
0.10227176696385734,58,1153.5426136535152,1189.9554173371962
0.10074368509756518,27,24.74569945939504,61.15850314307636
0.10227178812191595,51,898.6529878677462,935.0657915514274
0.10227176696627248,56,1080.7170062861528,1117.1298099698338
0.10227172964776043,52,935.0657915514274,971.4785952351089
0.10227178812191595,246,7999.149706185599,8035.56250986928
0.10227170785102892,41,534.5249510309333,570.9377547146145
0.10135469178794645,28,61.15850314307636,97.57130682675768
0.10227173702788663,33,243.22252156148272,279.63532524516415
0.10227179749875172,48,789.4145768167024,825.8273805003836
0.10227180660014168,44,643.7633620819771,680.1761657656583
0.10227171984741623,61,1262.781024704559,1299.1938283882405
0.10227178163088958,37,388.873736296208,425.2865399798892
0.10227162548100621,49,825.8273805003836,862.2401841840648
0.10227170106682405,35,316.04812892884536,352.4609326125268
0.10227178812191595,66,1444.8450431229653,1481.2578468066467
0.10227178812191595,3082,111265.86095310576,111302.27375678944
0.10227178812191595,163,4976.887000440051,5013.299804123733
0.10227155674635054,36,352.4609326125268,388.873736296208
0.10227179749875172,18,-302.9695336937366,-266.5567300100554
0.10227178812191595,14,-448.6207484284618,-412.20794474478055
0.10227182562926936,21,-193.73112264269275,-157.31831895901144
0.10227176696385158,59,1189.9554173371962,1226.3682210208776
0.10227178812191595,15,-412.20794474478055,-375.79514106109923
0.1022711607315362,38,425.2865399798892,461.69934366357063
0.10226941462942189,30,133.98411051043888,170.3969141941203
0.10227176592218369,42,570.9377547146145,607.3505583982957
0.10227193815149463,23,-120.90551527533012,-84.4927115916488
0.1022717950944306,46,716.5889694493397,753.001773133021
0.10227185375980245,20,-230.14392632637407,-193.73112264269275
0.10227178812191595,109,3010.5956015212614,3047.0084052049424
0.10227172500770543,40,498.11214734725183,534.5249510309333
0.10227173456418229,53,971.4785952351089,1007.8913989187901
0.10227178812191595,47,753.001773133021,789.4145768167024
0.10227177934166898,45,680.1761657656583,716.5889694493397
0.10227494821292181,24,-84.4927115916488,-48.079907907967595
