avg_trip_distance,bkt_total_amount,total_amount_start,total_amount_end
16.018883090418683,26,-11.667104224286277,24.74569945939504
4.635009373205504,29,97.57130682675768,133.98411051043888
4.648198119439312,19,-266.5567300100554,-230.14392632637407
4.6481873656519,54,1007.8913989187901,1044.3042026024714
4.648197739109901,0,-958.4,-921.9871963163187
4.648200137527999,22,-157.31831895901144,-120.90551527533012
4.6478192588039695,34,279.63532524516415,316.04812892884536
4.648184000129575,50,862.2401841840648,898.6529878677462
4.648197721689665,136,3993.7413009806564,4030.1541046643374
4.648197740026755,57,1117.1298099698338,1153.5426136535152
4.647303585864461,32,206.80971787780152,243.22252156148272
4.648180779551834,43,607.3505583982957,643.7633620819771
4.646357541669697,31,170.3969141941203,206.80971787780152
4.64813167483592,39,461.69934366357063,498.11214734725183
4.648254338609339,25,-48.079907907967595,-11.667104224286277
4.648181365005392,58,1153.5426136535152,1189.9554173371962
3.2928625818970434,27,24.74569945939504,61.15850314307636
4.648196933194796,51,898.6529878677462,935.0657915514274
4.648196511441726,56,1080.7170062861528,1117.1298099698338
4.648195689443806,52,935.0657915514274,971.4785952351089
4.648197556655855,246,7999.149706185599,8035.56250986928
4.64819632299044,41,534.5249510309333,570.9377547146145
4.414956735659721,28,61.15850314307636,97.57130682675768
4.647511632431412,33,243.22252156148272,279.63532524516415
4.648196946782299,48,789.4145768167024,825.8273805003836
4.648198528191287,44,643.7633620819771,680.1761657656583
4.648198894602884,61,1262.781024704559,1299.1938283882405
4.648095829643109,37,388.873736296208,425.2865399798892
4.648198166198895,49,825.8273805003836,862.2401841840648
4.648000148531212,35,316.04812892884536,352.4609326125268
4.648197740026755,66,1444.8450431229653,1481.2578468066467
4.648197657509851,3082,111265.86095310576,111302.27375678944
4.648197740026755,163,4976.887000440051,5013.299804123733
4.64807618331221,36,352.4609326125268,388.873736296208
4.648198166198895,18,-302.9695336937366,-266.5567300100554
4.648197740026755,14,-448.6207484284618,-412.20794474478055
4.64819942454498,21,-193.73112264269275,-157.31831895901144
4.648180145588908,59,1189.9554173371962,1226.3682210208776
4.648197740026755,15,-412.20794474478055,-375.79514106109923
4.648129010336038,38,425.2865399798892,461.69934366357063
4.644122628226175,30,133.98411051043888,170.3969141941203
4.648181496115261,42,570.9377547146145,607.3505583982957
4.64820450102846,23,-120.90551527533012,-84.4927115916488
4.64818731030823,46,716.5889694493397,753.001773133021
4.648200603125362,20,-230.14392632637407,-193.73112264269275
4.648196153868471,109,3010.5956015212614,3047.0084052049424
4.648127932734809,40,498.11214734725183,534.5249510309333
4.648196153206925,53,971.4785952351089,1007.8913989187901
4.64819740079059,47,753.001773133021,789.4145768167024
4.648189176273676,45,680.1761657656583,716.5889694493397
4.648338120531148,24,-84.4927115916488,-48.079907907967595
