avg_passenger_count,bkt_trip_distance,trip_distance_start,trip_distance_end
1.5714285714285714,0,0.0,2981.095465503512
1.670846850824839,94,280222.97375733015,283204.06922283367
1.670846850824839,212,631992.2386867446,634973.3341522481
1.670846759139389,554,1651526.8878889456,1654507.9833544493
1.6708465757684892,818,2438536.090781873,2441517.1862473763
1.670846850824839,1565,4665414.403512997,4668395.4989785
1.670846850824839,2683,7998279.133945923,8001260.229411426
1.670846850824839,470,1401114.8687866507,1404095.964252154
