avg_trip_distance,bkt_tip_percentage,tip_percentage_start,tip_percentage_end
4.648197263262415,0,-79.3333333333,-79.244767663605
4.648743406285349,902,0.5529007315904124,0.6414664012854132
5.221193376497763,897,0.11007238311540846,0.19863805281040925
4.6481663860467854,907,0.9957290800654164,1.0842947497604172
4.6504061561948244,900,0.37576939220041083,0.4643350618954116
4.745395065836131,896,0.021506713420407664,0.11007238311540846
4.6489896925009395,901,0.4643350618954116,0.5529007315904124
4.648637856797563,903,0.6414664012854132,0.730032070980414
4.648371729392164,905,0.8185977406754148,0.9071634103704156
4.648305108398297,906,0.9071634103704156,0.9957290800654164
4.843909372005958,898,0.19863805281040925,0.28720372250541004
4.655618493767177,899,0.28720372250541004,0.37576939220041083
4.6484688381967745,904,0.730032070980414,0.8185977406754148
3.7070389164872743,895,-0.06705895627459313,0.021506713420407664
