avg_passenger_count,bkt_tip_percentage,tip_percentage_start,tip_percentage_end
1.670846850824839,0,-79.3333333333,-79.244767663605
1.6708461055051158,902,0.5529007315904124,0.6414664012854132
1.6897491676482805,897,0.11007238311540846,0.19863805281040925
1.6708491277381043,907,0.9957290800654164,1.0842947497604172
1.6709052480521607,900,0.37576939220041083,0.4643350618954116
1.6747627506459046,896,0.021506713420407664,0.11007238311540846
1.6708843448940225,901,0.4643350618954116,0.5529007315904124
1.6708632433834159,903,0.6414664012854132,0.730032070980414
1.6708565641013322,905,0.8185977406754148,0.9071634103704156
1.6708581303793664,906,0.9071634103704156,0.9957290800654164
1.6672222751422083,898,0.19863805281040925,0.28720372250541004
1.671092353465984,899,0.28720372250541004,0.37576939220041083
1.6708546137073421,904,0.730032070980414,0.8185977406754148
1.6529692908000848,895,-0.06705895627459313,0.021506713420407664
