avg_total_amount,bkt_tip_percentage,tip_percentage_start,tip_percentage_end
15.641397281178318,0,-79.3333333333,-79.244767663605
15.640311279038082,902,0.5529007315904124,0.6414664012854132
14.798783245591316,897,0.11007238311540846,0.19863805281040925
15.641035212715005,907,0.9957290800654164,1.0842947497604172
15.640556667485127,900,0.37576939220041083,0.4643350618954116
15.443211998864308,896,0.021506713420407664,0.11007238311540846
15.637864408032023,901,0.4643350618954116,0.5529007315904124
15.640504382807631,903,0.6414664012854132,0.730032070980414
15.639612692485676,905,0.8185977406754148,0.9071634103704156
15.638207855590803,906,0.9071634103704156,0.9957290800654164
15.343158116247764,898,0.19863805281040925,0.28720372250541004
15.643246958600457,899,0.28720372250541004,0.37576939220041083
15.64046131705756,904,0.730032070980414,0.8185977406754148
17.10949577591998,895,-0.06705895627459313,0.021506713420407664
