avg_tip_amount,bkt_total_amount,total_amount_start,total_amount_end
5.27332049875077,26,-11.667104224286277,24.74569945939504
1.73696771792121,29,97.57130682675768,133.98411051043888
1.7506635973448845,19,-266.5567300100554,-230.14392632637407
1.7506158860660606,54,1007.8913989187901,1044.3042026024714
1.7506634368345049,0,-958.4,-921.9871963163187
1.7506643998972244,22,-157.31831895901144,-120.90551527533012
1.7501563341816535,34,279.63532524516415,316.04812892884536
1.750645595141901,50,862.2401841840648,898.6529878677462
1.7506634368345049,136,3993.7413009806564,4030.1541046643374
1.7506393648196181,57,1117.1298099698338,1153.5426136535152
1.7495787549482649,32,206.80971787780152,243.22252156148272
1.7506509677923634,43,607.3505583982957,643.7633620819771
1.748591647113763,31,170.3969141941203,206.80971787780152
1.750418344593782,39,461.69934366357063,498.11214734725183
1.7506940060824008,25,-48.079907907967595,-11.667104224286277
1.7506390026620908,58,1153.5426136535152,1189.9554173371962
1.4538064902256644,27,24.74569945939504,61.15850314307636
1.7506634368345049,51,898.6529878677462,935.0657915514274
1.750639914932318,56,1080.7170062861528,1117.1298099698338
1.750581401438072,52,935.0657915514274,971.4785952351089
1.7506634368345049,246,7999.149706185599,8035.56250986928
1.7506036681725738,41,534.5249510309333,570.9377547146145
1.584147654527111,28,61.15850314307636,97.57130682675768
1.7500178543677722,33,243.22252156148272,279.63532524516415
1.7506635973448845,48,789.4145768167024,825.8273805003836
1.7506635744843602,44,643.7633620819771,680.1761657656583
1.7505269678197743,61,1262.781024704559,1299.1938283882405
1.7505053877809258,37,388.873736296208,425.2865399798892
1.7505169006115,49,825.8273805003836,862.2401841840648
1.7504072118461216,35,316.04812892884536,352.4609326125268
1.7506634368345049,66,1444.8450431229653,1481.2578468066467
1.7506634368345049,3082,111265.86095310576,111302.27375678944
1.7506634368345049,163,4976.887000440051,5013.299804123733
1.7503878452703572,36,352.4609326125268,388.873736296208
1.7506635973448845,18,-302.9695336937366,-266.5567300100554
1.7506634368345049,14,-448.6207484284618,-412.20794474478055
1.7506640788762002,21,-193.73112264269275,-157.31831895901144
1.7506377924141514,59,1189.9554173371962,1226.3682210208776
1.7506634368345049,15,-412.20794474478055,-375.79514106109923
1.7502161162358512,38,425.2865399798892,461.69934366357063
1.7469033537680123,30,133.98411051043888,170.3969141941203
1.7505900918202324,42,570.9377547146145,607.3505583982957
1.7506660050041114,23,-120.90551527533012,-84.4927115916488
1.7506481072055378,46,716.5889694493397,753.001773133021
1.7506848045681243,20,-230.14392632637407,-193.73112264269275
1.7506634368345049,109,3010.5956015212614,3047.0084052049424
1.7505637177638367,40,498.11214734725183,534.5249510309333
1.7505725639276155,53,971.4785952351089,1007.8913989187901
1.7506634368345049,47,753.001773133021,789.4145768167024
1.7506442499385289,45,680.1761657656583,716.5889694493397
1.7507418838237059,24,-84.4927115916488,-48.079907907967595
