avg_passenger_count,bkt_total_amount,total_amount_start,total_amount_end
1.6953386067334808,26,-11.667104224286277,24.74569945939504
1.6709339395034046,29,97.57130682675768,133.98411051043888
1.6708467289608233,19,-266.5567300100554,-230.14392632637407
1.6708468206462816,54,1007.8913989187901,1044.3042026024714
1.6708465757684892,0,-958.4,-921.9871963163187
1.6708470364954133,22,-157.31831895901144,-120.90551527533012
1.670850486398269,34,279.63532524516415,316.04812892884536
1.6708464248755208,50,862.2401841840648,898.6529878677462
1.670846850824839,136,3993.7413009806564,4030.1541046643374
1.670846667453939,57,1117.1298099698338,1153.5426136535152
1.670861356998689,32,206.80971787780152,243.22252156148272
1.6708467602891504,43,607.3505583982957,643.7633620819771
1.6708718447066646,31,170.3969141941203,206.80971787780152
1.6708464665509348,39,461.69934366357063,498.11214734725183
1.670846413953966,25,-48.079907907967595,-11.667104224286277
1.670846759139389,58,1153.5426136535152,1189.9554173371962
1.6674528345533328,27,24.74569945939504,61.15850314307636
1.670846850824839,51,898.6529878677462,935.0657915514274
1.670846667453939,56,1080.7170062861528,1117.1298099698338
1.6708467602891504,52,935.0657915514274,971.4785952351089
1.670846850824839,246,7999.149706185599,8035.56250986928
1.6708468519746256,41,534.5249510309333,570.9377547146145
1.6705166001639935,28,61.15850314307636,97.57130682675768
1.6708536207880458,33,243.22252156148272,279.63532524516415
1.6708468206462816,48,789.4145768167024,825.8273805003836
1.6708465154113183,44,643.7633620819771,680.1761657656583
1.67084682179606,61,1262.781024704559,1299.1938283882405
1.6708468367432356,37,388.873736296208,425.2865399798892
1.67084691233174,49,825.8273805003836,862.2401841840648
1.6708495999735944,35,316.04812892884536,352.4609326125268
1.670846850824839,66,1444.8450431229653,1481.2578468066467
1.670846850824839,3082,111265.86095310576,111302.27375678944
1.670846850824839,163,4976.887000440051,5013.299804123733
1.6708487678968658,36,352.4609326125268,388.873736296208
1.67084691233174,18,-302.9695336937366,-266.5567300100554
1.670846850824839,14,-448.6207484284618,-412.20794474478055
1.670847280223478,21,-193.73112264269275,-157.31831895901144
1.670846667453939,59,1189.9554173371962,1226.3682210208776
1.670846850824839,15,-412.20794474478055,-375.79514106109923
1.670847660765525,38,425.2865399798892,461.69934366357063
1.67091282577453,30,133.98411051043888,170.3969141941203
1.6708473440302856,42,570.9377547146145,607.3505583982957
1.6708468263951795,23,-120.90551527533012,-84.4927115916488
1.6708465769182,46,716.5889694493397,753.001773133021
1.6708470980023653,20,-230.14392632637407,-193.73112264269275
1.670846850824839,109,3010.5956015212614,3047.0084052049424
1.670846856573778,40,498.11214734725183,534.5249510309333
1.6708467301105763,53,971.4785952351089,1007.8913989187901
1.670846850824839,47,753.001773133021,789.4145768167024
1.6708467904677187,45,680.1761657656583,716.5889694493397
1.6708452990362919,24,-84.4927115916488,-48.079907907967595
