pickup_zone,avg_tip_percentage,bkt_trip_distance,val_start,val_end
21,0.572419774501,0,0E-12,2981.0954655035120
123,0.42119047619050004,0,0E-12,2981.0954655035120
32,0.24975292218215,0,0E-12,2981.0954655035120
190,0.230432402846,0,0E-12,2981.0954655035120
170,0.191538579996002,0,0E-12,2981.0954655035120
210,0.18458370531857143,0,0E-12,2981.0954655035120
1,0.18419067351133334,0,0E-12,2981.0954655035120
186,0.1789975788405,0,0E-12,2981.0954655035120
248,0.166666666667,1565,4665414.403512996280,4668395.4989784997920
124,0.1664616894905,0,0E-12,2981.0954655035120
168,0.15856885887161667,0,0E-12,2981.0954655035120
232,0.15038470178822222,0,0E-12,2981.0954655035120
78,0.14203899557528157,0,0E-12,2981.0954655035120
102,0.1332092856075,0,0E-12,2981.0954655035120
82,0.1287528501236,0,0E-12,2981.0954655035120
149,0.122129946263,0,0E-12,2981.0954655035120
137,0.12173527197149166,0,0E-12,2981.0954655035120
202,0.12055276194050002,0,0E-12,2981.0954655035120
217,0.11637190641033335,0,0E-12,2981.0954655035120
87,0.11481032950278756,0,0E-12,2981.0954655035120
171,0.11478698190759308,0,0E-12,2981.0954655035120
8,0.11319911629308042,0,0E-12,2981.0954655035120
64,0.11298743739132891,0,0E-12,2981.0954655035120
235,0.1127271764974077,0,0E-12,2981.0954655035120
51,0.1118383569599319,0,0E-12,2981.0954655035120
196,0.11174662376068915,0,0E-12,2981.0954655035120
172,0.11158855887203945,0,0E-12,2981.0954655035120
183,0.11110415743450001,0,0E-12,2981.0954655035120
248,0.11092746200106401,0,0E-12,2981.0954655035120
204,0.110770123023,0,0E-12,2981.0954655035120
106,0.11055965922397332,0,0E-12,2981.0954655035120
241,0.10914627544591213,0,0E-12,2981.0954655035120
75,0.10877079733203206,0,0E-12,2981.0954655035120
215,0.10852431241034075,0,0E-12,2981.0954655035120
60,0.10828512241758333,0,0E-12,2981.0954655035120
5,0.10804823499426429,0,0E-12,2981.0954655035120
44,0.10751065596125,0,0E-12,2981.0954655035120
85,0.10748787321538542,0,0E-12,2981.0954655035120
136,0.10726255110685297,0,0E-12,2981.0954655035120
145,0.10717362403895302,0,0E-12,2981.0954655035120
164,0.10712269077903101,0,0E-12,2981.0954655035120
30,0.1070569409699338,0,0E-12,2981.0954655035120
114,0.10695736013493284,0,0E-12,2981.0954655035120
36,0.10666470733258589,0,0E-12,2981.0954655035120
16,0.106224771617,0,0E-12,2981.0954655035120
179,0.10588224100643334,0,0E-12,2981.0954655035120
41,0.10543940343681638,0,0E-12,2981.0954655035120
139,0.1050295429008261,0,0E-12,2981.0954655035120
113,0.10390072150980613,0,0E-12,2981.0954655035120
226,0.10382146761504826,0,0E-12,2981.0954655035120
220,0.10361602495703595,0,0E-12,2981.0954655035120
92,0.10349098167748329,0,0E-12,2981.0954655035120
253,0.10335575116000201,0,0E-12,2981.0954655035120
154,0.10293573295754174,0,0E-12,2981.0954655035120
223,0.10192183289110525,0,0E-12,2981.0954655035120
153,0.10141870684244443,0,0E-12,2981.0954655035120
180,0.10136630641323119,0,0E-12,2981.0954655035120
-1,0.10091880740310592,0,0E-12,2981.0954655035120
22,0.1003145281572846,0,0E-12,2981.0954655035120
14,0.1001798740628889,0,0E-12,2981.0954655035120
240,0.09968301564243859,0,0E-12,2981.0954655035120
76,0.09964980149535714,0,0E-12,2981.0954655035120
191,0.09943410134129332,0,0E-12,2981.0954655035120
174,0.09908639340148423,0,0E-12,2981.0954655035120
117,0.0983333144566885,0,0E-12,2981.0954655035120
239,0.09828269034267875,0,0E-12,2981.0954655035120
119,0.09802559134236502,0,0E-12,2981.0954655035120
157,0.09795423448478217,0,0E-12,2981.0954655035120
105,0.09759827467610895,0,0E-12,2981.0954655035120
31,0.09609503023066193,0,0E-12,2981.0954655035120
255,0.09543507094357,0,0E-12,2981.0954655035120
141,0.09541725399874454,0,0E-12,2981.0954655035120
33,0.09527150705131683,0,0E-12,2981.0954655035120
68,0.09510184002384886,0,0E-12,2981.0954655035120
45,0.09471851870723978,0,0E-12,2981.0954655035120
197,0.09420812820763927,0,0E-12,2981.0954655035120
39,0.0932421554155435,0,0E-12,2981.0954655035120
229,0.09279110765289537,0,0E-12,2981.0954655035120
43,0.09278514191435158,0,0E-12,2981.0954655035120
165,0.09249002309714884,0,0E-12,2981.0954655035120
131,0.09242547411573455,0,0E-12,2981.0954655035120
49,0.09209793952810451,0,0E-12,2981.0954655035120
2,0.09076261697475,0,0E-12,2981.0954655035120
219,0.08995520514188884,0,0E-12,2981.0954655035120
228,0.08861296668885169,0,0E-12,2981.0954655035120
213,0.08847021658177391,0,0E-12,2981.0954655035120
122,0.08782369092159874,0,0E-12,2981.0954655035120
62,0.08780899275703716,0,0E-12,2981.0954655035120
61,0.0877524606419638,0,0E-12,2981.0954655035120
192,0.08773773788394859,0,0E-12,2981.0954655035120
243,0.08749871850642245,0,0E-12,2981.0954655035120
84,0.087450097126525,0,0E-12,2981.0954655035120
96,0.08678204418749383,0,0E-12,2981.0954655035120
236,0.0864790598770309,0,0E-12,2981.0954655035120
128,0.08534736529770769,0,0E-12,2981.0954655035120
10,0.08474263475117777,0,0E-12,2981.0954655035120
251,0.08315299632916087,0,0E-12,2981.0954655035120
15,0.08308984492105793,0,0E-12,2981.0954655035120
88,0.08261356871228749,0,0E-12,2981.0954655035120
112,0.081090166089025,0,0E-12,2981.0954655035120
74,0.08103306524292445,0,0E-12,2981.0954655035120
206,0.08052775594252347,0,0E-12,2981.0954655035120
25,0.07950009841911734,0,0E-12,2981.0954655035120
