pickup_zone,avg_tip_percentage,bkt_passenger_count,val_start,val_end
75,0.891089108911,6,7.949345031988974,9.2742358706538030
72,0.864197530864,5,6.624454193324145,7.9493450319889740
123,0.675714285714,0,0E-15,1.3248908386648290
21,0.572419774501,0,0E-15,1.3248908386648290
76,0.406504065041,3,3.974672515994487,5.2995633546593160
82,0.385508044808,1,1.324890838664829,2.6497816773296580
117,0.33555555555566663,6,7.949345031988974,9.2742358706538030
14,0.28418888356899996,1,1.324890838664829,2.6497816773296580
32,0.24975292218215,0,0E-15,1.3248908386648290
210,0.24175052077929998,0,0E-15,1.3248908386648290
170,0.2394232249950025,0,0E-15,1.3248908386648290
29,0.230769230769,2,2.649781677329658,3.9746725159944870
60,0.230769230769,1,1.324890838664829,2.6497816773296580
83,0.230748945148,1,1.324890838664829,2.6497816773296580
190,0.230432402846,0,0E-15,1.3248908386648290
28,0.22972972973,1,1.324890838664829,2.6497816773296580
5,0.20549706334833331,1,1.324890838664829,2.6497816773296580
215,0.200385356455,6,7.949345031988974,9.2742358706538030
184,0.200310559006,4,5.299563354659316,6.6244541933241450
44,0.200023862119,4,5.299563354659316,6.6244541933241450
41,0.2,5,6.624454193324145,7.9493450319889740
139,0.198275862069,1,1.324890838664829,2.6497816773296580
78,0.19010909598995454,0,0E-15,1.3248908386648290
1,0.18419067351133334,0,0E-15,1.3248908386648290
186,0.18075573684771426,0,0E-15,1.3248908386648290
247,0.17847466139113335,3,3.974672515994487,5.2995633546593160
102,0.17761238081,0,0E-15,1.3248908386648290
46,0.176991150442,4,5.299563354659316,6.6244541933241450
186,0.16669047279,1,1.324890838664829,2.6497816773296580
159,0.166688768068,4,5.299563354659316,6.6244541933241450
131,0.1666804780435,6,7.949345031988974,9.2742358706538030
210,0.166666666667,4,5.299563354659316,6.6244541933241450
8,0.166666666667,5,6.624454193324145,7.9493450319889740
18,0.166666666667,4,5.299563354659316,6.6244541933241450
123,0.166666666667,1,1.324890838664829,2.6497816773296580
99,0.166666666667,4,5.299563354659316,6.6244541933241450
183,0.166666666667,1,1.324890838664829,2.6497816773296580
146,0.166666666667,3,3.974672515994487,5.2995633546593160
184,0.166666666667,2,2.649781677329658,3.9746725159944870
194,0.166666666667,4,5.299563354659316,6.6244541933241450
26,0.166666666667,2,2.649781677329658,3.9746725159944870
124,0.1664616894905,0,0E-15,1.3248908386648290
204,0.165562913907,2,2.649781677329658,3.9746725159944870
168,0.15856885887161667,0,0E-15,1.3248908386648290
202,0.15499640820921431,0,0E-15,1.3248908386648290
44,0.15334584115066666,0,0E-15,1.3248908386648290
165,0.152522447468375,4,5.299563354659316,6.6244541933241450
232,0.15038470178822222,3,3.974672515994487,5.2995633546593160
196,0.14826450703351668,3,3.974672515994487,5.2995633546593160
248,0.141509433962,6,7.949345031988974,9.2742358706538030
2,0.140597539543,0,0E-15,1.3248908386648290
35,0.13996439697385715,4,5.299563354659316,6.6244541933241450
31,0.13860312322294738,2,2.649781677329658,3.9746725159944870
241,0.13853181114288848,0,0E-15,1.3248908386648290
13,0.1361337367756125,1,1.324890838664829,2.6497816773296580
165,0.13324667822087502,3,3.974672515994487,5.2995633546593160
251,0.13210709627166664,1,1.324890838664829,2.6497816773296580
117,0.130434782609,5,6.624454193324145,7.9493450319889740
97,0.12537511469921,2,2.649781677329658,3.9746725159944870
31,0.12476270588998847,1,1.324890838664829,2.6497816773296580
212,0.12458889803127272,2,2.649781677329658,3.9746725159944870
152,0.12395449963308,4,5.299563354659316,6.6244541933241450
137,0.12375999254916185,0,0E-15,1.3248908386648290
88,0.12322101726507144,2,2.649781677329658,3.9746725159944870
149,0.122129946263,0,0E-15,1.3248908386648290
134,0.1203085407469,4,5.299563354659316,6.6244541933241450
137,0.12025279145358048,4,5.299563354659316,6.6244541933241450
47,0.12019072282599999,1,1.324890838664829,2.6497816773296580
137,0.11935821302241241,3,3.974672515994487,5.2995633546593160
69,0.11913984199989999,1,1.324890838664829,2.6497816773296580
64,0.11819865560800533,4,5.299563354659316,6.6244541933241450
51,0.11808658848091536,4,5.299563354659316,6.6244541933241450
51,0.11795692917156889,2,2.649781677329658,3.9746725159944870
87,0.11676331240662706,4,5.299563354659316,6.6244541933241450
217,0.11637190641033335,0,0E-15,1.3248908386648290
87,0.11614150009584706,0,0E-15,1.3248908386648290
137,0.11608158975112984,1,1.324890838664829,2.6497816773296580
223,0.11597778517110714,0,0E-15,1.3248908386648290
171,0.11578104567900603,0,0E-15,1.3248908386648290
64,0.11575106479748097,0,0E-15,1.3248908386648290
171,0.1153879691062956,4,5.299563354659316,6.6244541933241450
50,0.1153846153845,2,2.649781677329658,3.9746725159944870
129,0.1153846153845,4,5.299563354659316,6.6244541933241450
8,0.1151740322959727,0,0E-15,1.3248908386648290
51,0.1145579685257536,3,3.974672515994487,5.2995633546593160
235,0.1141886260555218,0,0E-15,1.3248908386648290
8,0.11395121672998303,4,5.299563354659316,6.6244541933241450
172,0.11305212658552044,0,0E-15,1.3248908386648290
9,0.11296737600514285,4,5.299563354659316,6.6244541933241450
235,0.11282808369225321,4,5.299563354659316,6.6244541933241450
196,0.11267967932839834,0,0E-15,1.3248908386648290
137,0.11258700788336687,2,2.649781677329658,3.9746725159944870
171,0.11257987790067903,1,1.324890838664829,2.6497816773296580
51,0.1122344435562168,1,1.324890838664829,2.6497816773296580
248,0.11210652170537339,0,0E-15,1.3248908386648290
171,0.11193493581671969,3,3.974672515994487,5.2995633546593160
87,0.11172779088685837,1,1.324890838664829,2.6497816773296580
220,0.11143197037690344,2,2.649781677329658,3.9746725159944870
219,0.11141623074990716,4,5.299563354659316,6.6244541933241450
