pickup_zone,avg_tip_percentage,bkt_total_amount,val_start,val_end
210,0.998638220608,32,206.8097178778016,243.22252156148290
241,0.993390747046,40,498.1121473472520,534.52495103093330
248,0.992630309527,38,425.2865399798894,461.69934366357070
68,0.99053488884,38,425.2865399798894,461.69934366357070
199,0.989119683482,34,279.6353252451642,316.04812892884550
76,0.988593155894,27,24.7456994593951,61.15850314307640
158,0.987491770902,34,279.6353252451642,316.04812892884550
241,0.98643649815,33,243.2225215614829,279.63532524516420
75,0.950192862225,33,243.2225215614829,279.63532524516420
143,0.947155337737,39,461.6993436635707,498.11214734725200
228,0.944584382872,52,935.0657915514276,971.47859523510890
228,0.93808630394,49,825.8273805003837,862.24018418406500
69,0.93808630394,49,825.8273805003837,862.24018418406500
43,0.935997976221,37,388.8737362962081,425.28653997988940
137,0.883389650832,38,425.2865399798894,461.69934366357070
9,0.825627476882,34,279.6353252451642,316.04812892884550
32,0.776892430279,31,170.3969141941203,206.80971787780160
1,0.772002058672,31,170.3969141941203,206.80971787780160
31,0.7485044865405,29,97.5713068267577,133.98411051043900
41,0.748119015048,39,461.6993436635707,498.11214734725200
123,0.675714285714,34,279.6353252451642,316.04812892884550
21,0.572419774501,29,97.5713068267577,133.98411051043900
127,0.5551018834705,29,97.5713068267577,133.98411051043900
31,0.5,32,206.8097178778016,243.22252156148290
82,0.5,54,1007.8913989187902,1044.30420260247150
49,0.5,31,170.3969141941203,206.80971787780160
171,0.487646293888,30,133.9841105104390,170.39691419412030
127,0.4870489262785,32,206.8097178778016,243.22252156148290
170,0.474291056404,28,61.1585031430764,97.57130682675770
164,0.464561145795,33,243.2225215614829,279.63532524516420
143,0.456204379562,42,570.9377547146146,607.35055839829590
179,0.448028673835,27,24.7456994593951,61.15850314307640
248,0.4466033552295,32,206.8097178778016,243.22252156148290
239,0.44411721039585,38,425.2865399798894,461.69934366357070
157,0.442353319661,39,461.6993436635707,498.11214734725200
157,0.439311594203,32,206.8097178778016,243.22252156148290
85,0.432745457145,34,279.6353252451642,316.04812892884550
224,0.431034482759,28,61.1585031430764,97.57130682675770
144,0.42662116041,31,170.3969141941203,206.80971787780160
86,0.425873844918,39,461.6993436635707,498.11214734725200
