pickup_zone,avg_trip_distance,bkt_total_amount,val_start,val_end
116,42.22583102127101,26,-11.6671042242862,24.74569945939510
157,42.2,32,206.8097178778016,243.22252156148290
137,42.13333333333333,36,352.4609326125268,388.87373629620810
14,42.1,31,170.3969141941203,206.80971787780160
251,41.44,34,279.6353252451642,316.04812892884550
25,40.42,34,279.6353252451642,316.04812892884550
137,40.22454545454545,33,243.2225215614829,279.63532524516420
191,40.2,30,133.9841105104390,170.39691419412030
219,39.887692307692305,31,170.3969141941203,206.80971787780160
122,39.7,34,279.6353252451642,316.04812892884550
141,39.58,31,170.3969141941203,206.80971787780160
196,39.355000000000004,33,243.2225215614829,279.63532524516420
239,39.16875,33,243.2225215614829,279.63532524516420
81,39.0,27,24.7456994593951,61.15850314307640
229,38.675,32,206.8097178778016,243.22252156148290
74,38.57666666666667,32,206.8097178778016,243.22252156148290
114,38.504999999999995,32,206.8097178778016,243.22252156148290
196,38.00333333333334,32,206.8097178778016,243.22252156148290
87,37.95,33,243.2225215614829,279.63532524516420
143,37.84,32,206.8097178778016,243.22252156148290
159,37.79,31,170.3969141941203,206.80971787780160
55,37.785,29,97.5713068267577,133.98411051043900
148,37.46,31,170.3969141941203,206.80971787780160
196,37.24,31,170.3969141941203,206.80971787780160
20,37.05,33,243.2225215614829,279.63532524516420
197,36.77,32,206.8097178778016,243.22252156148290
31,36.6,32,206.8097178778016,243.22252156148290
117,36.54375,33,243.2225215614829,279.63532524516420
131,36.454360902255644,31,170.3969141941203,206.80971787780160
226,36.31,33,243.2225215614829,279.63532524516420
31,36.05,30,133.9841105104390,170.39691419412030
199,35.88999999999999,31,170.3969141941203,206.80971787780160
58,35.6,33,243.2225215614829,279.63532524516420
226,35.4,30,133.9841105104390,170.39691419412030
6,35.295,31,170.3969141941203,206.80971787780160
164,35.245000000000005,32,206.8097178778016,243.22252156148290
183,34.8,35,316.0481289288455,352.46093261252680
41,34.784285714285716,33,243.2225215614829,279.63532524516420
58,34.7,31,170.3969141941203,206.80971787780160
34,34.62,30,133.9841105104390,170.39691419412030
137,34.5969387755102,32,206.8097178778016,243.22252156148290
78,34.56,30,133.9841105104390,170.39691419412030
41,34.46,39,461.6993436635707,498.11214734725200
123,34.4,34,279.6353252451642,316.04812892884550
117,34.314,34,279.6353252451642,316.04812892884550
70,34.01263157894737,32,206.8097178778016,243.22252156148290
248,33.97,32,206.8097178778016,243.22252156148290
136,33.92,32,206.8097178778016,243.22252156148290
215,33.906,31,170.3969141941203,206.80971787780160
239,33.005,32,206.8097178778016,243.22252156148290
85,32.884,31,170.3969141941203,206.80971787780160
154,32.61857142857143,34,279.6353252451642,316.04812892884550
85,32.4875,32,206.8097178778016,243.22252156148290
183,32.47,34,279.6353252451642,316.04812892884550
35,32.45666666666667,29,97.5713068267577,133.98411051043900
65,32.1,30,133.9841105104390,170.39691419412030
229,32.083888888888886,31,170.3969141941203,206.80971787780160
150,31.915,30,133.9841105104390,170.39691419412030
69,31.6,31,170.3969141941203,206.80971787780160
117,31.49333333333333,32,206.8097178778016,243.22252156148290
8,31.485,33,243.2225215614829,279.63532524516420
70,31.389722222222222,31,170.3969141941203,206.80971787780160
131,31.32556591211718,30,133.9841105104390,170.39691419412030
147,31.17,28,61.1585031430764,97.57130682675770
128,31.158000000000005,31,170.3969141941203,206.80971787780160
137,31.148203125000002,31,170.3969141941203,206.80971787780160
74,31.0,31,170.3969141941203,206.80971787780160
86,30.970000000000002,30,133.9841105104390,170.39691419412030
210,30.9,32,206.8097178778016,243.22252156148290
41,30.6,34,279.6353252451642,316.04812892884550
253,30.415,30,133.9841105104390,170.39691419412030
74,30.236,29,97.5713068267577,133.98411051043900
97,30.14,33,243.2225215614829,279.63532524516420
91,30.0,32,206.8097178778016,243.22252156148290
