pickup_zone,avg_passenger_count,bkt_trip_distance,val_start,val_end
232,5.0,0,0E-12,2981.0954655035120
116,4.0,818,2438536.090781872816,2441517.1862473763280
48,3.6153846153846154,0,0E-12,2981.0954655035120
107,3.0,0,0E-12,2981.0954655035120
167,3.0,0,0E-12,2981.0954655035120
44,2.625,0,0E-12,2981.0954655035120
189,2.5,0,0E-12,2981.0954655035120
222,2.4390243902439024,0,0E-12,2981.0954655035120
83,2.375,0,0E-12,2981.0954655035120
146,2.25,0,0E-12,2981.0954655035120
76,2.142857142857143,0,0E-12,2981.0954655035120
5,2.142857142857143,0,0E-12,2981.0954655035120
156,2.130434782608696,0,0E-12,2981.0954655035120
28,2.1153846153846154,0,0E-12,2981.0954655035120
143,2.0,554,1651526.887888945648,1654507.9833544491600
38,2.0,0,0E-12,2981.0954655035120
2,2.0,0,0E-12,2981.0954655035120
102,2.0,0,0E-12,2981.0954655035120
16,2.0,0,0E-12,2981.0954655035120
249,1.925531914893617,0,0E-12,2981.0954655035120
54,1.9,0,0E-12,2981.0954655035120
78,1.894736842105263,0,0E-12,2981.0954655035120
14,1.8888888888888888,0,0E-12,2981.0954655035120
163,1.879746835443038,0,0E-12,2981.0954655035120
95,1.8571428571428572,0,0E-12,2981.0954655035120
53,1.8485804416403786,0,0E-12,2981.0954655035120
26,1.8461538461538463,0,0E-12,2981.0954655035120
151,1.7907801418439717,0,0E-12,2981.0954655035120
17,1.7894736842105263,0,0E-12,2981.0954655035120
58,1.7875647668393781,0,0E-12,2981.0954655035120
197,1.7862068965517242,0,0E-12,2981.0954655035120
0,1.7727272727272727,0,0E-12,2981.0954655035120
144,1.7673469387755103,0,0E-12,2981.0954655035120
39,1.7621393892612125,0,0E-12,2981.0954655035120
160,1.7588235294117647,0,0E-12,2981.0954655035120
141,1.750945312940911,0,0E-12,2981.0954655035120
225,1.75,0,0E-12,2981.0954655035120
60,1.75,0,0E-12,2981.0954655035120
67,1.75,0,0E-12,2981.0954655035120
112,1.75,0,0E-12,2981.0954655035120
125,1.75,0,0E-12,2981.0954655035120
29,1.7380952380952381,0,0E-12,2981.0954655035120
181,1.7378640776699028,0,0E-12,2981.0954655035120
64,1.7339548225170311,0,0E-12,2981.0954655035120
212,1.7272727272727273,0,0E-12,2981.0954655035120
137,1.72397085149365,0,0E-12,2981.0954655035120
92,1.7225519287833828,0,0E-12,2981.0954655035120
150,1.7217589082638363,0,0E-12,2981.0954655035120
145,1.7206445640224497,0,0E-12,2981.0954655035120
118,1.7172131147540983,0,0E-12,2981.0954655035120
244,1.7105263157894737,0,0E-12,2981.0954655035120
172,1.709783206778915,0,0E-12,2981.0954655035120
33,1.7057926829268293,0,0E-12,2981.0954655035120
255,1.7054263565891472,0,0E-12,2981.0954655035120
175,1.705128205128205,0,0E-12,2981.0954655035120
131,1.7033166577019982,0,0E-12,2981.0954655035120
86,1.7012644889357218,0,0E-12,2981.0954655035120
97,1.7009803921568627,0,0E-12,2981.0954655035120
82,1.7,0,0E-12,2981.0954655035120
253,1.6968579738642415,0,0E-12,2981.0954655035120
229,1.6956836960759145,0,0E-12,2981.0954655035120
75,1.6947024601713363,0,0E-12,2981.0954655035120
147,1.6944444444444444,0,0E-12,2981.0954655035120
237,1.6887417218543046,0,0E-12,2981.0954655035120
43,1.6885081846124521,0,0E-12,2981.0954655035120
56,1.6862745098039216,0,0E-12,2981.0954655035120
116,1.6850107347850851,0,0E-12,2981.0954655035120
248,1.684635324923889,0,0E-12,2981.0954655035120
36,1.683841218925421,0,0E-12,2981.0954655035120
171,1.6814984804316815,0,0E-12,2981.0954655035120
8,1.6808607695358984,0,0E-12,2981.0954655035120
25,1.6801405975395431,0,0E-12,2981.0954655035120
215,1.6801191753292077,0,0E-12,2981.0954655035120
117,1.6796256955350928,0,0E-12,2981.0954655035120
220,1.679463459759482,0,0E-12,2981.0954655035120
51,1.679206914082359,0,0E-12,2981.0954655035120
114,1.6789042189826007,0,0E-12,2981.0954655035120
65,1.6787291636985326,0,0E-12,2981.0954655035120
259,1.6752544119541415,0,0E-12,2981.0954655035120
85,1.675070402154918,0,0E-12,2981.0954655035120
154,1.6750617407243273,0,0E-12,2981.0954655035120
30,1.6734894529853415,0,0E-12,2981.0954655035120
106,1.6722188993928546,0,0E-12,2981.0954655035120
245,1.671744556330149,0,0E-12,2981.0954655035120
45,1.6679621083313092,0,0E-12,2981.0954655035120
235,1.6675101297369812,0,0E-12,2981.0954655035120
227,1.6667703795892967,0,0E-12,2981.0954655035120
204,1.6666666666666667,0,0E-12,2981.0954655035120
195,1.6666666666666667,0,0E-12,2981.0954655035120
224,1.6666666666666667,0,0E-12,2981.0954655035120
87,1.6665150210408306,0,0E-12,2981.0954655035120
136,1.6661447483070826,0,0E-12,2981.0954655035120
191,1.6654029998351738,0,0E-12,2981.0954655035120
221,1.6653992395437263,0,0E-12,2981.0954655035120
157,1.6636748214965194,0,0E-12,2981.0954655035120
240,1.6634925591647285,0,0E-12,2981.0954655035120
46,1.6622516556291391,0,0E-12,2981.0954655035120
236,1.6616465863453815,0,0E-12,2981.0954655035120
72,1.660375611963632,0,0E-12,2981.0954655035120
239,1.6596271081075662,0,0E-12,2981.0954655035120
198,1.6590189873417722,0,0E-12,2981.0954655035120
223,1.6578947368421053,0,0E-12,2981.0954655035120
41,1.6576186008499842,0,0E-12,2981.0954655035120
70,1.656367746797287,0,0E-12,2981.0954655035120
180,1.655384349030471,0,0E-12,2981.0954655035120
127,1.6551212271152895,0,0E-12,2981.0954655035120
