pickup_zone,avg_trip_distance,bkt_passenger_count,val_start,val_end
116,498.5078025995128,3,3.974672515994487,5.2995633546593160
143,383.11626005054006,1,1.324890838664829,2.6497816773296580
82,67.13333333333333,1,1.324890838664829,2.6497816773296580
5,66.14999999999999,1,1.324890838664829,2.6497816773296580
143,62.61505248226993,0,0E-15,1.3248908386648290
14,53.94,1,1.324890838664829,2.6497816773296580
248,50.28622157703671,0,0E-15,1.3248908386648290
123,34.4,0,0E-15,1.3248908386648290
183,32.47,1,1.324890838664829,2.6497816773296580
83,28.11,1,1.324890838664829,2.6497816773296580
131,26.015,6,7.949345031988974,9.2742358706538030
78,22.912,1,1.324890838664829,2.6497816773296580
148,19.463333333333335,0,0E-15,1.3248908386648290
159,18.4,4,5.299563354659316,6.6244541933241450
186,17.59,1,1.324890838664829,2.6497816773296580
222,17.4,1,1.324890838664829,2.6497816773296580
125,16.53,3,3.974672515994487,5.2995633546593160
131,16.34531147698822,1,1.324890838664829,2.6497816773296580
131,16.107629679983287,3,3.974672515994487,5.2995633546593160
131,16.067302618816687,2,2.649781677329658,3.9746725159944870
21,16.06,0,0E-15,1.3248908386648290
131,15.983345752608043,4,5.299563354659316,6.6244541933241450
186,15.971428571428572,0,0E-15,1.3248908386648290
38,15.85,3,3.974672515994487,5.2995633546593160
131,15.688468799410439,0,0E-15,1.3248908386648290
44,15.344999999999999,4,5.299563354659316,6.6244541933241450
90,15.235000000000003,0,0E-15,1.3248908386648290
221,14.876,4,5.299563354659316,6.6244541933241450
84,14.74,2,2.649781677329658,3.9746725159944870
90,14.590000000000002,1,1.324890838664829,2.6497816773296580
221,14.430666666666665,2,2.649781677329658,3.9746725159944870
219,14.400298013245036,1,1.324890838664829,2.6497816773296580
183,14.309999999999999,0,0E-15,1.3248908386648290
137,14.3,6,7.949345031988974,9.2742358706538030
14,14.049999999999999,2,2.649781677329658,3.9746725159944870
6,13.96,6,7.949345031988974,9.2742358706538030
219,13.787678571428573,4,5.299563354659316,6.6244541933241450
219,13.404642857142857,3,3.974672515994487,5.2995633546593160
41,13.379999999999999,6,7.949345031988974,9.2742358706538030
195,13.25,0,0E-15,1.3248908386648290
219,13.235365853658536,2,2.649781677329658,3.9746725159944870
176,13.19,0,0E-15,1.3248908386648290
258,13.15,0,0E-15,1.3248908386648290
219,12.754791174152874,0,0E-15,1.3248908386648290
137,12.55,5,6.624454193324145,7.9493450319889740
221,12.549024390243902,1,1.324890838664829,2.6497816773296580
223,12.54,4,5.299563354659316,6.6244541933241450
128,12.363427230046952,1,1.324890838664829,2.6497816773296580
128,12.139799999999997,4,5.299563354659316,6.6244541933241450
83,12.086000000000002,0,0E-15,1.3248908386648290
78,11.987272727272728,0,0E-15,1.3248908386648290
128,11.925166666666668,3,3.974672515994487,5.2995633546593160
25,11.869565217391301,2,2.649781677329658,3.9746725159944870
34,11.786666666666667,2,2.649781677329658,3.9746725159944870
128,11.781627906976743,2,2.649781677329658,3.9746725159944870
76,11.625,4,5.299563354659316,6.6244541933241450
128,11.591999999999995,0,0E-15,1.3248908386648290
5,11.51,3,3.974672515994487,5.2995633546593160
221,11.422857142857143,3,3.974672515994487,5.2995633546593160
0,11.065,2,2.649781677329658,3.9746725159944870
146,11.05,3,3.974672515994487,5.2995633546593160
92,11.03551020408163,1,1.324890838664829,2.6497816773296580
222,10.99,2,2.649781677329658,3.9746725159944870
81,10.925,0,0E-15,1.3248908386648290
32,10.899999999999999,0,0E-15,1.3248908386648290
92,10.818,2,2.649781677329658,3.9746725159944870
122,10.805625,1,1.324890838664829,2.6497816773296580
221,10.776187845303868,0,0E-15,1.3248908386648290
50,10.719999999999999,2,2.649781677329658,3.9746725159944870
204,10.7,0,0E-15,1.3248908386648290
78,10.59,4,5.299563354659316,6.6244541933241450
34,10.557435897435898,0,0E-15,1.3248908386648290
4,10.43,0,0E-15,1.3248908386648290
78,10.234285714285715,2,2.649781677329658,3.9746725159944870
208,10.204545454545455,0,0E-15,1.3248908386648290
88,10.104285714285718,2,2.649781677329658,3.9746725159944870
92,9.96782515991471,0,0E-15,1.3248908386648290
92,9.913818181818181,3,3.974672515994487,5.2995633546593160
34,9.911428571428571,1,1.324890838664829,2.6497816773296580
7,9.876,1,1.324890838664829,2.6497816773296580
137,9.849114246313786,2,2.649781677329658,3.9746725159944870
34,9.809999999999999,3,3.974672515994487,5.2995633546593160
137,9.791837026069478,1,1.324890838664829,2.6497816773296580
137,9.738973836823227,3,3.974672515994487,5.2995633546593160
137,9.661073329407147,0,0E-15,1.3248908386648290
14,9.657499999999999,0,0E-15,1.3248908386648290
137,9.640752354452047,4,5.299563354659316,6.6244541933241450
174,9.55,3,3.974672515994487,5.2995633546593160
129,9.515,4,5.299563354659316,6.6244541933241450
229,9.42,6,7.949345031988974,9.2742358706538030
213,9.31,3,3.974672515994487,5.2995633546593160
199,9.254761904761905,2,2.649781677329658,3.9746725159944870
251,9.184310344827585,0,0E-15,1.3248908386648290
247,9.1,3,3.974672515994487,5.2995633546593160
25,9.06375,4,5.299563354659316,6.6244541933241450
50,9.01375,1,1.324890838664829,2.6497816773296580
122,8.931346153846153,0,0E-15,1.3248908386648290
