pickup_zone,avg_total_amount,bkt_passenger_count,val_start,val_end
82,503.7733333333333,1,1.324890838664829,2.6497816773296580
5,383.3833333333334,1,1.324890838664829,2.6497816773296580
183,296.16,1,1.324890838664829,2.6497816773296580
123,280.0,0,0E-15,1.3248908386648290
14,230.96499999999997,1,1.324890838664829,2.6497816773296580
107,180.8,0,0E-15,1.3248908386648290
82,176.55,2,2.649781677329658,3.9746725159944870
32,130.7575,0,0E-15,1.3248908386648290
183,128.76000000000002,0,0E-15,1.3248908386648290
131,120.71000000000001,6,7.949345031988974,9.2742358706538030
109,116.56599999999999,2,2.649781677329658,3.9746725159944870
21,115.3,0,0E-15,1.3248908386648290
2,113.8,0,0E-15,1.3248908386648290
6,101.84,6,7.949345031988974,9.2742358706538030
137,98.84,6,7.949345031988974,9.2742358706538030
16,94.14,1,1.324890838664829,2.6497816773296580
124,94.125,0,0E-15,1.3248908386648290
142,93.3,2,2.649781677329658,3.9746725159944870
137,92.34,5,6.624454193324145,7.9493450319889740
190,91.35,0,0E-15,1.3248908386648290
8,90.96,5,6.624454193324145,7.9493450319889740
258,90.3,0,0E-15,1.3248908386648290
78,89.03200000000001,1,1.324890838664829,2.6497816773296580
155,88.6029411764706,2,2.649781677329658,3.9746725159944870
83,87.77000000000001,0,0E-15,1.3248908386648290
148,86.16000000000001,0,0E-15,1.3248908386648290
178,83.48466666666668,2,2.649781677329658,3.9746725159944870
1,82.715,0,0E-15,1.3248908386648290
225,82.3,1,1.324890838664829,2.6497816773296580
149,81.88,0,0E-15,1.3248908386648290
78,81.01714285714286,2,2.649781677329658,3.9746725159944870
41,80.55,6,7.949345031988974,9.2742358706538030
195,80.3,2,2.649781677329658,3.9746725159944870
195,78.815,0,0E-15,1.3248908386648290
5,77.35333333333334,3,3.974672515994487,5.2995633546593160
83,75.84,1,1.324890838664829,2.6497816773296580
215,75.8,5,6.624454193324145,7.9493450319889740
159,75.41,4,5.299563354659316,6.6244541933241450
2,73.3,2,2.649781677329658,3.9746725159944870
205,70.8,1,1.324890838664829,2.6497816773296580
186,70.01,1,1.324890838664829,2.6497816773296580
131,70.0,5,6.624454193324145,7.9493450319889740
142,69.55000000000001,1,1.324890838664829,2.6497816773296580
92,65.6615306122449,1,1.324890838664829,2.6497816773296580
178,65.53315789473683,1,1.324890838664829,2.6497816773296580
221,65.11066666666667,2,2.649781677329658,3.9746725159944870
199,64.61803149606303,1,1.324890838664829,2.6497816773296580
219,64.18529801324507,1,1.324890838664829,2.6497816773296580
25,64.03478260869565,2,2.649781677329658,3.9746725159944870
38,63.92,3,3.974672515994487,5.2995633546593160
14,63.3475,0,0E-15,1.3248908386648290
196,63.25266666666667,3,3.974672515994487,5.2995633546593160
229,63.06666666666666,6,7.949345031988974,9.2742358706538030
78,62.269545454545465,0,0E-15,1.3248908386648290
88,60.714999999999996,2,2.649781677329658,3.9746725159944870
78,59.800000000000004,3,3.974672515994487,5.2995633546593160
44,59.150000000000006,4,5.299563354659316,6.6244541933241450
196,59.03047058823528,1,1.324890838664829,2.6497816773296580
-1,58.48571428571428,5,6.624454193324145,7.9493450319889740
222,58.34,1,1.324890838664829,2.6497816773296580
-1,58.28866666666667,6,7.949345031988974,9.2742358706538030
92,58.25327272727272,3,3.974672515994487,5.2995633546593160
221,58.248000000000005,4,5.299563354659316,6.6244541933241450
219,57.942321428571425,4,5.299563354659316,6.6244541933241450
92,57.79718550106614,0,0E-15,1.3248908386648290
131,57.17119680339157,1,1.324890838664829,2.6497816773296580
196,56.2,4,5.299563354659316,6.6244541933241450
131,55.94470126091014,2,2.649781677329658,3.9746725159944870
131,55.88449173812971,3,3.974672515994487,5.2995633546593160
131,55.69020864381446,4,5.299563354659316,6.6244541933241450
128,55.5341079812207,1,1.324890838664829,2.6497816773296580
196,55.44444444444445,2,2.649781677329658,3.9746725159944870
219,55.33992119779338,0,0E-15,1.3248908386648290
131,55.16920842395189,0,0E-15,1.3248908386648290
178,54.883125,3,3.974672515994487,5.2995633546593160
219,54.779268292682936,2,2.649781677329658,3.9746725159944870
219,54.51330357142858,3,3.974672515994487,5.2995633546593160
145,54.449999999999996,6,7.949345031988974,9.2742358706538030
241,54.13653846153847,0,0E-15,1.3248908386648290
128,54.0584,4,5.299563354659316,6.6244541933241450
128,54.01616279069768,2,2.649781677329658,3.9746725159944870
90,53.48749999999999,0,0E-15,1.3248908386648290
128,53.231364902506854,0,0E-15,1.3248908386648290
92,52.9988,2,2.649781677329658,3.9746725159944870
208,52.71981818181817,0,0E-15,1.3248908386648290
128,52.66466666666671,3,3.974672515994487,5.2995633546593160
50,52.31,3,3.974672515994487,5.2995633546593160
222,51.8,2,2.649781677329658,3.9746725159944870
196,51.50134969325158,0,0E-15,1.3248908386648290
170,51.445,0,0E-15,1.3248908386648290
189,51.38,3,3.974672515994487,5.2995633546593160
125,50.8,3,3.974672515994487,5.2995633546593160
221,50.36110497237572,0,0E-15,1.3248908386648290
213,50.18,3,3.974672515994487,5.2995633546593160
221,50.06365853658537,1,1.324890838664829,2.6497816773296580
194,49.673333333333325,2,2.649781677329658,3.9746725159944870
34,49.06285714285714,1,1.324890838664829,2.6497816773296580
154,48.449999999999996,5,6.624454193324145,7.9493450319889740
13,48.2525,1,1.324890838664829,2.6497816773296580
14,48.21666666666666,2,2.649781677329658,3.9746725159944870
82,48.199999999999996,0,0E-15,1.3248908386648290
92,47.99962962962964,4,5.299563354659316,6.6244541933241450
50,47.99250000000001,1,1.324890838664829,2.6497816773296580
174,47.53666666666666,1,1.324890838664829,2.6497816773296580
10,47.083333333333336,0,0E-15,1.3248908386648290
67,47.0575,0,0E-15,1.3248908386648290
186,46.97571428571429,0,0E-15,1.3248908386648290
122,46.75812500000001,1,1.324890838664829,2.6497816773296580
90,46.63333333333333,1,1.324890838664829,2.6497816773296580
122,46.58403846153846,0,0E-15,1.3248908386648290
221,46.55952380952382,3,3.974672515994487,5.2995633546593160
34,44.88717948717949,0,0E-15,1.3248908386648290
77,44.125,0,0E-15,1.3248908386648290
97,43.97035714285714,1,1.324890838664829,2.6497816773296580
223,43.8,4,5.299563354659316,6.6244541933241450
84,43.8,2,2.649781677329658,3.9746725159944870
199,43.73809523809524,2,2.649781677329658,3.9746725159944870
34,42.7,3,3.974672515994487,5.2995633546593160
178,42.65616766467067,0,0E-15,1.3248908386648290
25,42.23625,4,5.299563354659316,6.6244541933241450
