pickup_zone,avg_tip_amount,bkt_passenger_count,val_start,val_end
38,4.483333333333333,0,0E-15,1.3248908386648290
77,4.456666666666667,0,0E-15,1.3248908386648290
221,4.224,4,5.299563354659316,6.6244541933241450
156,4.21,2,2.649781677329658,3.9746725159944870
7,4.128,1,1.324890838664829,2.6497816773296580
19,4.107142857142857,3,3.974672515994487,5.2995633546593160
122,4.032115384615385,0,0E-15,1.3248908386648290
25,3.981250000000001,4,5.299563354659316,6.6244541933241450
181,3.9659999999999997,4,5.299563354659316,6.6244541933241450
221,3.9602439024390237,1,1.324890838664829,2.6497816773296580
17,3.8825,4,5.299563354659316,6.6244541933241450
240,3.875,5,6.624454193324145,7.9493450319889740
212,3.791818181818182,2,2.649781677329658,3.9746725159944870
199,3.7878643578643563,0,0E-15,1.3248908386648290
20,3.7616666666666667,0,0E-15,1.3248908386648290
35,3.748571428571428,4,5.299563354659316,6.6244541933241450
71,3.719685534591196,1,1.324890838664829,2.6497816773296580
74,3.63258064516129,2,2.649781677329658,3.9746725159944870
178,3.6093749999999996,3,3.974672515994487,5.2995633546593160
109,3.573157894736842,1,1.324890838664829,2.6497816773296580
-1,3.57,6,7.949345031988974,9.2742358706538030
184,3.56,2,2.649781677329658,3.9746725159944870
156,3.5533333333333332,1,1.324890838664829,2.6497816773296580
95,3.485,2,2.649781677329658,3.9746725159944870
20,3.48,1,1.324890838664829,2.6497816773296580
195,3.475,0,0E-15,1.3248908386648290
202,3.455714285714286,0,0E-15,1.3248908386648290
204,3.44,0,0E-15,1.3248908386648290
117,3.3666666666666667,6,7.949345031988974,9.2742358706538030
0,3.345,1,1.324890838664829,2.6497816773296580
99,3.3333333333333335,3,3.974672515994487,5.2995633546593160
4,3.3333333333333335,0,0E-15,1.3248908386648290
99,3.33,2,2.649781677329658,3.9746725159944870
191,3.327137254901961,2,2.649781677329658,3.9746725159944870
175,3.3150000000000004,4,5.299563354659316,6.6244541933241450
103,3.2957142857142854,0,0E-15,1.3248908386648290
133,3.283333333333333,4,5.299563354659316,6.6244541933241450
70,3.276394891944991,1,1.324890838664829,2.6497816773296580
25,3.2479268292682923,1,1.324890838664829,2.6497816773296580
199,3.2323809523809524,2,2.649781677329658,3.9746725159944870
31,3.232,4,5.299563354659316,6.6244541933241450
71,3.23,2,2.649781677329658,3.9746725159944870
25,3.2180851063829787,3,3.974672515994487,5.2995633546593160
178,3.216666666666667,2,2.649781677329658,3.9746725159944870
156,3.1990909090909088,0,0E-15,1.3248908386648290
228,3.1954697742170453,0,0E-15,1.3248908386648290
122,3.192,3,3.974672515994487,5.2995633546593160
199,3.18867469879518,3,3.974672515994487,5.2995633546593160
194,3.16,4,5.299563354659316,6.6244541933241450
97,3.085,4,5.299563354659316,6.6244541933241450
