pickup_zone,avg_trip_distance,bkt_tip_amount,val_start,val_end
85,33.03,122,99.2725989279600308,101.89614482081216220
85,32.843333333333334,97,33.6839516066567458,36.30749749950887720
70,32.83,100,41.5545892852131400,44.17813517806527140
145,32.71,97,33.6839516066567458,36.30749749950887720
137,32.52,104,52.0487728566216656,54.67231874947379700
239,32.47,145,159.6141544635590530,162.23770035641118440
183,32.47,102,46.8016810709174028,49.42522696376953420
137,32.286,106,57.2958646423259284,59.91941053517805980
131,31.8,132,125.5080578564813448,128.13160374933347620
85,31.71,110,67.7900482137344540,70.41359410658658540
41,31.7,133,128.1316037493334762,130.75514964218560760
131,31.5375,112,73.0371399994387168,75.66068589229084820
117,31.195,114,78.2842317851429796,80.90777767799511100
74,31.0,97,33.6839516066567458,36.30749749950887720
41,30.9,139,143.8728791064462646,146.49642499929839600
164,30.9,98,36.3074974995088772,38.93104339236100860
210,30.9,168,219.9557099991580752,222.57925589201020660
208,30.86,91,17.9426762495439574,20.56622214239608880
145,30.67,102,46.8016810709174028,49.42522696376953420
74,30.6,94,25.8133139281003516,28.43685982095248300
240,30.4,117,86.1548694636993738,88.77841535655150520
131,30.385833333333334,106,57.2958646423259284,59.91941053517805980
248,30.26028741289319,84,-0.4221450004209624,2.20140089243116900
127,30.0,168,219.9557099991580752,222.57925589201020660
222,29.99,90,15.3191303566918260,17.94267624954395740
97,29.75,89,12.6955844638396946,15.31913035669182600
131,29.66740740740741,97,33.6839516066567458,36.30749749950887720
236,29.58,93,23.1897680352482202,25.81331392810035160
141,29.450000000000003,91,17.9426762495439574,20.56622214239608880
61,29.4,94,25.8133139281003516,28.43685982095248300
131,29.34747899159664,95,28.4368598209524830,31.06040571380461440
86,29.3,164,209.4615264277495496,212.08507232060168100
131,29.21304,94,25.8133139281003516,28.43685982095248300
25,29.2,99,38.9310433923610086,41.55458928521314000
78,29.0,99,38.9310433923610086,41.55458928521314000
137,28.97,118,88.7784153565515052,91.40196124940363660
131,28.9,120,94.0255071422557680,96.64905303510789940
157,28.84,96,31.0604057138046144,33.68395160665674580
191,28.585,91,17.9426762495439574,20.56622214239608880
219,28.575,95,28.4368598209524830,31.06040571380461440
68,28.4,107,59.9194105351780598,62.54295642803019120
137,28.2,124,104.5196907136642936,107.14323660651642500
85,28.100000000000005,101,44.1781351780652714,46.80168107091740280
65,27.97,106,57.2958646423259284,59.91941053517805980
131,27.964444444444446,102,46.8016810709174028,49.42522696376953420
30,27.85,94,25.8133139281003516,28.43685982095248300
78,27.6,92,20.5662221423960888,23.18976803524822020
151,27.33,90,15.3191303566918260,17.94267624954395740
70,27.24,109,65.1665023208823226,67.79004821373445400
9,27.03,92,20.5662221423960888,23.18976803524822020
83,26.73,90,15.3191303566918260,17.94267624954395740
137,26.67862068965517,97,33.6839516066567458,36.30749749950887720
8,26.67,122,99.2725989279600308,101.89614482081216220
195,26.5,86,4.8249467852833004,7.44849267813543180
160,26.5,90,15.3191303566918260,17.94267624954395740
137,26.434594594594593,95,28.4368598209524830,31.06040571380461440
197,26.41,89,12.6955844638396946,15.31913035669182600
70,26.369999999999994,96,31.0604057138046144,33.68395160665674580
258,26.3,84,-0.4221450004209624,2.20140089243116900
215,26.076666666666664,96,31.0604057138046144,33.68395160665674580
131,26.050833333333333,103,49.4252269637695342,52.04877285662166560
154,26.022142857142857,98,36.3074974995088772,38.93104339236100860
212,26.02,92,20.5662221423960888,23.18976803524822020
9,26.0,93,23.1897680352482202,25.81331392810035160
117,25.9,129,117.6374201779249506,120.26096607077708200
91,25.75,92,20.5662221423960888,23.18976803524822020
137,25.576470588235296,96,31.0604057138046144,33.68395160665674580
137,25.54444444444444,100,41.5545892852131400,44.17813517806527140
196,25.3,93,23.1897680352482202,25.81331392810035160
253,25.3,94,25.8133139281003516,28.43685982095248300
164,25.1,114,78.2842317851429796,80.90777767799511100
78,24.85,90,15.3191303566918260,17.94267624954395740
156,24.83,91,17.9426762495439574,20.56622214239608880
131,24.826,109,65.1665023208823226,67.79004821373445400
154,24.81,104,52.0487728566216656,54.67231874947379700
12,24.76,94,25.8133139281003516,28.43685982095248300
70,24.695,95,28.4368598209524830,31.06040571380461440
248,24.485000000000003,126,109.7667824993685564,112.39032839222068780
6,24.457500000000003,93,23.1897680352482202,25.81331392810035160
235,24.425,141,149.1199708921505274,151.74351678500265880
229,24.41333333333333,98,36.3074974995088772,38.93104339236100860
131,24.38414634146342,92,20.5662221423960888,23.18976803524822020
215,24.25,103,49.4252269637695342,52.04877285662166560
178,24.21,91,17.9426762495439574,20.56622214239608880
251,24.1,97,33.6839516066567458,36.30749749950887720
91,24.1,95,28.4368598209524830,31.06040571380461440
8,24.099999999999998,99,38.9310433923610086,41.55458928521314000
47,24.06,94,25.8133139281003516,28.43685982095248300
51,24.02,92,20.5662221423960888,23.18976803524822020
131,24.017272727272726,99,38.9310433923610086,41.55458928521314000
132,24.0,93,23.1897680352482202,25.81331392810035160
136,23.97,98,36.3074974995088772,38.93104339236100860
127,23.93,94,25.8133139281003516,28.43685982095248300
131,23.896994535519124,93,23.1897680352482202,25.81331392810035160
97,23.78,91,17.9426762495439574,20.56622214239608880
172,23.765,94,25.8133139281003516,28.43685982095248300
87,23.701666666666668,95,28.4368598209524830,31.06040571380461440
8,23.6,111,70.4135941065865854,73.03713999943871680
25,23.56,94,25.8133139281003516,28.43685982095248300
131,23.528,114,78.2842317851429796,80.90777767799511100
137,23.50662251655629,93,23.1897680352482202,25.81331392810035160
84,23.5,89,12.6955844638396946,15.31913035669182600
178,23.48,93,23.1897680352482202,25.81331392810035160
