pickup_zone,avg_passenger_count,bkt_tip_amount,val_start,val_end
39,4.0,94,25.8133139281003516,28.43685982095248300
236,4.0,92,20.5662221423960888,23.18976803524822020
75,4.0,147,164.8612462492633158,167.48479214211544720
154,4.0,152,177.9789757135239728,180.60252160637610420
41,4.0,154,183.2260674992282356,185.84961339208036700
175,4.0,87,7.4484926781354318,10.07203857098756320
172,4.0,103,49.4252269637695342,52.04877285662166560
162,4.0,88,10.0720385709875632,12.69558446383969460
154,4.0,133,128.1316037493334762,130.75514964218560760
145,4.0,122,99.2725989279600308,101.89614482081216220
68,4.0,92,20.5662221423960888,23.18976803524822020
43,4.0,110,67.7900482137344540,70.41359410658658540
36,4.0,99,38.9310433923610086,41.55458928521314000
154,3.75,114,78.2842317851429796,80.90777767799511100
74,3.6,89,12.6955844638396946,15.31913035669182600
75,3.6,103,49.4252269637695342,52.04877285662166560
226,3.5,96,31.0604057138046144,33.68395160665674580
83,3.5,84,-0.4221450004209624,2.20140089243116900
60,3.5,85,2.2014008924311690,4.82494678528330040
152,3.5,87,7.4484926781354318,10.07203857098756320
130,3.5,87,7.4484926781354318,10.07203857098756320
44,3.5,90,15.3191303566918260,17.94267624954395740
222,3.5,85,2.2014008924311690,4.82494678528330040
191,3.5,91,17.9426762495439574,20.56622214239608880
72,3.5,96,31.0604057138046144,33.68395160665674580
95,3.3333333333333335,86,4.8249467852833004,7.44849267813543180
48,3.1818181818181817,84,-0.4221450004209624,2.20140089243116900
17,3.1666666666666665,87,7.4484926781354318,10.07203857098756320
97,3.142857142857143,87,7.4484926781354318,10.07203857098756320
131,3.0,77,-18.7869662503858822,-16.16342035753375080
229,3.0,114,78.2842317851429796,80.90777767799511100
248,3.0,141,149.1199708921505274,151.74351678500265880
141,3.0,93,23.1897680352482202,25.81331392810035160
151,3.0,89,12.6955844638396946,15.31913035669182600
31,3.0,102,46.8016810709174028,49.42522696376953420
93,3.0,89,12.6955844638396946,15.31913035669182600
239,3.0,112,73.0371399994387168,75.66068589229084820
