pickup_zone,avg_passenger_count,bkt_tip_percentage,val_start,val_end
141,3.0,905,0.81859774067541630,0.907163410370416760
142,3.0,896,0.02150671342041216,0.110072383115412620
97,3.0,905,0.81859774067541630,0.907163410370416760
206,3.0,904,0.73003207098041584,0.818597740675416300
144,3.0,899,0.28720372250541354,0.375769392200414000
167,3.0,895,-0.06705895627458830,0.021506713420412160
143,3.0,906,0.90716341037041676,0.995729080065417220
107,3.0,895,-0.06705895627458830,0.021506713420412160
201,3.0,900,0.37576939220041400,0.464335061895414460
135,3.0,899,0.28720372250541354,0.375769392200414000
23,3.0,901,0.46433506189541446,0.552900731590414920
71,3.0,905,0.81859774067541630,0.907163410370416760
128,3.0,900,0.37576939220041400,0.464335061895414460
94,3.0,902,0.55290073159041492,0.641466401285415380
105,3.0,902,0.55290073159041492,0.641466401285415380
78,3.0,901,0.46433506189541446,0.552900731590414920
67,3.0,898,0.19863805281041308,0.287203722505413540
39,2.888888888888889,904,0.73003207098041584,0.818597740675416300
156,2.75,897,0.11007238311541262,0.198638052810413080
28,2.75,895,-0.06705895627458830,0.021506713420412160
249,2.75,896,0.02150671342041216,0.110072383115412620
228,2.6666666666666665,899,0.28720372250541354,0.375769392200414000
95,2.6666666666666665,898,0.19863805281041308,0.287203722505413540
247,2.6666666666666665,896,0.02150671342041216,0.110072383115412620
99,2.6666666666666665,897,0.11007238311541262,0.198638052810413080
36,2.6666666666666665,901,0.46433506189541446,0.552900731590414920
91,2.6666666666666665,900,0.37576939220041400,0.464335061895414460
157,2.6666666666666665,902,0.55290073159041492,0.641466401285415380
180,2.6666666666666665,902,0.55290073159041492,0.641466401285415380
228,2.6666666666666665,904,0.73003207098041584,0.818597740675416300
129,2.6,896,0.02150671342041216,0.110072383115412620
150,2.6,901,0.46433506189541446,0.552900731590414920
106,2.6,906,0.90716341037041676,0.995729080065417220
48,2.5555555555555554,895,-0.06705895627458830,0.021506713420412160
189,2.5,895,-0.06705895627458830,0.021506713420412160
215,2.5,906,0.90716341037041676,0.995729080065417220
227,2.5,902,0.55290073159041492,0.641466401285415380
152,2.5,896,0.02150671342041216,0.110072383115412620
158,2.5,896,0.02150671342041216,0.110072383115412620
180,2.5,904,0.73003207098041584,0.818597740675416300
159,2.5,897,0.11007238311541262,0.198638052810413080
17,2.4615384615384617,898,0.19863805281041308,0.287203722505413540
112,2.4285714285714284,895,-0.06705895627458830,0.021506713420412160
193,2.4285714285714284,899,0.28720372250541354,0.375769392200414000
106,2.4285714285714284,905,0.81859774067541630,0.907163410370416760
113,2.4,903,0.64146640128541538,0.730032070980415840
72,2.375,905,0.81859774067541630,0.907163410370416760
203,2.3333333333333335,898,0.19863805281041308,0.287203722505413540
143,2.3333333333333335,904,0.73003207098041584,0.818597740675416300
245,2.3333333333333335,904,0.73003207098041584,0.818597740675416300
57,2.3333333333333335,896,0.02150671342041216,0.110072383115412620
7,2.3333333333333335,896,0.02150671342041216,0.110072383115412620
178,2.3333333333333335,899,0.28720372250541354,0.375769392200414000
219,2.3333333333333335,903,0.64146640128541538,0.730032070980415840
227,2.3333333333333335,905,0.81859774067541630,0.907163410370416760
223,2.25,898,0.19863805281041308,0.287203722505413540
160,2.25,898,0.19863805281041308,0.287203722505413540
226,2.25,903,0.64146640128541538,0.730032070980415840
163,2.25,896,0.02150671342041216,0.110072383115412620
22,2.25,901,0.46433506189541446,0.552900731590414920
222,2.25,895,-0.06705895627458830,0.021506713420412160
78,2.227272727272727,895,-0.06705895627458830,0.021506713420412160
70,2.227272727272727,899,0.28720372250541354,0.375769392200414000
113,2.2222222222222223,901,0.46433506189541446,0.552900731590414920
248,2.2142857142857144,905,0.81859774067541630,0.907163410370416760
14,2.2,895,-0.06705895627458830,0.021506713420412160
130,2.2,898,0.19863805281041308,0.287203722505413540
163,2.2,898,0.19863805281041308,0.287203722505413540
49,2.1818181818181817,899,0.28720372250541354,0.375769392200414000
97,2.1818181818181817,898,0.19863805281041308,0.287203722505413540
113,2.176470588235294,900,0.37576939220041400,0.464335061895414460
29,2.1666666666666665,898,0.19863805281041308,0.287203722505413540
5,2.142857142857143,895,-0.06705895627458830,0.021506713420412160
33,2.142857142857143,904,0.73003207098041584,0.818597740675416300
54,2.125,895,-0.06705895627458830,0.021506713420412160
156,2.1176470588235294,895,-0.06705895627458830,0.021506713420412160
122,2.111111111111111,896,0.02150671342041216,0.110072383115412620
181,2.107142857142857,897,0.11007238311541262,0.198638052810413080
45,2.107142857142857,900,0.37576939220041400,0.464335061895414460
56,2.1,896,0.02150671342041216,0.110072383115412620
122,2.0714285714285716,897,0.11007238311541262,0.198638052810413080
201,2.0476190476190474,898,0.19863805281041308,0.287203722505413540
75,2.0454545454545454,905,0.81859774067541630,0.907163410370416760
255,2.0357142857142856,898,0.19863805281041308,0.287203722505413540
56,2.0,902,0.55290073159041492,0.641466401285415380
82,2.0,898,0.19863805281041308,0.287203722505413540
83,2.0,898,0.19863805281041308,0.287203722505413540
79,2.0,902,0.55290073159041492,0.641466401285415380
219,2.0,900,0.37576939220041400,0.464335061895414460
255,2.0,902,0.55290073159041492,0.641466401285415380
4,2.0,898,0.19863805281041308,0.287203722505413540
144,2.0,904,0.73003207098041584,0.818597740675416300
91,2.0,905,0.81859774067541630,0.907163410370416760
193,2.0,901,0.46433506189541446,0.552900731590414920
43,2.0,906,0.90716341037041676,0.995729080065417220
88,2.0,901,0.46433506189541446,0.552900731590414920
78,2.0,896,0.02150671342041216,0.110072383115412620
31,2.0,903,0.64146640128541538,0.730032070980415840
178,2.0,896,0.02150671342041216,0.110072383115412620
228,2.0,900,0.37576939220041400,0.464335061895414460
162,2.0,901,0.46433506189541446,0.552900731590414920
26,2.0,898,0.19863805281041308,0.287203722505413540
39,2.0,906,0.90716341037041676,0.995729080065417220
49,2.0,906,0.90716341037041676,0.995729080065417220
62,2.0,898,0.19863805281041308,0.287203722505413540
33,2.0,905,0.81859774067541630,0.907163410370416760
35,2.0,899,0.28720372250541354,0.375769392200414000
96,2.0,904,0.73003207098041584,0.818597740675416300
82,2.0,901,0.46433506189541446,0.552900731590414920
14,2.0,898,0.19863805281041308,0.287203722505413540
16,2.0,896,0.02150671342041216,0.110072383115412620
253,2.0,906,0.90716341037041676,0.995729080065417220
248,2.0,906,0.90716341037041676,0.995729080065417220
181,2.0,902,0.55290073159041492,0.641466401285415380
103,2.0,898,0.19863805281041308,0.287203722505413540
31,2.0,900,0.37576939220041400,0.464335061895414460
191,2.0,905,0.81859774067541630,0.907163410370416760
191,2.0,901,0.46433506189541446,0.552900731590414920
226,2.0,902,0.55290073159041492,0.641466401285415380
94,2.0,901,0.46433506189541446,0.552900731590414920
77,2.0,896,0.02150671342041216,0.110072383115412620
247,2.0,898,0.19863805281041308,0.287203722505413540
46,2.0,899,0.28720372250541354,0.375769392200414000
212,2.0,903,0.64146640128541538,0.730032070980415840
251,2.0,899,0.28720372250541354,0.375769392200414000
202,2.0,895,-0.06705895627458830,0.021506713420412160
69,2.0,902,0.55290073159041492,0.641466401285415380
248,2.0,904,0.73003207098041584,0.818597740675416300
60,2.0,898,0.19863805281041308,0.287203722505413540
145,2.0,904,0.73003207098041584,0.818597740675416300
238,2.0,896,0.02150671342041216,0.110072383115412620
133,2.0,905,0.81859774067541630,0.907163410370416760
160,2.0,897,0.11007238311541262,0.198638052810413080
235,2.0,906,0.90716341037041676,0.995729080065417220
129,2.0,898,0.19863805281041308,0.287203722505413540
151,2.0,900,0.37576939220041400,0.464335061895414460
229,2.0,904,0.73003207098041584,0.818597740675416300
256,2.0,906,0.90716341037041676,0.995729080065417220
155,2.0,906,0.90716341037041676,0.995729080065417220
204,2.0,897,0.11007238311541262,0.198638052810413080
259,2.0,906,0.90716341037041676,0.995729080065417220
219,2.0,901,0.46433506189541446,0.552900731590414920
191,2.0,903,0.64146640128541538,0.730032070980415840
55,2.0,901,0.46433506189541446,0.552900731590414920
198,2.0,899,0.28720372250541354,0.375769392200414000
114,2.0,905,0.81859774067541630,0.907163410370416760
197,2.0,901,0.46433506189541446,0.552900731590414920
151,2.0,898,0.19863805281041308,0.287203722505413540
95,2.0,896,0.02150671342041216,0.110072383115412620
31,2.0,906,0.90716341037041676,0.995729080065417220
82,2.0,899,0.28720372250541354,0.375769392200414000
150,2.0,899,0.28720372250541354,0.375769392200414000
253,2.0,905,0.81859774067541630,0.907163410370416760
86,2.0,901,0.46433506189541446,0.552900731590414920
195,2.0,895,-0.06705895627458830,0.021506713420412160
76,2.0,895,-0.06705895627458830,0.021506713420412160
47,2.0,898,0.19863805281041308,0.287203722505413540
123,2.0,897,0.11007238311541262,0.198638052810413080
161,2.0,900,0.37576939220041400,0.464335061895414460
159,2.0,896,0.02150671342041216,0.110072383115412620
26,1.972972972972973,895,-0.06705895627458830,0.021506713420412160
-1,1.9622641509433962,902,0.55290073159041492,0.641466401285415380
53,1.9616438356164383,895,-0.06705895627458830,0.021506713420412160
0,1.9423076923076923,895,-0.06705895627458830,0.021506713420412160
175,1.9411764705882353,897,0.11007238311541262,0.198638052810413080
93,1.9333333333333333,898,0.19863805281041308,0.287203722505413540
56,1.9318181818181819,897,0.11007238311541262,0.198638052810413080
70,1.9166666666666667,901,0.46433506189541446,0.552900731590414920
206,1.9152542372881356,896,0.02150671342041216,0.110072383115412620
245,1.9090909090909092,905,0.81859774067541630,0.907163410370416760
144,1.9074074074074074,897,0.11007238311541262,0.198638052810413080
165,1.9056603773584906,897,0.11007238311541262,0.198638052810413080
23,1.9047619047619047,896,0.02150671342041216,0.110072383115412620
212,1.903225806451613,898,0.19863805281041308,0.287203722505413540
152,1.9,898,0.19863805281041308,0.287203722505413540
15,1.894736842105263,902,0.55290073159041492,0.641466401285415380
171,1.8936170212765957,900,0.37576939220041400,0.464335061895414460
116,1.8846153846153846,902,0.55290073159041492,0.641466401285415380
43,1.8823529411764706,901,0.46433506189541446,0.552900731590414920
249,1.8805970149253732,895,-0.06705895627458830,0.021506713420412160
228,1.8785046728971964,896,0.02150671342041216,0.110072383115412620
8,1.875,904,0.73003207098041584,0.818597740675416300
180,1.875,901,0.46433506189541446,0.552900731590414920
145,1.8725490196078431,900,0.37576939220041400,0.464335061895414460
91,1.8666666666666667,898,0.19863805281041308,0.287203722505413540
163,1.8656716417910448,895,-0.06705895627458830,0.021506713420412160
92,1.8596491228070176,896,0.02150671342041216,0.110072383115412620
68,1.8571428571428572,904,0.73003207098041584,0.818597740675416300
163,1.8571428571428572,897,0.11007238311541262,0.198638052810413080
220,1.8571428571428572,900,0.37576939220041400,0.464335061895414460
198,1.8541666666666667,896,0.02150671342041216,0.110072383115412620
215,1.8518518518518519,902,0.55290073159041492,0.641466401285415380
197,1.8503937007874016,895,-0.06705895627458830,0.021506713420412160
114,1.849056603773585,902,0.55290073159041492,0.641466401285415380
34,1.8461538461538463,895,-0.06705895627458830,0.021506713420412160
65,1.8461538461538463,900,0.37576939220041400,0.464335061895414460
72,1.8461538461538463,903,0.64146640128541538,0.730032070980415840
141,1.84375,899,0.28720372250541354,0.375769392200414000
244,1.84375,895,-0.06705895627458830,0.021506713420412160
239,1.8436018957345972,902,0.55290073159041492,0.641466401285415380
188,1.8431372549019607,898,0.19863805281041308,0.287203722505413540
157,1.8372093023255813,899,0.28720372250541354,0.375769392200414000
53,1.8360655737704918,898,0.19863805281041308,0.287203722505413540
117,1.835820895522388,903,0.64146640128541538,0.730032070980415840
61,1.8333333333333333,900,0.37576939220041400,0.464335061895414460
172,1.8333333333333333,899,0.28720372250541354,0.375769392200414000
172,1.8333333333333333,902,0.55290073159041492,0.641466401285415380
238,1.8333333333333333,897,0.11007238311541262,0.198638052810413080
141,1.8333333333333333,901,0.46433506189541446,0.552900731590414920
5,1.8333333333333333,898,0.19863805281041308,0.287203722505413540
58,1.8294573643410852,897,0.11007238311541262,0.198638052810413080
58,1.827027027027027,895,-0.06705895627458830,0.021506713420412160
197,1.8243243243243243,898,0.19863805281041308,0.287203722505413540
125,1.8235294117647058,895,-0.06705895627458830,0.021506713420412160
255,1.8181818181818181,896,0.02150671342041216,0.110072383115412620
46,1.8181818181818181,897,0.11007238311541262,0.198638052810413080
215,1.8181818181818181,904,0.73003207098041584,0.818597740675416300
162,1.8181818181818181,897,0.11007238311541262,0.198638052810413080
135,1.8125,898,0.19863805281041308,0.287203722505413540
95,1.8125,895,-0.06705895627458830,0.021506713420412160
18,1.8,898,0.19863805281041308,0.287203722505413540
221,1.8,896,0.02150671342041216,0.110072383115412620
227,1.8,900,0.37576939220041400,0.464335061895414460
67,1.8,895,-0.06705895627458830,0.021506713420412160
60,1.8,895,-0.06705895627458830,0.021506713420412160
96,1.8,905,0.81859774067541630,0.907163410370416760
36,1.8,899,0.28720372250541354,0.375769392200414000
150,1.8,896,0.02150671342041216,0.110072383115412620
154,1.8,905,0.81859774067541630,0.907163410370416760
224,1.8,895,-0.06705895627458830,0.021506713420412160
117,1.8,906,0.90716341037041676,0.995729080065417220
256,1.8,898,0.19863805281041308,0.287203722505413540
141,1.7989793025233909,895,-0.06705895627458830,0.021506713420412160
248,1.7966101694915255,902,0.55290073159041492,0.641466401285415380
151,1.7958333333333334,895,-0.06705895627458830,0.021506713420412160
15,1.794577685088634,898,0.19863805281041308,0.287203722505413540
