pickup_zone,avg_total_amount,bkt_tip_percentage,val_start,val_end
82,1040.76,901,0.46433506189541446,0.552900731590414920
228,902.8,906,0.90716341037041676,0.995729080065417220
69,852.8,906,0.90716341037041676,0.995729080065417220
241,371.3,906,0.90716341037041676,0.995729080065417220
5,368.04,898,0.19863805281041308,0.287203722505413540
82,335.72,898,0.19863805281041308,0.287203722505413540
143,322.27500000000003,906,0.90716341037041676,0.995729080065417220
158,303.8,906,0.90716341037041676,0.995729080065417220
199,303.3,906,0.90716341037041676,0.995729080065417220
123,280.0,903,0.64146640128541538,0.730032070980415840
68,251.3,906,0.90716341037041676,0.995729080065417220
14,230.96499999999997,898,0.19863805281041308,0.287203722505413540
210,220.3,907,0.99572908006541722,1.084294749760417680
83,214.34,896,0.02150671342041216,0.110072383115412620
32,210.43,897,0.11007238311541262,0.198638052810413080
183,202.45500000000004,897,0.11007238311541262,0.198638052810413080
32,200.8,904,0.73003207098041584,0.818597740675416300
148,197.38,896,0.02150671342041216,0.110072383115412620
1,194.3,904,0.73003207098041584,0.818597740675416300
179,175.8,896,0.02150671342041216,0.110072383115412620
127,173.20999999999998,906,0.90716341037041676,0.995729080065417220
43,172.79999999999998,906,0.90716341037041676,0.995729080065417220
74,163.8,906,0.90716341037041676,0.995729080065417220
9,163.3,905,0.81859774067541630,0.907163410370416760
171,153.8,906,0.90716341037041676,0.995729080065417220
248,150.31,907,0.99572908006541722,1.084294749760417680
131,148.46666666666667,907,0.99572908006541722,1.084294749760417680
82,134.84,899,0.28720372250541354,0.375769392200414000
248,130.15666666666667,906,0.90716341037041676,0.995729080065417220
17,123.99000000000001,901,0.46433506189541446,0.552900731590414920
-1,119.5,907,0.99572908006541722,1.084294749760417680
103,118.8,903,0.64146640128541538,0.730032070980415840
86,117.39999999999998,900,0.37576939220041400,0.464335061895414460
103,115.55000000000001,896,0.02150671342041216,0.110072383115412620
21,115.3,902,0.55290073159041492,0.641466401285415380
2,113.8,897,0.11007238311541262,0.198638052810413080
178,111.57000000000001,896,0.02150671342041216,0.110072383115412620
91,108.59,905,0.81859774067541630,0.907163410370416760
54,107.755,897,0.11007238311541262,0.198638052810413080
50,107.30000000000001,896,0.02150671342041216,0.110072383115412620
28,106.3,896,0.02150671342041216,0.110072383115412620
164,104.92500000000001,906,0.90716341037041676,0.995729080065417220
85,103.38333333333333,906,0.90716341037041676,0.995729080065417220
25,102.19999999999999,901,0.46433506189541446,0.552900731590414920
12,101.34,898,0.19863805281041308,0.287203722505413540
10,100.33666666666666,897,0.11007238311541262,0.198638052810413080
229,100.31,907,0.99572908006541722,1.084294749760417680
31,100.3,907,0.99572908006541722,1.084294749760417680
239,100.3,907,0.99572908006541722,1.084294749760417680
114,100.3,907,0.99572908006541722,1.084294749760417680
239,99.80681818181819,906,0.90716341037041676,0.995729080065417220
196,99.09,901,0.46433506189541446,0.552900731590414920
78,99.05600000000001,897,0.11007238311541262,0.198638052810413080
117,99.00666666666666,907,0.99572908006541722,1.084294749760417680
1,97.255,897,0.11007238311541262,0.198638052810413080
128,96.275,901,0.46433506189541446,0.552900731590414920
156,96.05,898,0.19863805281041308,0.287203722505413540
161,95.8,900,0.37576939220041400,0.464335061895414460
83,95.66499999999999,897,0.11007238311541262,0.198638052810413080
251,95.22,900,0.37576939220041400,0.464335061895414460
16,94.14,896,0.02150671342041216,0.110072383115412620
124,94.125,897,0.11007238311541262,0.198638052810413080
78,93.94,898,0.19863805281041308,0.287203722505413540
97,93.4657142857143,896,0.02150671342041216,0.110072383115412620
-1,93.312012195122,906,0.90716341037041676,0.995729080065417220
142,93.3,896,0.02150671342041216,0.110072383115412620
224,92.8,900,0.37576939220041400,0.464335061895414460
107,92.55000000000001,895,-0.06705895627458830,0.021506713420412160
122,92.44999999999999,901,0.46433506189541446,0.552900731590414920
195,91.83,896,0.02150671342041216,0.110072383115412620
182,91.82,896,0.02150671342041216,0.110072383115412620
117,91.50333333333333,906,0.90716341037041676,0.995729080065417220
154,91.48500000000001,907,0.99572908006541722,1.084294749760417680
82,91.38333333333333,895,-0.06705895627458830,0.021506713420412160
190,91.35,898,0.19863805281041308,0.287203722505413540
