pickup_zone,avg_total_amount,bkt_tip_amount,val_start,val_end
245,459.79,134,130.7551496421856076,133.37869553503773900
131,456.23,124,104.5196907136642936,107.14323660651642500
31,456.23,133,128.1316037493334762,130.75514964218560760
219,455.21,113,75.6606858922908482,78.28423178514297960
68,454.3,255,448.2042026772935070,450.82774857014563840
-1,454.05,255,448.2042026772935070,450.82774857014563840
137,452.79,236,398.3568307131030104,400.98037660595514180
239,451.8,236,398.3568307131030104,400.98037660595514180
109,450.96,112,73.0371399994387168,75.66068589229084820
227,450.3,141,149.1199708921505274,151.74351678500265880
239,448.8,235,395.7332848202508790,398.35683071310301040
248,447.78,253,442.9571108915892442,445.58065678444137560
128,425.16,111,70.4135941065865854,73.03713999943871680
35,416.62,115,80.9077776779951110,83.53132357084724240
71,415.09,120,94.0255071422557680,96.64905303510789940
5,403.65,119,91.4019612494036366,94.02550714225576800
245,400.01,109,65.1665023208823226,67.79004821373445400
31,396.09,127,112.3903283922206878,115.01387428507281920
45,396.0,101,44.1781351780652714,46.80168107091740280
43,395.3,225,369.4978258917295650,372.12137178458169640
143,390.35,118,88.7784153565515052,91.40196124940363660
41,383.94,117,86.1548694636993738,88.77841535655150520
219,379.44,117,86.1548694636993738,88.77841535655150520
5,378.5,113,75.6606858922908482,78.28423178514297960
71,376.32,125,107.1432366065164250,109.76678249936855640
6,375.35,112,73.0371399994387168,75.66068589229084820
143,375.35,112,73.0371399994387168,75.66068589229084820
137,375.35,112,73.0371399994387168,75.66068589229084820
94,374.75,117,86.1548694636993738,88.77841535655150520
239,369.9,112,73.0371399994387168,75.66068589229084820
143,360.35,107,59.9194105351780598,62.54295642803019120
6,360.35,107,59.9194105351780598,62.54295642803019120
128,359.21,106,57.2958646423259284,59.91941053517805980
245,351.51,118,88.7784153565515052,91.40196124940363660
-1,350.3,179,248.8147148205315206,251.43826071338365200
178,350.0,103,49.4252269637695342,52.04877285662166560
161,340.92,118,88.7784153565515052,91.40196124940363660
116,339.22,113,75.6606858922908482,78.28423178514297960
-1,336.8,211,332.7681833917997254,335.39172928465185680
183,336.35,105,54.6723187494737970,57.29586464232592840
82,335.72,120,94.0255071422557680,96.64905303510789940
92,333.96,105,54.6723187494737970,57.29586464232592840
-1,328.05,198,298.6620867847220172,301.28563267757414860
72,327.44,112,73.0371399994387168,75.66068589229084820
70,325.91,104,52.0487728566216656,54.67231874947379700
208,322.38,97,33.6839516066567458,36.30749749950887720
5,319.05,112,73.0371399994387168,75.66068589229084820
31,314.02,118,88.7784153565515052,91.40196124940363660
240,313.74,111,70.4135941065865854,73.03713999943871680
70,310.745,105,54.6723187494737970,57.29586464232592840
85,308.8,198,298.6620867847220172,301.28563267757414860
158,303.8,198,298.6620867847220172,301.28563267757414860
9,302.8,179,248.8147148205315206,251.43826071338365200
219,302.35,107,59.9194105351780598,62.54295642803019120
251,301.67,103,49.4252269637695342,52.04877285662166560
259,300.96,103,49.4252269637695342,52.04877285662166560
88,299.55,110,67.7900482137344540,70.41359410658658540
180,299.29,121,96.6490530351078994,99.27259892796003080
122,298.88,95,28.4368598209524830,31.06040571380461440
183,296.16,102,46.8016810709174028,49.42522696376953420
94,292.89,109,65.1665023208823226,67.79004821373445400
145,290.755,102,46.8016810709174028,49.42522696376953420
70,288.35,102,46.8016810709174028,49.42522696376953420
91,287.88,106,57.2958646423259284,59.91941053517805980
219,287.56,102,46.8016810709174028,49.42522696376953420
239,286.55,110,67.7900482137344540,70.41359410658658540
