pickup_zone,avg_tip_amount,bkt_trip_distance,val_start,val_end
123,95.53,0,0E-12,2981.0954655035120
82,67.22999999999999,0,0E-12,2981.0954655035120
21,66.0,0,0E-12,2981.0954655035120
32,49.0125,0,0E-12,2981.0954655035120
5,40.00571428571429,0,0E-12,2981.0954655035120
1,30.401666666666667,0,0E-12,2981.0954655035120
241,23.75,0,0E-12,2981.0954655035120
183,22.49333333333333,0,0E-12,2981.0954655035120
190,21.05,0,0E-12,2981.0954655035120
210,17.67642857142857,0,0E-12,2981.0954655035120
14,16.753333333333334,0,0E-12,2981.0954655035120
124,15.67,0,0E-12,2981.0954655035120
170,12.276,0,0E-12,2981.0954655035120
69,10.790481927710843,0,0E-12,2981.0954655035120
149,10.0,0,0E-12,2981.0954655035120
16,10.0,0,0E-12,2981.0954655035120
186,9.9,0,0E-12,2981.0954655035120
2,9.5,0,0E-12,2981.0954655035120
78,9.002894736842105,0,0E-12,2981.0954655035120
83,7.45625,0,0E-12,2981.0954655035120
92,6.844198813056382,0,0E-12,2981.0954655035120
196,6.809470338983052,0,0E-12,2981.0954655035120
179,6.666666666666667,0,0E-12,2981.0954655035120
224,6.666666666666667,0,0E-12,2981.0954655035120
219,6.082355848434933,0,0E-12,2981.0954655035120
10,6.052222222222222,0,0E-12,2981.0954655035120
131,5.850319290484097,0,0E-12,2981.0954655035120
217,5.611666666666667,0,0E-12,2981.0954655035120
128,5.572463539613722,0,0E-12,2981.0954655035120
44,5.525,0,0E-12,2981.0954655035120
137,5.376826170789233,0,0E-12,2981.0954655035120
102,5.32,0,0E-12,2981.0954655035120
142,5.109999999999999,0,0E-12,2981.0954655035120
258,5.0,0,0E-12,2981.0954655035120
251,4.855217391304349,0,0E-12,2981.0954655035120
208,4.668857142857143,0,0E-12,2981.0954655035120
122,4.640886075949367,0,0E-12,2981.0954655035120
221,4.562509505703423,0,0E-12,2981.0954655035120
25,4.427574692442881,0,0E-12,2981.0954655035120
17,4.410921052631579,0,0E-12,2981.0954655035120
31,4.172837209302325,0,0E-12,2981.0954655035120
34,4.066545454545455,0,0E-12,2981.0954655035120
199,4.043887711864408,0,0E-12,2981.0954655035120
77,4.018571428571429,0,0E-12,2981.0954655035120
223,3.8810526315789473,0,0E-12,2981.0954655035120
38,3.8625,0,0E-12,2981.0954655035120
148,3.75,0,0E-12,2981.0954655035120
178,3.666348547717842,0,0E-12,2981.0954655035120
54,3.591,0,0E-12,2981.0954655035120
67,3.524375,0,0E-12,2981.0954655035120
13,3.3845588235294115,0,0E-12,2981.0954655035120
20,3.3531034482758617,0,0E-12,2981.0954655035120
88,3.30590308370044,0,0E-12,2981.0954655035120
174,3.2528947368421055,0,0E-12,2981.0954655035120
156,3.0917391304347825,0,0E-12,2981.0954655035120
248,3.06,1565,4665414.403512996280,4668395.4989784997920
168,2.953333333333333,0,0E-12,2981.0954655035120
4,2.8857142857142857,0,0E-12,2981.0954655035120
228,2.858210155857215,0,0E-12,2981.0954655035120
70,2.7586146696809837,0,0E-12,2981.0954655035120
204,2.7099999999999995,0,0E-12,2981.0954655035120
202,2.687777777777778,0,0E-12,2981.0954655035120
103,2.6392622950819673,0,0E-12,2981.0954655035120
84,2.5695,0,0E-12,2981.0954655035120
9,2.5663325183374086,0,0E-12,2981.0954655035120
74,2.5610027855153206,0,0E-12,2981.0954655035120
58,2.495112262521589,0,0E-12,2981.0954655035120
50,2.425777777777778,0,0E-12,2981.0954655035120
59,2.41,0,0E-12,2981.0954655035120
85,2.3411811422402105,0,0E-12,2981.0954655035120
150,2.3392949203942375,0,0E-12,2981.0954655035120
133,2.3352032520325205,0,0E-12,2981.0954655035120
195,2.316666666666667,0,0E-12,2981.0954655035120
8,2.2972022015073676,0,0E-12,2981.0954655035120
51,2.238637519064563,0,0E-12,2981.0954655035120
76,2.2142857142857144,0,0E-12,2981.0954655035120
30,2.186058276725062,0,0E-12,2981.0954655035120
197,2.170241379310345,0,0E-12,2981.0954655035120
60,2.1566666666666667,0,0E-12,2981.0954655035120
28,2.1434615384615388,0,0E-12,2981.0954655035120
71,2.132668371696505,0,0E-12,2981.0954655035120
