pickup_zone,avg_trip_distance,bkt_tip_percentage,val_start,val_end
143,160.50594804334506,895,-0.06705895627458830,0.021506713420412160
82,107.6,901,0.46433506189541446,0.552900731590414920
82,71.6,898,0.19863805281041308,0.287203722505413540
248,70.7174854676012,895,-0.06705895627458830,0.021506713420412160
116,68.33946607461952,895,-0.06705895627458830,0.021506713420412160
5,65.75333333333333,898,0.19863805281041308,0.287203722505413540
14,53.94,898,0.19863805281041308,0.287203722505413540
148,37.46,896,0.02150671342041216,0.110072383115412620
123,34.4,903,0.64146640128541538,0.730032070980415840
114,32.8,907,0.99572908006541722,1.084294749760417680
210,30.9,907,0.99572908006541722,1.084294749760417680
131,30.766666666666666,907,0.99572908006541722,1.084294749760417680
83,28.11,898,0.19863805281041308,0.287203722505413540
248,27.300681179060657,897,0.11007238311541262,0.198638052810413080
195,26.5,896,0.02150671342041216,0.110072383115412620
258,26.3,895,-0.06705895627458830,0.021506713420412160
229,25.5,907,0.99572908006541722,1.084294749760417680
83,25.35,896,0.02150671342041216,0.110072383115412620
164,25.1,907,0.99572908006541722,1.084294749760417680
78,24.896,897,0.11007238311541262,0.198638052810413080
156,24.83,898,0.19863805281041308,0.287203722505413540
12,24.76,898,0.19863805281041308,0.287203722505413540
248,23.9,907,0.99572908006541722,1.084294749760417680
183,23.182499999999997,897,0.11007238311541262,0.198638052810413080
239,23.1,907,0.99572908006541722,1.084294749760417680
82,22.2,899,0.28720372250541354,0.375769392200414000
35,22.15,899,0.28720372250541354,0.375769392200414000
32,21.2,897,0.11007238311541262,0.198638052810413080
78,21.16,896,0.02150671342041216,0.110072383115412620
230,20.24833333333333,897,0.11007238311541262,0.198638052810413080
245,19.366666666666667,906,0.90716341037041676,0.995729080065417220
50,19.0,896,0.02150671342041216,0.110072383115412620
186,18.85,895,-0.06705895627458830,0.021506713420412160
96,18.8,906,0.90716341037041676,0.995729080065417220
182,18.450000000000003,896,0.02150671342041216,0.110072383115412620
251,18.3,899,0.28720372250541354,0.375769392200414000
20,17.85,896,0.02150671342041216,0.110072383115412620
210,17.5,904,0.73003207098041584,0.818597740675416300
142,17.46,898,0.19863805281041308,0.287203722505413540
78,17.360000000000003,898,0.19863805281041308,0.287203722505413540
186,17.357999999999997,897,0.11007238311541262,0.198638052810413080
131,17.271810246196885,896,0.02150671342041216,0.110072383115412620
90,17.12923076923077,895,-0.06705895627458830,0.021506713420412160
131,17.010024384614653,897,0.11007238311541262,0.198638052810413080
34,16.843333333333334,896,0.02150671342041216,0.110072383115412620
219,16.665818181818185,896,0.02150671342041216,0.110072383115412620
131,16.570724425076566,898,0.19863805281041308,0.287203722505413540
32,16.13,904,0.73003207098041584,0.818597740675416300
21,16.06,902,0.55290073159041492,0.641466401285415380
208,15.977500000000001,897,0.11007238311541262,0.198638052810413080
38,15.85,896,0.02150671342041216,0.110072383115412620
91,15.3,905,0.81859774067541630,0.907163410370416760
127,15.3,906,0.90716341037041676,0.995729080065417220
244,15.12,896,0.02150671342041216,0.110072383115412620
222,14.995,898,0.19863805281041308,0.287203722505413540
1,14.96,897,0.11007238311541262,0.198638052810413080
90,14.933333333333332,896,0.02150671342041216,0.110072383115412620
14,14.736,895,-0.06705895627458830,0.021506713420412160
154,14.733333333333334,907,0.99572908006541722,1.084294749760417680
10,14.729999999999999,897,0.11007238311541262,0.198638052810413080
128,14.699804878048777,896,0.02150671342041216,0.110072383115412620
34,14.613333333333332,899,0.28720372250541354,0.375769392200414000
83,14.61,897,0.11007238311541262,0.198638052810413080
20,14.548333333333332,897,0.11007238311541262,0.198638052810413080
219,14.546078431372552,897,0.11007238311541262,0.198638052810413080
221,14.488999999999999,896,0.02150671342041216,0.110072383115412620
131,14.235196756261368,895,-0.06705895627458830,0.021506713420412160
242,14.2,898,0.19863805281041308,0.287203722505413540
88,14.1,906,0.90716341037041676,0.995729080065417220
92,13.825999999999999,899,0.28720372250541354,0.375769392200414000
128,13.732499999999998,901,0.46433506189541446,0.552900731590414920
122,13.504285714285714,897,0.11007238311541262,0.198638052810413080
45,13.5,905,0.81859774067541630,0.907163410370416760
128,13.439661202185789,897,0.11007238311541262,0.198638052810413080
219,13.392983425414362,898,0.19863805281041308,0.287203722505413540
221,13.31,897,0.11007238311541262,0.198638052810413080
66,13.3,896,0.02150671342041216,0.110072383115412620
94,13.195,902,0.55290073159041492,0.641466401285415380
176,13.19,895,-0.06705895627458830,0.021506713420412160
131,13.11163636363636,901,0.46433506189541446,0.552900731590414920
196,12.805,901,0.46433506189541446,0.552900731590414920
97,12.678571428571429,896,0.02150671342041216,0.110072383115412620
47,12.655,898,0.19863805281041308,0.287203722505413540
4,12.6,897,0.11007238311541262,0.198638052810413080
204,12.6,895,-0.06705895627458830,0.021506713420412160
77,12.556666666666667,898,0.19863805281041308,0.287203722505413540
25,12.522142857142857,896,0.02150671342041216,0.110072383115412620
57,12.513333333333335,896,0.02150671342041216,0.110072383115412620
20,12.5,898,0.19863805281041308,0.287203722505413540
5,12.5,896,0.02150671342041216,0.110072383115412620
128,12.492918660287083,898,0.19863805281041308,0.287203722505413540
13,12.305,896,0.02150671342041216,0.110072383115412620
131,12.154061135371181,899,0.28720372250541354,0.375769392200414000
131,12.1,902,0.55290073159041492,0.641466401285415380
259,12.1,906,0.90716341037041676,0.995729080065417220
4,12.085,896,0.02150671342041216,0.110072383115412620
44,12.0275,898,0.19863805281041308,0.287203722505413540
221,11.936923076923076,898,0.19863805281041308,0.287203722505413540
92,11.780000000000001,896,0.02150671342041216,0.110072383115412620
