pickup_zone,avg_tip_percentage,bkt_tip_amount,val_start,val_end
-1,0.998929718159,190,277.6737196419049660,280.29726553475709740
154,0.998801438274,179,248.8147148205315206,251.43826071338365200
131,0.998708566509,172,230.4498935705666008,233.07343946341873220
210,0.998638220608,168,219.9557099991580752,222.57925589201020660
131,0.998372219208,154,183.2260674992282356,185.84961339208036700
131,0.998317442513,152,177.9789757135239728,180.60252160637610420
-1,0.997715156131,134,130.7551496421856076,133.37869553503773900
117,0.997293694287,126,109.7667824993685564,112.39032839222068780
41,0.997123681687,123,101.8961448208121622,104.51969071366429360
31,0.997008973081,122,99.2725989279600308,101.89614482081216220
164,0.996139957664,114,78.2842317851429796,80.90777767799511100
117,0.995883680786,112,73.0371399994387168,75.66068589229084820
41,0.995792426367,111,70.4135941065865854,73.03713999943871680
39,0.99573257468,110,67.7900482137344540,70.41359410658658540
248,0.995405819296,108,62.5429564280301912,65.16650232088232260
235,0.995024875622,107,59.9194105351780598,62.54295642803019120
215,0.994940978078,106,57.2958646423259284,59.91941053517805980
157,0.994,103,49.4252269637695342,52.04877285662166560
180,0.993838203141,103,49.4252269637695342,52.04877285662166560
68,0.993788819876,102,46.8016810709174028,49.42522696376953420
241,0.993390747046,273,495.4280287486318722,498.05157464148400360
259,0.993305981429,101,44.1781351780652714,46.80168107091740280
239,0.993233426871,464,996.5252942833889696,999.14884017624110100
248,0.992630309527,253,442.9571108915892442,445.58065678444137560
256,0.992555831266,99,38.9310433923610086,41.55458928521314000
118,0.992555831266,99,38.9310433923610086,41.55458928521314000
216,0.992366412214,99,38.9310433923610086,41.55458928521314000
255,0.992309600595,99,38.9310433923610086,41.55458928521314000
141,0.992309600595,99,38.9310433923610086,41.55458928521314000
91,0.991501416431,97,33.6839516066567458,36.30749749950887720
-1,0.99108117986625,255,448.2042026772935070,450.82774857014563840
68,0.99053488884,255,448.2042026772935070,450.82774857014563840
160,0.990099009901,95,28.4368598209524830,31.06040571380461440
-1,0.988717339667,211,332.7681833917997254,335.39172928465185680
76,0.988593155894,94,25.8133139281003516,28.43685982095248300
135,0.988,93,23.1897680352482202,25.81331392810035160
158,0.987491770902,198,298.6620867847220172,301.28563267757414860
-1,0.987074030552,180,251.4382607133836520,254.06180660623578340
241,0.98643649815,175,238.3205312491229950,240.94407714197512640
-1,0.986151909358,173,233.0734394634187322,235.69698535627086360
-1,0.984308131241,163,206.8379805348974182,209.46152642774954960
117,0.98231812933,291,542.6518548199702374,545.27540071282236880
-1,0.981887511916,162,204.2144346420452868,206.83798053489741820
-1,0.981354268891,160,198.9673428563410240,201.59088874919315540
-1,0.980588235294,147,164.8612462492633158,167.48479214211544720
-1,0.980392156863,156,188.4731592849324984,191.09670517778462980
143,0.980073413739,155,185.8496133920803670,188.47315928493249840
-1,0.97965738758,153,180.6025216063761042,183.22606749922823560
-1,0.9785763584949999,145,159.6141544635590530,162.23770035641118440
-1,0.978294573643,132,125.5080578564813448,128.13160374933347620
-1,0.9772759908822499,129,117.6374201779249506,120.26096607077708200
-1,0.976971388695,137,138.6257873207420018,141.24933321359413320
74,0.976800976801,145,159.6141544635590530,162.23770035641118440
-1,0.9766750857896667,128,115.0138742850728192,117.63742017792495060
-1,0.975609756098,142,151.7435167850026588,154.36706267785479020
15,0.975532805357,141,149.1199708921505274,151.74351678500265880
171,0.975292587776,141,149.1199708921505274,151.74351678500265880
-1,0.975243810953,133,128.1316037493334762,130.75514964218560760
-1,0.974632843792,139,143.8728791064462646,146.49642499929839600
127,0.974097852557,168,219.9557099991580752,222.57925589201020660
253,0.974025974026,152,177.9789757135239728,180.60252160637610420
-1,0.973709369025,130,120.2609660707770820,122.88451196362921340
-1,0.972258916777,168,219.9557099991580752,222.57925589201020660
