pickup_zone,avg_passenger_count,bkt_total_amount,val_start,val_end
253,6.0,24,-84.4927115916488,-48.07990790796750
79,6.0,25,-48.0799079079675,-11.66710422428620
17,6.0,24,-84.4927115916488,-48.07990790796750
235,6.0,25,-48.0799079079675,-11.66710422428620
76,6.0,28,61.1585031430764,97.57130682675770
162,6.0,28,61.1585031430764,97.57130682675770
141,5.0,25,-48.0799079079675,-11.66710422428620
180,5.0,24,-84.4927115916488,-48.07990790796750
232,5.0,27,24.7456994593951,61.15850314307640
232,5.0,26,-11.6671042242862,24.74569945939510
143,5.0,39,461.6993436635707,498.11214734725200
198,5.0,25,-48.0799079079675,-11.66710422428620
146,5.0,27,24.7456994593951,61.15850314307640
201,5.0,29,97.5713068267577,133.98411051043900
5,5.0,28,61.1585031430764,97.57130682675770
39,5.0,25,-48.0799079079675,-11.66710422428620
107,5.0,26,-11.6671042242862,24.74569945939510
56,5.0,25,-48.0799079079675,-11.66710422428620
41,4.0,23,-120.9055152753301,-84.49271159164880
203,4.0,24,-84.4927115916488,-48.07990790796750
15,4.0,31,170.3969141941203,206.80971787780160
69,4.0,31,170.3969141941203,206.80971787780160
137,4.0,25,-48.0799079079675,-11.66710422428620
117,4.0,44,643.7633620819772,680.17616576565850
154,4.0,0,-958.4000000000000,-921.98719631631870
229,4.0,50,862.2401841840650,898.65298786774630
245,4.0,38,425.2865399798894,461.69934366357070
117,4.0,40,498.1121473472520,534.52495103093330
154,4.0,52,935.0657915514276,971.47859523510890
48,3.8333333333333335,26,-11.6671042242862,24.74569945939510
70,3.6666666666666665,25,-48.0799079079675,-11.66710422428620
83,3.5,26,-11.6671042242862,24.74569945939510
178,3.5,37,388.8737362962081,425.28653997988940
159,3.5,28,61.1585031430764,97.57130682675770
44,3.5,28,61.1585031430764,97.57130682675770
44,3.3333333333333335,27,24.7456994593951,61.15850314307640
61,3.25,29,97.5713068267577,133.98411051043900
131,3.0,46,716.5889694493398,753.00177313302110
74,3.0,31,170.3969141941203,206.80971787780160
154,3.0,35,316.0481289288455,352.46093261252680
239,3.0,40,498.1121473472520,534.52495103093330
70,3.0,50,862.2401841840650,898.65298786774630
235,3.0,33,243.2225215614829,279.63532524516420
31,3.0,32,206.8097178778016,243.22252156148290
122,3.0,24,-84.4927115916488,-48.07990790796750
239,3.0,36,352.4609326125268,388.87373629620810
194,3.0,28,61.1585031430764,97.57130682675770
88,3.0,40,498.1121473472520,534.52495103093330
