pickup_zone,avg_tip_percentage,bkt_trip_distance,trip_distance_start,trip_distance_end
165,0.10227194107664582,0,0.0,2981.095465503512
103,0.10227220953899398,0,0.0,2981.095465503512
30,0.1022668651968664,0,0.0,2981.095465503512
244,0.10227203582100465,0,0.0,2981.095465503512
225,0.10227181625242843,0,0.0,2981.095465503512
28,0.10227186755007305,0,0.0,2981.095465503512
172,0.10223280521978582,0,0.0,2981.095465503512
143,0.10227178812191595,94,280222.97375733015,283204.06922283367
106,0.1020913391260011,0,0.0,2981.095465503512
84,0.10227183310257819,0,0.0,2981.095465503512
232,0.10227173904375779,0,0.0,2981.095465503512
199,0.10227424819477297,0,0.0,2981.095465503512
222,0.1022719517591157,0,0.0,2981.095465503512
158,0.10227330879713814,0,0.0,2981.095465503512
189,0.10227179749875172,0,0.0,2981.095465503512
91,0.10227679219910628,0,0.0,2981.095465503512
197,0.10227220757311475,0,0.0,2981.095465503512
179,0.102271775765838,0,0.0,2981.095465503512
178,0.10227260377499074,0,0.0,2981.095465503512
29,0.10227200770500623,0,0.0,2981.095465503512
146,0.10227180097151589,0,0.0,2981.095465503512
92,0.10227170339857648,0,0.0,2981.095465503512
80,0.10227178812191595,0,0.0,2981.095465503512
237,0.10227259740104729,0,0.0,2981.095465503512
159,0.10227197845429181,0,0.0,2981.095465503512
121,0.10227185015079263,0,0.0,2981.095465503512
1,0.10227173368043688,0,0.0,2981.095465503512
139,0.10227177292959268,0,0.0,2981.095465503512
235,0.10209299203885207,0,0.0,2981.095465503512
161,0.10228270790915993,0,0.0,2981.095465503512
248,0.10227177284100762,1565,4665414.403512997,4668395.4989785
132,0.10227463557485075,0,0.0,2981.095465503512
97,0.10227251449992925,0,0.0,2981.095465503512
205,0.10227182562926936,0,0.0,2981.095465503512
228,0.1022742700523751,0,0.0,2981.095465503512
56,0.10227414129967585,0,0.0,2981.095465503512
120,0.10227181179180468,0,0.0,2981.095465503512
33,0.10227557012039376,0,0.0,2981.095465503512
7,0.10227197201916857,0,0.0,2981.095465503512
19,0.10227212495632432,0,0.0,2981.095465503512
229,0.10265212404719978,0,0.0,2981.095465503512
256,0.10227251595513623,0,0.0,2981.095465503512
143,0.10227178812191595,554,1651526.8878889456,1654507.9833544493
107,0.10227179699164189,0,0.0,2981.095465503512
58,0.10227404409815614,0,0.0,2981.095465503512
227,0.10232306962263184,0,0.0,2981.095465503512
93,0.10227335732400926,0,0.0,2981.095465503512
155,0.10227398967398021,0,0.0,2981.095465503512
76,0.10227178211064619,0,0.0,2981.095465503512
200,0.10227178812191595,0,0.0,2981.095465503512
77,0.10227182104772403,0,0.0,2981.095465503512
239,0.10295543105212665,0,0.0,2981.095465503512
207,0.10227178812191595,0,0.0,2981.095465503512
157,0.10228953714394082,0,0.0,2981.095465503512
257,0.10227213001551674,0,0.0,2981.095465503512
25,0.10227296678322151,0,0.0,2981.095465503512
88,0.10227218789196572,0,0.0,2981.095465503512
89,0.1022719328486995,0,0.0,2981.095465503512
64,0.10226903793569182,0,0.0,2981.095465503512
129,0.10227218070885112,0,0.0,2981.095465503512
37,0.10227191071338534,0,0.0,2981.095465503512
142,0.10227181643723864,0,0.0,2981.095465503512
131,0.10250018023207949,0,0.0,2981.095465503512
47,0.10227197992015843,0,0.0,2981.095465503512
170,0.10227173782273269,0,0.0,2981.095465503512
208,0.10227198688319473,0,0.0,2981.095465503512
21,0.10227173563935137,0,0.0,2981.095465503512
98,0.10227179159467807,0,0.0,2981.095465503512
198,0.10227612764499795,0,0.0,2981.095465503512
252,0.10227211974180443,0,0.0,2981.095465503512
160,0.1022728976912149,0,0.0,2981.095465503512
90,0.10227187209746304,0,0.0,2981.095465503512
220,0.10227151223049252,0,0.0,2981.095465503512
242,0.10227199894872989,0,0.0,2981.095465503512
81,0.10227182562926936,0,0.0,2981.095465503512
18,0.1022721268659957,0,0.0,2981.095465503512
57,0.1022719822887101,0,0.0,2981.095465503512
143,0.10227178812191595,470,1401114.8687866507,1404095.964252154
109,0.10227249783314098,0,0.0,2981.095465503512
70,0.10229803081981761,0,0.0,2981.095465503512
246,0.10227181625242843,0,0.0,2981.095465503512
253,0.10226690477836128,0,0.0,2981.095465503512
194,0.10227231742451927,0,0.0,2981.095465503512
238,0.10227243543224442,0,0.0,2981.095465503512
236,0.10227610644234035,0,0.0,2981.095465503512
23,0.10227436266699216,0,0.0,2981.095465503512
79,0.10229931722090589,0,0.0,2981.095465503512
206,0.10227306469979354,0,0.0,2981.095465503512
60,0.10227177212904179,0,0.0,2981.095465503512
0,0.10227213504010939,0,0.0,2981.095465503512
85,0.10218440827833618,0,0.0,2981.095465503512
168,0.10227174777532896,0,0.0,2981.095465503512
46,0.10227262222877592,0,0.0,2981.095465503512
210,0.10227167308967161,0,0.0,2981.095465503512
115,0.10227180558967805,0,0.0,2981.095465503512
226,0.10226465330368083,0,0.0,2981.095465503512
196,0.10227136869841222,0,0.0,2981.095465503512
53,0.10227345928211705,0,0.0,2981.095465503512
127,0.1022954217580455,0,0.0,2981.095465503512
190,0.10227176699461742,0,0.0,2981.095465503512
39,0.10238801664364221,0,0.0,2981.095465503512
55,0.10227665388480238,0,0.0,2981.095465503512
134,0.10227300753802857,0,0.0,2981.095465503512
34,0.10227191802282232,0,0.0,2981.095465503512
72,0.10254207856284825,0,0.0,2981.095465503512
68,0.10228218435712319,0,0.0,2981.095465503512
184,0.10227188935088745,0,0.0,2981.095465503512
59,0.10227181035891583,0,0.0,2981.095465503512
78,0.10227164019375547,0,0.0,2981.095465503512
124,0.10227176697451912,0,0.0,2981.095465503512
202,0.1022717485752318,0,0.0,2981.095465503512
164,0.10214644477785814,0,0.0,2981.095465503512
114,0.10217065806375995,0,0.0,2981.095465503512
174,0.10227178984315212,0,0.0,2981.095465503512
201,0.10227344042391981,0,0.0,2981.095465503512
188,0.1022748258391594,0,0.0,2981.095465503512
162,0.10227265586204311,0,0.0,2981.095465503512
241,0.1022717579454072,0,0.0,2981.095465503512
255,0.10227202133557352,0,0.0,2981.095465503512
4,0.10227179826344202,0,0.0,2981.095465503512
22,0.10227314622212536,0,0.0,2981.095465503512
65,0.10228842058268904,0,0.0,2981.095465503512
12,0.10227188903252782,0,0.0,2981.095465503512
71,0.10227504955617372,0,0.0,2981.095465503512
215,0.10214696242360463,0,0.0,2981.095465503512
67,0.10227184313620408,0,0.0,2981.095465503512
148,0.10227180928474107,0,0.0,2981.095465503512
133,0.10227334096069803,0,0.0,2981.095465503512
83,0.10227179937783656,0,0.0,2981.095465503512
8,0.10216980660138267,0,0.0,2981.095465503512
87,0.10205585970834047,0,0.0,2981.095465503512
249,0.10227229629473654,0,0.0,2981.095465503512
73,0.10227211090270254,0,0.0,2981.095465503512
211,0.1022718068755892,0,0.0,2981.095465503512
144,0.1022748354075032,0,0.0,2981.095465503512
128,0.1022757163805251,0,0.0,2981.095465503512
130,0.10227252654826269,0,0.0,2981.095465503512
203,0.10227206416152192,0,0.0,2981.095465503512
10,0.1022717932095996,0,0.0,2981.095465503512
163,0.10227286056365383,0,0.0,2981.095465503512
193,0.10227527683237135,0,0.0,2981.095465503512
213,0.10227180784939667,0,0.0,2981.095465503512
154,0.10212969878194508,0,0.0,2981.095465503512
143,0.10237706202394133,0,0.0,2981.095465503512
26,0.10227226075019354,0,0.0,2981.095465503512
99,0.10227195740075047,0,0.0,2981.095465503512
150,0.1022763086139087,0,0.0,2981.095465503512
116,0.1024544666733777,0,0.0,2981.095465503512
135,0.10227424493886218,0,0.0,2981.095465503512
66,0.10227179903922452,0,0.0,2981.095465503512
204,0.10227177640755791,0,0.0,2981.095465503512
147,0.10227230331410149,0,0.0,2981.095465503512
20,0.10227193786475786,0,0.0,2981.095465503512
36,0.10226775705707879,0,0.0,2981.095465503512
