pickup_zone,avg_passenger_count,bkt_trip_distance,trip_distance_start,trip_distance_end
165,1.6708482034306327,0,0.0,2981.095465503512
103,1.67084870036725,0,0.0,2981.095465503512
30,1.670844075751567,0,0.0,2981.095465503512
244,1.6708466510721411,0,0.0,2981.095465503512
225,1.6708467602891504,0,0.0,2981.095465503512
28,1.6708457296166046,0,0.0,2981.095465503512
172,1.6706839122906743,0,0.0,2981.095465503512
143,1.670846850824839,94,280222.97375733015,283204.06922283367
106,1.6708169164186135,0,0.0,2981.095465503512
84,1.6708486078018912,0,0.0,2981.095465503512
232,1.6708440422017434,0,0.0,2981.095465503512
199,1.6708509411362442,0,0.0,2981.095465503512
222,1.6708439016482903,0,0.0,2981.095465503512
158,1.6708499279613285,0,0.0,2981.095465503512
189,1.670846637275365,0,0.0,2981.095465503512
91,1.6708549440868175,0,0.0,2981.095465503512
197,1.6708406544231362,0,0.0,2981.095465503512
179,1.670847342880363,0,0.0,2981.095465503512
178,1.6708476763094988,0,0.0,2981.095465503512
29,1.6708465303573958,0,0.0,2981.095465503512
146,1.6708465769182,0,0.0,2981.095465503512
92,1.6708435939503308,0,0.0,2981.095465503512
80,1.670846850824839,0,0.0,2981.095465503512
237,1.6708465415680958,0,0.0,2981.095465503512
159,1.6708479090945598,0,0.0,2981.095465503512
121,1.6708470376452516,0,0.0,2981.095465503512
1,1.6708471583594569,0,0.0,2981.095465503512
139,1.6708481122936316,0,0.0,2981.095465503512
235,1.6709038460067929,0,0.0,2981.095465503512
161,1.6708630055510407,0,0.0,2981.095465503512
248,1.670846850824839,1565,4665414.403512997,4668395.4989785
132,1.6708576041601526,0,0.0,2981.095465503512
97,1.6708462256936203,0,0.0,2981.095465503512
205,1.67084682179606,0,0.0,2981.095465503512
228,1.6708523202665084,0,0.0,2981.095465503512
56,1.6708462121814351,0,0.0,2981.095465503512
120,1.6708472198664142,0,0.0,2981.095465503512
33,1.6708278624813813,0,0.0,2981.095465503512
7,1.6708480634378438,0,0.0,2981.095465503512
19,1.670849141275625,0,0.0,2981.095465503512
229,1.669850382975753,0,0.0,2981.095465503512
256,1.6708486270853835,0,0.0,2981.095465503512
143,1.670846759139389,554,1651526.8878889456,1654507.9833544493
107,1.6708465455899066,0,0.0,2981.095465503512
58,1.6708405929135495,0,0.0,2981.095465503512
227,1.6708528043014705,0,0.0,2981.095465503512
93,1.670848038183297,0,0.0,2981.095465503512
155,1.6708568340478065,0,0.0,2981.095465503512
76,1.670846183446484,0,0.0,2981.095465503512
200,1.670846850824839,0,0.0,2981.095465503512
77,1.6708471003020764,0,0.0,2981.095465503512
239,1.672769624855804,0,0.0,2981.095465503512
207,1.670846850824839,0,0.0,2981.095465503512
157,1.6708762881852446,0,0.0,2981.095465503512
257,1.6708515739772853,0,0.0,2981.095465503512
25,1.6708463044438218,0,0.0,2981.095465503512
88,1.670849565814555,0,0.0,2981.095465503512
89,1.6708477444010579,0,0.0,2981.095465503512
64,1.6708306477912647,0,0.0,2981.095465503512
129,1.6708477475735437,0,0.0,2981.095465503512
