pickup_zone,avg_passenger_count,bkt_trip_distance,trip_distance_start,trip_distance_end
148,1.6708469436601008,0,0.0,2981.095465503512
133,1.6708498202655055,0,0.0,2981.095465503512
83,1.670846272832786,0,0.0,2981.095465503512
8,1.6707533404768844,0,0.0,2981.095465503512
87,1.6709213841616322,0,0.0,2981.095465503512
249,1.6708445943127215,0,0.0,2981.095465503512
73,1.6708469968351836,0,0.0,2981.095465503512
211,1.6708469738386522,0,0.0,2981.095465503512
144,1.6708424537703526,0,0.0,2981.095465503512
128,1.6708640245333959,0,0.0,2981.095465503512
130,1.670847826332119,0,0.0,2981.095465503512
203,1.6708472126856035,0,0.0,2981.095465503512
10,1.670847342880363,0,0.0,2981.095465503512
163,1.6708437630854212,0,0.0,2981.095465503512
193,1.6708560523296023,0,0.0,2981.095465503512
213,1.6708474704941874,0,0.0,2981.095465503512
154,1.6699448293194985,0,0.0,2981.095465503512
143,1.6711660635322074,0,0.0,2981.095465503512
26,1.6708451176990988,0,0.0,2981.095465503512
99,1.6708476955442038,0,0.0,2981.095465503512
150,1.670840631613039,0,0.0,2981.095465503512
116,1.6707573118806966,0,0.0,2981.095465503512
135,1.6708486958333195,0,0.0,2981.095465503512
66,1.6708469738386522,0,0.0,2981.095465503512
204,1.6708467904677187,0,0.0,2981.095465503512
147,1.670846555651001,0,0.0,2981.095465503512
20,1.6708474727941065,0,0.0,2981.095465503512
36,1.6708348930304002,0,0.0,2981.095465503512
141,1.6707164515685264,0,0.0,2981.095465503512
234,1.6708482838893404,0,0.0,2981.095465503512
221,1.6708469206793615,0,0.0,2981.095465503512
48,1.670844471599667,0,0.0,2981.095465503512
136,1.6709463214630258,0,0.0,2981.095465503512
82,1.6708467625886747,0,0.0,2981.095465503512
195,1.6708467904677187,0,0.0,2981.095465503512
137,1.6695450285206086,0,0.0,2981.095465503512
113,1.6708871236437015,0,0.0,2981.095465503512
223,1.670846834443663,0,0.0,2981.095465503512
51,1.6708422637427396,0,0.0,2981.095465503512
259,1.6708436499400776,0,0.0,2981.095465503512
69,1.6708479519241894,0,0.0,2981.095465503512
44,1.6708460894617685,0,0.0,2981.095465503512
13,1.6708487713478275,0,0.0,2981.095465503512
14,1.670846609396225,0,0.0,2981.095465503512
118,1.6708457520221907,0,0.0,2981.095465503512
116,1.6708465757684892,818,2438536.090781873,2441517.1862473763
38,1.6708466686036751,0,0.0,2981.095465503512
152,1.670849759807795,0,0.0,2981.095465503512
186,1.670847189687874,0,0.0,2981.095465503512
43,1.6707785667003654,0,0.0,2981.095465503512
95,1.6708459523629644,0,0.0,2981.095465503512
62,1.6708472917225567,0,0.0,2981.095465503512
45,1.6708533374134076,0,0.0,2981.095465503512
183,1.6708470666739648,0,0.0,2981.095465503512
145,1.670044988707407,0,0.0,2981.095465503512
24,1.6708469738386522,0,0.0,2981.095465503512
181,1.670845523525049,0,0.0,2981.095465503512
35,1.6708506310237818,0,0.0,2981.095465503512
31,1.67085187477072,0,0.0,2981.095465503512
6,1.670945347974845,0,0.0,2981.095465503512
156,1.6708458201527592,0,0.0,2981.095465503512
177,1.6708470689736583,0,0.0,2981.095465503512
-1,1.674179773305405,0,0.0,2981.095465503512
243,1.670847462475712,0,0.0,2981.095465503512
230,1.6708484301814592,0,0.0,2981.095465503512
50,1.6708470816220176,0,0.0,2981.095465503512
9,1.6708506747568044,0,0.0,2981.095465503512
169,1.670846850824839,0,0.0,2981.095465503512
2,1.6708467289608233,0,0.0,2981.095465503512
247,1.6708480680383504,0,0.0,2981.095465503512
112,1.6708465861159096,0,0.0,2981.095465503512
192,1.6708479522914228,0,0.0,2981.095465503512
153,1.670847342880363,0,0.0,2981.095465503512
123,1.6708468206462816,0,0.0,2981.095465503512
149,1.670846850824839,0,0.0,2981.095465503512
240,1.671577956972718,0,0.0,2981.095465503512
119,1.6708617191398936,0,0.0,2981.095465503512
94,1.6708707747091072,0,0.0,2981.095465503512
171,1.670767474069026,0,0.0,2981.095465503512
151,1.6708436883256201,0,0.0,2981.095465503512
212,1.670844854386148,0,0.0,2981.095465503512
102,1.6708466686036751,0,0.0,2981.095465503512
245,1.670845831912988,0,0.0,2981.095465503512
125,1.6708466441737417,0,0.0,2981.095465503512
167,1.670846667453939,0,0.0,2981.095465503512
117,1.6703816055591432,0,0.0,2981.095465503512
251,1.6708490162273255,0,0.0,2981.095465503512
191,1.6708498191415484,0,0.0,2981.095465503512
182,1.6708474437654812,0,0.0,2981.095465503512
49,1.6708569956898267,0,0.0,2981.095465503512
32,1.6708470353455758,0,0.0,2981.095465503512
176,1.67084691233174,0,0.0,2981.095465503512
126,1.670851539045803,0,0.0,2981.095465503512
180,1.6708631837291383,0,0.0,2981.095465503512
140,1.670846850824839,0,0.0,2981.095465503512
16,1.670846759139389,0,0.0,2981.095465503512
122,1.6708470640917052,0,0.0,2981.095465503512
52,1.670847906517928,0,0.0,2981.095465503512
219,1.6708525308857303,0,0.0,2981.095465503512
75,1.6698557058830157,0,0.0,2981.095465503512
224,1.670846791617489,0,0.0,2981.095465503512
248,1.670846850824839,2683,7998279.133945923,8001260.229411426
248,1.6703485520483512,0,0.0,2981.095465503512
74,1.6708519852901196,0,0.0,2981.095465503512
41,1.670846850824839,212,631992.2386867446,634973.3341522481
96,1.6708970371528826,0,0.0,2981.095465503512
41,1.672158244511731,0,0.0,2981.095465503512
216,1.6708489763083139,0,0.0,2981.095465503512
61,1.6708616470969808,0,0.0,2981.095465503512
63,1.670851756853091,0,0.0,2981.095465503512
15,1.670873068594019,0,0.0,2981.095465503512
54,1.6708465792176235,0,0.0,2981.095465503512
5,1.670846183446484,0,0.0,2981.095465503512
86,1.6708414951399635,0,0.0,2981.095465503512
175,1.6708462989862838,0,0.0,2981.095465503512
17,1.6708459627088872,0,0.0,2981.095465503512
105,1.6708722852432185,0,0.0,2981.095465503512
217,1.6708471583594569,0,0.0,2981.095465503512
258,1.67084691233174,0,0.0,2981.095465503512
