pickup_zone,avg_tip_amount,bkt_passenger_count,passenger_count_start,passenger_count_end
43,1.7507218300819456,2,2.649781677329658,3.974672515994487
133,1.7506454567360548,0,0.0,1.324890838664829
228,1.750649957650955,1,1.324890838664829,2.649781677329658
128,1.7505200418009375,1,1.324890838664829,2.649781677329658
64,1.7506550999223354,3,3.974672515994487,5.299563354659316
163,1.7506654239615451,1,1.324890838664829,2.649781677329658
81,1.7506639183657322,0,0.0,1.324890838664829
165,1.7506637599324315,2,2.649781677329658,3.974672515994487
117,1.7511193795530966,4,5.299563354659316,6.624454193324145
181,1.7506751235999258,0,0.0,1.324890838664829
241,1.7506634368345049,4,5.299563354659316,6.624454193324145
169,1.7506634368345049,0,0.0,1.324890838664829
103,1.7506503852763542,0,0.0,1.324890838664829
216,1.7506635973448845,4,5.299563354659316,6.624454193324145
225,1.7506634368345049,0,0.0,1.324890838664829
68,1.7506068574501048,1,1.324890838664829,2.649781677329658
25,1.750556945355947,0,0.0,1.324890838664829
105,1.7506609444029344,3,3.974672515994487,5.299563354659316
109,1.7506637975843473,4,5.299563354659316,6.624454193324145
119,1.750664384237219,1,1.324890838664829,2.649781677329658
223,1.7506634368345049,2,2.649781677329658,3.974672515994487
95,1.7506645113820503,0,0.0,1.324890838664829
92,1.7506544688070727,4,5.299563354659316,6.624454193324145
210,1.7506637578552937,1,1.324890838664829,2.649781677329658
52,1.7506635973448845,4,5.299563354659316,6.624454193324145
29,1.7506634368345049,4,5.299563354659316,6.624454193324145
69,1.7506634368345049,4,5.299563354659316,6.624454193324145
131,1.735726488506962,1,1.324890838664829,2.649781677329658
68,1.7505112133018972,0,0.0,1.324890838664829
71,1.7506553096513016,0,0.0,1.324890838664829
165,1.7506656297545478,0,0.0,1.324890838664829
141,1.750702646210134,1,1.324890838664829,2.649781677329658
193,1.7506831954611632,0,0.0,1.324890838664829
223,1.7506634368345049,4,5.299563354659316,6.624454193324145
128,1.7506481952068136,4,5.299563354659316,6.624454193324145
112,1.7506628026089546,0,0.0,1.324890838664829
239,1.7584719203110382,1,1.324890838664829,2.649781677329658
171,1.750746134621233,1,1.324890838664829,2.649781677329658
143,1.7506860754008753,3,3.974672515994487,5.299563354659316
193,1.7506647471335606,4,5.299563354659316,6.624454193324145
243,1.7506632961862436,2,2.649781677329658,3.974672515994487
39,1.7541421924968907,0,0.0,1.324890838664829
7,1.7506622027299312,0,0.0,1.324890838664829
76,1.7506634368345049,2,2.649781677329658,3.974672515994487
240,1.7551638812432904,1,1.324890838664829,2.649781677329658
226,1.7507462704243344,3,3.974672515994487,5.299563354659316
160,1.7506639083412008,4,5.299563354659316,6.624454193324145
-1,1.7460874016498227,0,0.0,1.324890838664829
253,1.75066189521645,2,2.649781677329658,3.974672515994487
238,1.7506615346040306,2,2.649781677329658,3.974672515994487
125,1.7506634368345049,4,5.299563354659316,6.624454193324145
189,1.7506634368345049,3,3.974672515994487,5.299563354659316
141,1.7508739579361134,0,0.0,1.324890838664829
198,1.7506576410621082,0,0.0,1.324890838664829
9,1.7506327627087166,0,0.0,1.324890838664829
70,1.7506340148760995,2,2.649781677329658,3.974672515994487
230,1.750664439681381,0,0.0,1.324890838664829
144,1.7506668835360377,3,3.974672515994487,5.299563354659316
34,1.750660838832389,1,1.324890838664829,2.649781677329658
114,1.75084873655958,2,2.649781677329658,3.974672515994487
236,1.750675463392125,1,1.324890838664829,2.649781677329658
86,1.750668937253625,3,3.974672515994487,5.299563354659316
197,1.7506634159248577,4,5.299563354659316,6.624454193324145
19,1.7506634407452344,4,5.299563354659316,6.624454193324145
222,1.7506638168991666,3,3.974672515994487,5.299563354659316
165,1.750663104441901,4,5.299563354659316,6.624454193324145
121,1.7506634368345049,3,3.974672515994487,5.299563354659316
48,1.7506634368345049,3,3.974672515994487,5.299563354659316
105,1.750663508692445,4,5.299563354659316,6.624454193324145
186,1.7506582083753826,0,0.0,1.324890838664829
83,1.7506602143330672,0,0.0,1.324890838664829
248,1.7508134128277142,4,5.299563354659316,6.624454193324145
14,1.750662120413564,0,0.0,1.324890838664829
246,1.7506637578552937,0,0.0,1.324890838664829
154,1.7538648369697707,3,3.974672515994487,5.299563354659316
141,1.7507129564107913,3,3.974672515994487,5.299563354659316
