pickup_zone,avg_tip_percentage,bkt_total_amount,total_amount_start,total_amount_end
12,0.1022718725134998,26,-11.667104224286277,24.74569945939504
64,0.10227178567435988,29,97.57130682675768,133.98411051043888
164,0.10227177916341379,32,206.80971787780152,243.22252156148272
122,0.10227178812191595,30,133.98411051043888,170.3969141941203
98,0.10227179159467807,26,-11.667104224286277,24.74569945939504
135,0.10227180305539967,27,24.74569945939504,61.15850314307636
96,0.10227136546731512,28,61.15850314307636,97.57130682675768
117,0.10227167549463675,32,206.80971787780152,243.22252156148272
203,0.1022718068755892,28,61.15850314307636,97.57130682675768
163,0.10227177284100762,28,61.15850314307636,97.57130682675768
107,0.10227178761480617,31,170.3969141941203,206.80971787780152
142,0.10227175079935201,28,61.15850314307636,97.57130682675768
178,0.10227180096881752,29,97.57130682675768,133.98411051043888
38,0.10227179749875172,26,-11.667104224286277,24.74569945939504
116,0.1022718068755892,24,-84.4927115916488,-48.079907907967595
69,0.10227178812191595,25,-48.079907907967595,-11.667104224286277
23,0.1022740130072922,26,-11.667104224286277,24.74569945939504
24,0.10227178812191595,28,61.15850314307636,97.57130682675768
137,0.10227170712793832,38,425.2865399798892,461.69934366357063
174,0.102271763400717,27,24.74569945939504,61.15850314307636
68,0.10227174793488447,30,133.98411051043888,170.3969141941203
178,0.10227177510258205,35,316.04812892884536,352.4609326125268
41,0.10227178812191595,23,-120.90551527533012,-84.4927115916488
169,0.10227178812191595,27,24.74569945939504,61.15850314307636
248,0.10203841443131963,26,-11.667104224286277,24.74569945939504
143,0.10227181300352257,29,97.57130682675768,133.98411051043888
127,0.10227170818814361,32,206.80971787780152,243.22252156148272
60,0.10227176978482597,28,61.15850314307636,97.57130682675768
229,0.10227180464707794,33,243.22252156148272,279.63532524516415
5,0.10227176696285097,35,316.04812892884536,352.4609326125268
164,0.10227171231174854,33,243.22252156148272,279.63532524516415
234,0.10227178812191595,33,243.22252156148272,279.63532524516415
131,0.10227178812191595,46,716.5889694493397,753.001773133021
105,0.10227471707071248,26,-11.667104224286277,24.74569945939504
255,0.10227232009264946,26,-11.667104224286277,24.74569945939504
93,0.10227174747819603,28,61.15850314307636,97.57130682675768
103,0.10227170551524095,27,24.74569945939504,61.15850314307636
159,0.10227175658678787,27,24.74569945939504,61.15850314307636
65,0.10227179158397291,29,97.57130682675768,133.98411051043888
58,0.10227178222376254,29,97.57130682675768,133.98411051043888
116,0.10227173415323211,31,170.3969141941203,206.80971787780152
116,0.10226789600027517,27,24.74569945939504,61.15850314307636
154,0.10227107795803268,30,133.98411051043888,170.3969141941203
206,0.10227167023019963,28,61.15850314307636,97.57130682675768
78,0.10227177078113922,29,97.57130682675768,133.98411051043888
69,0.10227178812191595,29,97.57130682675768,133.98411051043888
12,0.10227180941022879,27,24.74569945939504,61.15850314307636
219,0.10227176696447866,36,352.4609326125268,388.873736296208
247,0.10227177284013746,31,170.3969141941203,206.80971787780152
114,0.10223793124086744,27,24.74569945939504,61.15850314307636
19,0.10227166472192928,27,24.74569945939504,61.15850314307636
91,0.10227175343393483,29,97.57130682675768,133.98411051043888
223,0.10227180299700533,26,-11.667104224286277,24.74569945939504
74,0.10227177284100762,31,170.3969141941203,206.80971787780152
8,0.1022718068755892,24,-84.4927115916488,-48.079907907967595
154,0.10227178240586544,35,316.04812892884536,352.4609326125268
118,0.10227176698177862,30,133.98411051043888,170.3969141941203
131,0.10227178812191595,23,-120.90551527533012,-84.4927115916488
253,0.1022717755788135,33,243.22252156148272,279.63532524516415
243,0.10227222265031553,26,-11.667104224286277,24.74569945939504
41,0.10227160666699879,30,133.98411051043888,170.3969141941203
192,0.10227165348126871,27,24.74569945939504,61.15850314307636
-1,0.10227153622267006,38,425.2865399798892,461.69934366357063
188,0.10227179201999066,28,61.15850314307636,97.57130682675768
33,0.10227167876065113,29,97.57130682675768,133.98411051043888
177,0.10227180097151589,27,24.74569945939504,61.15850314307636
133,0.10227333101147307,26,-11.667104224286277,24.74569945939504
179,0.10227171534332306,27,24.74569945939504,61.15850314307636
33,0.10227156237361996,28,61.15850314307636,97.57130682675768
