pickup_zone,avg_passenger_count,bkt_tip_percentage,tip_percentage_start,tip_percentage_end
136,1.670744862790862,895,-0.06705895627459313,0.021506713420407664
239,1.6705952268241704,895,-0.06705895627459313,0.021506713420407664
154,1.6672963308998978,895,-0.06705895627459313,0.021506713420407664
171,1.6708915386015015,897,0.11007238311540846,0.19863805281040925
143,1.6708480341338214,899,0.28720372250541004,0.37576939220041083
145,1.6708467927672597,905,0.8185977406754148,0.9071634103704156
56,1.670846759139389,902,0.5529007315904124,0.6414664012854132
103,1.67084691233174,904,0.730032070980414,0.8185977406754148
184,1.6708463923975891,898,0.19863805281040925,0.28720372250541004
12,1.670846850824839,898,0.19863805281040925,0.28720372250541004
105,1.6708467324100844,899,0.28720372250541004,0.37576939220041083
73,1.6708465941639388,895,-0.06705895627459313,0.021506713420407664
32,1.670846850824839,895,-0.06705895627459313,0.021506713420407664
208,1.6708472198664142,898,0.19863805281040925,0.28720372250541004
225,1.6708467602891504,895,-0.06705895627459313,0.021506713420407664
35,1.6708470353455758,900,0.37576939220041083,0.4643350618954116
243,1.670846850824839,901,0.4643350618954116,0.5529007315904124
196,1.670846791617489,899,0.28720372250541004,0.37576939220041083
82,1.670846759139389,898,0.19863805281040925,0.28720372250541004
223,1.670846850824839,906,0.9071634103704156,0.9957290800654164
229,1.6712861880465488,897,0.11007238311540846,0.19863805281040925
181,1.6708456692591402,897,0.11007238311540846,0.19863805281040925
61,1.6708496888314153,896,0.021506713420407664,0.11007238311540846
37,1.6708471618090737,895,-0.06705895627459313,0.021506713420407664
129,1.6708463633686421,896,0.021506713420407664,0.11007238311540846
158,1.6708469738386522,898,0.19863805281040925,0.28720372250541004
83,1.670846759139389,898,0.19863805281040925,0.28720372250541004
71,1.6708465455899066,904,0.730032070980414,0.8185977406754148
189,1.670846637275365,895,-0.06705895627459313,0.021506713420407664
74,1.670846484083039,904,0.730032070980414,0.8185977406754148
-1,1.6724622558564852,897,0.11007238311540846,0.19863805281040925
85,1.6708346489475745,898,0.19863805281040925,0.28720372250541004
