pickup_zone,avg_passenger_count,bkt_total_amount,total_amount_start,total_amount_end
12,1.6708473127018284,26,-11.667104224286277,24.74569945939504
64,1.670846850824839,29,97.57130682675768,133.98411051043888
164,1.67084691233174,32,206.80971787780152,243.22252156148272
122,1.670846850824839,30,133.98411051043888,170.3969141941203
98,1.6708469738386522,26,-11.667104224286277,24.74569945939504
135,1.6708464142412454,27,24.74569945939504,61.15850314307636
96,1.6708475121724464,28,61.15850314307636,97.57130682675768
117,1.6708467022314886,32,206.80971787780152,243.22252156148272
203,1.6708466070967851,28,61.15850314307636,97.57130682675768
163,1.670846850824839,28,61.15850314307636,97.57130682675768
107,1.670846850824839,31,170.3969141941203,206.80971787780152
142,1.6708469134815436,28,61.15850314307636,97.57130682675768
178,1.6708469436601008,29,97.57130682675768,133.98411051043888
38,1.67084691233174,26,-11.667104224286277,24.74569945939504
116,1.6708468821531854,24,-84.4927115916488,-48.079907907967595
69,1.670846850824839,25,-48.079907907967595,-11.667104224286277
23,1.670852567741318,26,-11.667104224286277,24.74569945939504
24,1.670846850824839,28,61.15850314307636,97.57130682675768
137,1.670846850824839,38,425.2865399798892,461.69934366357063
174,1.6708468252453987,27,24.74569945939504,61.15850314307636
68,1.6708471281809139,30,133.98411051043888,170.3969141941203
178,1.670846850824839,35,316.04812892884536,352.4609326125268
41,1.6708465757684892,23,-120.90551527533012,-84.4927115916488
169,1.670846850824839,27,24.74569945939504,61.15850314307636
248,1.6704819547517895,26,-11.667104224286277,24.74569945939504
143,1.6708467450574243,29,97.57130682675768,133.98411051043888
127,1.67084691233174,32,206.80971787780152,243.22252156148272
60,1.670846850824839,28,61.15850314307636,97.57130682675768
229,1.6708470666739648,33,243.22252156148272,279.63532524516415
5,1.670846759139389,35,316.04812892884536,352.4609326125268
164,1.670846637275365,33,243.22252156148272,279.63532524516415
234,1.670846850824839,33,243.22252156148272,279.63532524516415
131,1.670846667453939,46,716.5889694493397,753.001773133021
105,1.670870406430802,26,-11.667104224286277,24.74569945939504
255,1.6708473348584107,26,-11.667104224286277,24.74569945939504
93,1.6708468833029808,28,61.15850314307636,97.57130682675768
103,1.670846920380378,27,24.74569945939504,61.15850314307636
159,1.6708474658943566,27,24.74569945939504,61.15850314307636
65,1.6708466070967851,29,97.57130682675768,133.98411051043888
58,1.67084691233174,29,97.57130682675768,133.98411051043888
116,1.6708466686036751,31,170.3969141941203,206.80971787780152
116,1.6708181404738145,27,24.74569945939504,61.15850314307636
154,1.6708491447269254,30,133.98411051043888,170.3969141941203
206,1.6708471026017901,28,61.15850314307636,97.57130682675768
78,1.6708465780679114,29,97.57130682675768,133.98411051043888
69,1.670846850824839,29,97.57130682675768,133.98411051043888
12,1.6708465769182,27,24.74569945939504,61.15850314307636
219,1.670846850824839,36,352.4609326125268,388.873736296208
247,1.670846850824839,31,170.3969141941203,206.80971787780152
114,1.6708037566161618,27,24.74569945939504,61.15850314307636
19,1.6708469540084347,27,24.74569945939504,61.15850314307636
91,1.670847313851743,29,97.57130682675768,133.98411051043888
223,1.6708468902017661,26,-11.667104224286277,24.74569945939504
74,1.670846667453939,31,170.3969141941203,206.80971787780152
8,1.6708469738386522,24,-84.4927115916488,-48.079907907967595
154,1.670846667453939,35,316.04812892884536,352.4609326125268
118,1.670846850824839,30,133.98411051043888,170.3969141941203
131,1.670846850824839,23,-120.90551527533012,-84.4927115916488
253,1.670846850824839,33,243.22252156148272,279.63532524516415
243,1.670847903664769,26,-11.667104224286277,24.74569945939504
41,1.6708494781089815,30,133.98411051043888,170.3969141941203
192,1.670846546453291,27,24.74569945939504,61.15850314307636
-1,1.670847375358754,38,425.2865399798892,461.69934366357063
188,1.6708470968525106,28,61.15850314307636,97.57130682675768
33,1.6708470666739648,29,97.57130682675768,133.98411051043888
177,1.6708469436601008,27,24.74569945939504,61.15850314307636
133,1.670850799182361,26,-11.667104224286277,24.74569945939504
179,1.67084691233174,27,24.74569945939504,61.15850314307636
33,1.6708468298445258,28,61.15850314307636,97.57130682675768
141,1.670846484083039,25,-48.079907907967595,-11.667104224286277
133,1.6708478174086896,28,61.15850314307636,97.57130682675768
131,1.6708475923583699,35,316.04812892884536,352.4609326125268
258,1.67084691233174,28,61.15850314307636,97.57130682675768
78,1.670846850824839,30,133.98411051043888,170.3969141941203
195,1.6708467904677187,28,61.15850314307636,97.57130682675768
88,1.670846759139389,34,279.63532524516415,316.04812892884536
106,1.6708461598762967,29,97.57130682675768,133.98411051043888
114,1.6708467324100844,30,133.98411051043888,170.3969141941203
184,1.6708470353455758,27,24.74569945939504,61.15850314307636
186,1.67084691233174,26,-11.667104224286277,24.74569945939504
142,1.670846759139389,29,97.57130682675768,133.98411051043888
245,1.6708487679116308,27,24.74569945939504,61.15850314307636
172,1.6708468206462816,31,170.3969141941203,206.80971787780152
161,1.670847283673195,28,61.15850314307636,97.57130682675768
186,1.67084691233174,27,24.74569945939504,61.15850314307636
83,1.670846118490824,26,-11.667104224286277,24.74569945939504
164,1.670846850824839,34,279.63532524516415,316.04812892884536
143,1.67084691233174,42,570.9377547146145,607.3505583982957
180,1.6708683370569286,26,-11.667104224286277,24.74569945939504
41,1.6708468531244127,33,243.22252156148272,279.63532524516415
19,1.670846759139389,28,61.15850314307636,97.57130682675768
183,1.670846759139389,34,279.63532524516415,316.04812892884536
83,1.670846850824839,32,206.80971787780152,243.22252156148272
150,1.670837168774031,26,-11.667104224286277,24.74569945939504
47,1.6708479010439974,26,-11.667104224286277,24.74569945939504
105,1.6708475610298383,28,61.15850314307636,97.57130682675768
