pickup_zone,avg_tip_percentage,bkt_tip_amount,tip_amount_start,tip_amount_end
192,0.1022715227335429,86,4.824946785283288,7.448492678135409
238,0.10227174753472083,86,4.824946785283288,7.448492678135409
117,0.10227134278321641,99,38.931043392361005,41.554589285213126
235,0.10227152283438552,95,28.436859820952463,31.060405713804585
109,0.10227171037265438,92,20.56622214239607,23.189768035248193
58,0.10227163564077726,87,7.448492678135409,10.072038570987559
131,0.10227176697053703,124,104.51969071366426,107.14323660651638
183,0.10227177284256135,90,15.319130356691801,17.94267624954395
83,0.1022717728606573,88,10.072038570987559,12.69558446383968
161,0.10227177284007019,94,25.813313928100342,28.436859820952463
145,0.10227160425326719,99,38.931043392361005,41.554589285213126
131,0.10227178812191595,77,-18.786966250385888,-16.163420357533766
124,0.10227177288008922,89,12.69558446383968,15.319130356691801
67,0.10227176978482597,87,7.448492678135409,10.072038570987559
131,0.10226595627151168,85,2.2014008924311668,4.824946785283288
143,0.10226796472407745,87,7.448492678135409,10.072038570987559
259,0.10227147382577118,88,10.072038570987559,12.69558446383968
6,0.10227131257182481,91,17.94267624954395,20.56622214239607
221,0.10227175648694167,86,4.824946785283288,7.448492678135409
74,0.10227170366076246,89,12.69558446383968,15.319130356691801
241,0.10227176016903486,87,7.448492678135409,10.072038570987559
114,0.10227170435338397,109,65.16650232088233,67.79004821373445
131,0.10227163334538039,141,149.1199708921505,151.74351678500267
46,0.1022717728388435,88,10.072038570987559,12.69558446383968
239,0.1022716665338349,122,99.27259892796002,101.89614482081214
228,0.10227172934919161,95,28.436859820952463,31.060405713804585
114,0.10256885628910115,84,-0.4221450004209828,2.2014008924311668
97,0.1022729769437095,84,-0.4221450004209828,2.2014008924311668
70,0.10226781621077999,86,4.824946785283288,7.448492678135409
113,0.10227135987744586,91,17.94267624954395,20.56622214239607
58,0.10227169882668137,89,12.69558446383968,15.319130356691801
193,0.10227157849601169,93,23.189768035248193,25.813313928100342
144,0.10227177386829557,88,10.072038570987559,12.69558446383968
197,0.10227366869060467,84,-0.4221450004209828,2.2014008924311668
235,0.10226558976643879,88,10.072038570987559,12.69558446383968
65,0.10227156319634502,89,12.69558446383968,15.319130356691801
253,0.10227152433863597,90,15.319130356691801,17.94267624954395
259,0.10227153705596148,91,17.94267624954395,20.56622214239607
19,0.10227170270333596,85,2.2014008924311668,4.824946785283288
154,0.10227155229068363,160,198.96734285634102,201.59088874919314
154,0.1022717087203546,148,167.48479214211545,170.10833803496757
2,0.10227177523116728,90,15.319130356691801,17.94267624954395
114,0.10225783942312021,87,7.448492678135409,10.072038570987559
75,0.1022699589059837,90,15.319130356691801,17.94267624954395
235,0.10227061628304289,91,17.94267624954395,20.56622214239607
-1,0.10227138988190454,113,75.66068589229081,78.28423178514294
145,0.10227136640059686,95,28.436859820952463,31.060405713804585
141,0.10227171207217434,90,15.319130356691801,17.94267624954395
237,0.10227172958818496,85,2.2014008924311668,4.824946785283288
222,0.10227176701899651,88,10.072038570987559,12.69558446383968
88,0.10227169383212042,89,12.69558446383968,15.319130356691801
15,0.10231042137712035,84,-0.4221450004209828,2.2014008924311668
245,0.10226062398174461,85,2.2014008924311668,4.824946785283288
91,0.10227861797420862,84,-0.4221450004209828,2.2014008924311668
229,0.10227148250405108,114,78.28423178514294,80.90777767799511
126,0.10227155392707112,88,10.072038570987559,12.69558446383968
160,0.10227177525509455,86,4.824946785283288,7.448492678135409
229,0.10227155055273897,107,59.91941053517803,62.54295642803015
119,0.10227175206604777,88,10.072038570987559,12.69558446383968
229,0.10227171479213897,113,75.66068589229081,78.28423178514294
202,0.10227178129115311,84,-0.4221450004209828,2.2014008924311668
141,0.10227176693565042,91,17.94267624954395,20.56622214239607
83,0.10227177678779902,89,12.69558446383968,15.319130356691801
131,0.10227037677140793,95,28.436859820952463,31.060405713804585
203,0.10227212617633788,84,-0.4221450004209828,2.2014008924311668
126,0.10227102040682724,86,4.824946785283288,7.448492678135409
77,0.10227177978687504,85,2.2014008924311668,4.824946785283288
53,0.10227175516853493,89,12.69558446383968,15.319130356691801
70,0.10227175798597639,98,36.307497499508884,38.931043392361005
13,0.10227175406342785,91,17.94267624954395,20.56622214239607
49,0.10227163547863762,88,10.072038570987559,12.69558446383968
113,0.10227169619720504,90,15.319130356691801,17.94267624954395
85,0.10227171894094143,101,44.17813517806525,46.80168107091737
-1,0.10227169653459527,190,277.67371964190494,280.29726553475706
217,0.10227176986091346,85,2.2014008924311668,4.824946785283288
57,0.10227177978687504,85,2.2014008924311668,4.824946785283288
31,0.10227176192574242,127,112.39032839222068,115.0138742850728
239,0.10227178812191595,60,-63.38724642887212,-60.763700536019996
226,0.10226379878037871,86,4.824946785283288,7.448492678135409
162,0.10227291255188,84,-0.4221450004209828,2.2014008924311668
97,0.10227165869387905,86,4.824946785283288,7.448492678135409
181,0.10227174598176354,86,4.824946785283288,7.448492678135409
-1,0.10227084937099057,115,80.90777767799511,83.53132357084723
227,0.10227176696373519,95,28.436859820952463,31.060405713804585
219,0.10227172149004823,103,49.425226963769546,52.04877285662167
33,0.10227167711948572,101,44.17813517806525,46.80168107091737
129,0.10227170853894538,92,20.56622214239607,23.189768035248193
130,0.10227175667700884,86,4.824946785283288,7.448492678135409
135,0.10227170774830721,94,25.813313928100342,28.436859820952463
248,0.10227163429842986,141,149.1199708921505,151.74351678500267
116,0.10227173448006126,101,44.17813517806525,46.80168107091737
143,0.10227173020162529,94,25.813313928100342,28.436859820952463
219,0.10227176693480565,102,46.80168107091737,49.425226963769546
