pickup_zone,avg_trip_distance,bkt_total_amount,total_amount_start,total_amount_end
12,4.64819917158435,26,-11.667104224286277,24.74569945939504
64,4.648195466227596,29,97.57130682675768,133.98411051043888
164,4.6481917032909355,32,206.80971787780152,243.22252156148272
122,4.648193652689396,30,133.98411051043888,170.3969141941203
98,4.64819788639302,26,-11.667104224286277,24.74569945939504
135,4.64817780817243,27,24.74569945939504,61.15850314307636
96,4.648138638216897,28,61.15850314307636,97.57130682675768
117,4.648167778124403,32,206.80971787780152,243.22252156148272
203,4.648196343326614,28,61.15850314307636,97.57130682675768
163,4.648196135531381,28,61.15850314307636,97.57130682675768
107,4.648197740026755,31,170.3969141941203,206.80971787780152
142,4.6481977246961135,28,61.15850314307636,97.57130682675768
178,4.648188096969608,29,97.57130682675768,133.98411051043888
38,4.6481979516549226,26,-11.667104224286277,24.74569945939504
116,4.64819853460927,24,-84.4927115916488,-48.079907907967595
69,4.648197740026755,25,-48.079907907967595,-11.667104224286277
23,4.648311972737356,26,-11.667104224286277,24.74569945939504
24,4.64819639225064,28,61.15850314307636,97.57130682675768
137,4.648197740026755,38,425.2865399798892,461.69934366357063
174,4.648190601074688,27,24.74569945939504,61.15850314307636
68,4.648186621251531,30,133.98411051043888,170.3969141941203
178,4.648197740026755,35,316.04812892884536,352.4609326125268
41,4.648197740026755,23,-120.90551527533012,-84.4927115916488
169,4.648196945113904,27,24.74569945939504,61.15850314307636
248,4.298721253468855,26,-11.667104224286277,24.74569945939504
143,4.648152574908661,29,97.57130682675768,133.98411051043888
127,4.6481954064665985,32,206.80971787780152,243.22252156148272
60,4.648196749823896,28,61.15850314307636,97.57130682675768
229,4.6481757007588405,33,243.22252156148272,279.63532524516415
5,4.648192477281928,35,316.04812892884536,352.4609326125268
164,4.64819289245133,33,243.22252156148272,279.63532524516415
234,4.648196615046284,33,243.22252156148272,279.63532524516415
131,4.648196135531381,46,716.5889694493397,753.001773133021
105,4.648869539044107,26,-11.667104224286277,24.74569945939504
255,4.64827073822586,26,-11.667104224286277,24.74569945939504
93,4.64819059048274,28,61.15850314307636,97.57130682675768
103,4.648190618835608,27,24.74569945939504,61.15850314307636
159,4.648197827309311,27,24.74569945939504,61.15850314307636
65,4.648194131873156,29,97.57130682675768,133.98411051043888
58,4.6481968615148235,29,97.57130682675768,133.98411051043888
116,4.648198973617528,31,170.3969141941203,206.80971787780152
116,4.646105517064025,27,24.74569945939504,61.15850314307636
154,4.647877281213887,30,133.98411051043888,170.3969141941203
206,4.648193508346852,28,61.15850314307636,97.57130682675768
78,4.648184499649052,29,97.57130682675768,133.98411051043888
69,4.648197740026755,29,97.57130682675768,133.98411051043888
12,4.648196255143189,27,24.74569945939504,61.15850314307636
219,4.648192515789817,36,352.4609326125268,388.873736296208
247,4.648195621176007,31,170.3969141941203,206.80971787780152
114,4.643618111029585,27,24.74569945939504,61.15850314307636
19,4.648187086692063,27,24.74569945939504,61.15850314307636
91,4.648177613065453,29,97.57130682675768,133.98411051043888
223,4.648203120007179,26,-11.667104224286277,24.74569945939504
74,4.648194897777806,31,170.3969141941203,206.80971787780152
8,4.648198558447492,24,-84.4927115916488,-48.079907907967595
154,4.648197740026755,35,316.04812892884536,352.4609326125268
118,4.64819773085821,30,133.98411051043888,170.3969141941203
131,4.648197739109901,23,-120.90551527533012,-84.4927115916488
253,4.64819370861752,33,243.22252156148272,279.63532524516415
243,4.648253146425746,26,-11.667104224286277,24.74569945939504
41,4.64804346911194,30,133.98411051043888,170.3969141941203
192,4.648173192015388,27,24.74569945939504,61.15850314307636
-1,4.6481900005342744,38,425.2865399798892,461.69934366357063
188,4.648192495872984,28,61.15850314307636,97.57130682675768
33,4.648195921994098,29,97.57130682675768,133.98411051043888
177,4.648194203222254,27,24.74569945939504,61.15850314307636
133,4.648257770900499,26,-11.667104224286277,24.74569945939504
179,4.648198111187621,27,24.74569945939504,61.15850314307636
33,4.648183408177614,28,61.15850314307636,97.57130682675768
141,4.648197740026755,25,-48.079907907967595,-11.667104224286277
133,4.648171046592124,28,61.15850314307636,97.57130682675768
131,4.648104388669789,35,316.04812892884536,352.4609326125268
258,4.648195754871341,28,61.15850314307636,97.57130682675768
78,4.648194571377604,30,133.98411051043888,170.3969141941203
195,4.6481961627062445,28,61.15850314307636,97.57130682675768
88,4.648192972383358,34,279.63532524516415,316.04812892884536
106,4.6480606642951,29,97.57130682675768,133.98411051043888
114,4.648183870937323,30,133.98411051043888,170.3969141941203
184,4.64819567660784,27,24.74569945939504,61.15850314307636
186,4.648194709657115,26,-11.667104224286277,24.74569945939504
142,4.648197666678396,29,97.57130682675768,133.98411051043888
245,4.647280505256125,27,24.74569945939504,61.15850314307636
172,4.648193336208949,31,170.3969141941203,206.80971787780152
161,4.648188100809487,28,61.15850314307636,97.57130682675768
186,4.6481963508268205,27,24.74569945939504,61.15850314307636
83,4.648198142947123,26,-11.667104224286277,24.74569945939504
164,4.648197740026755,34,279.63532524516415,316.04812892884536
143,4.648198120356167,42,570.9377547146145,607.3505583982957
180,4.650400147781182,26,-11.667104224286277,24.74569945939504
41,4.648177972558278,33,243.22252156148272,279.63532524516415
19,4.648195869643576,28,61.15850314307636,97.57130682675768
183,4.648194763000195,34,279.63532524516415,316.04812892884536
83,4.648195415800599,32,206.80971787780152,243.22252156148272
150,4.648382972394386,26,-11.667104224286277,24.74569945939504
47,4.648203071342129,26,-11.667104224286277,24.74569945939504
105,4.648172230867414,28,61.15850314307636,97.57130682675768
43,4.648185883016924,29,97.57130682675768,133.98411051043888
