pickup_zone,avg_total_amount,bkt_trip_distance,trip_distance_start,trip_distance_end
165,15.641411523052803,0,0.0,2981.095465503512
103,15.64130657200376,0,0.0,2981.095465503512
30,15.638553887292593,0,0.0,2981.095465503512
244,15.641372561019251,0,0.0,2981.095465503512
225,15.641378442031211,0,0.0,2981.095465503512
28,15.64137581618377,0,0.0,2981.095465503512
172,15.646332579159848,0,0.0,2981.095465503512
143,15.641397006121968,94,280222.97375733015,283204.06922283367
106,15.69027218474242,0,0.0,2981.095465503512
84,15.641376620200324,0,0.0,2981.095465503512
232,15.641398242150569,0,0.0,2981.095465503512
199,15.639464035207638,0,0.0,2981.095465503512
222,15.6413698869224,0,0.0,2981.095465503512
158,15.641370698204215,0,0.0,2981.095465503512
189,15.641390192186789,0,0.0,2981.095465503512
91,15.640590241280304,0,0.0,2981.095465503512
197,15.641160085573054,0,0.0,2981.095465503512
179,15.641384090490984,0,0.0,2981.095465503512
178,15.640647387292578,0,0.0,2981.095465503512
29,15.641360408570554,0,0.0,2981.095465503512
146,15.641395251646228,0,0.0,2981.095465503512
92,15.638752942675126,0,0.0,2981.095465503512
80,15.641397006121968,0,0.0,2981.095465503512
237,15.641391957810491,0,0.0,2981.095465503512
159,15.641364113802283,0,0.0,2981.095465503512
121,15.641394454749703,0,0.0,2981.095465503512
1,15.641358976537173,0,0.0,2981.095465503512
139,15.641390281964815,0,0.0,2981.095465503512
235,15.643520987913991,0,0.0,2981.095465503512
161,15.641399056376567,0,0.0,2981.095465503512
248,15.64139562533909,1565,4665414.403512997,4668395.4989785
132,15.64120575565921,0,0.0,2981.095465503512
97,15.641194735415478,0,0.0,2981.095465503512
205,15.641385001337088,0,0.0,2981.095465503512
228,15.640548670979184,0,0.0,2981.095465503512
56,15.641441906949131,0,0.0,2981.095465503512
120,15.641390386280497,0,0.0,2981.095465503512
33,15.6413610263803,0,0.0,2981.095465503512
7,15.641368464798704,0,0.0,2981.095465503512
19,15.641388103937517,0,0.0,2981.095465503512
229,15.674772189492208,0,0.0,2981.095465503512
256,15.641300550259068,0,0.0,2981.095465503512
143,15.641397006121968,554,1651526.8878889456,1654507.9833544493
107,15.641381771794292,0,0.0,2981.095465503512
58,15.6408437859922,0,0.0,2981.095465503512
227,15.63978830589593,0,0.0,2981.095465503512
93,15.641423083929062,0,0.0,2981.095465503512
155,15.641263580743594,0,0.0,2981.095465503512
76,15.641395263927741,0,0.0,2981.095465503512
200,15.641395905896568,0,0.0,2981.095465503512
77,15.641362693549677,0,0.0,2981.095465503512
239,16.15777035835638,0,0.0,2981.095465503512
207,15.641396685222892,0,0.0,2981.095465503512
157,15.64396507833635,0,0.0,2981.095465503512
257,15.641418437088673,0,0.0,2981.095465503512
25,15.640038465388354,0,0.0,2981.095465503512
88,15.641192893185469,0,0.0,2981.095465503512
89,15.641376639680544,0,0.0,2981.095465503512
64,15.640808184120223,0,0.0,2981.095465503512
129,15.641347596300548,0,0.0,2981.095465503512
37,15.641374918741652,0,0.0,2981.095465503512
142,15.641360497431055,0,0.0,2981.095465503512
131,14.714239234775098,0,0.0,2981.095465503512
47,15.64138414159391,0,0.0,2981.095465503512
170,15.641384149578945,0,0.0,2981.095465503512
208,15.641188190857989,0,0.0,2981.095465503512
21,15.641386737351572,0,0.0,2981.095465503512
98,15.641396118862822,0,0.0,2981.095465503512
198,15.640793284198613,0,0.0,2981.095465503512
252,15.641384757031057,0,0.0,2981.095465503512
160,15.6414274632254,0,0.0,2981.095465503512
90,15.641331893557712,0,0.0,2981.095465503512
220,15.641277953634047,0,0.0,2981.095465503512
242,15.641387179651352,0,0.0,2981.095465503512
81,15.64139721567721,0,0.0,2981.095465503512
18,15.641396109893778,0,0.0,2981.095465503512
57,15.641356691923349,0,0.0,2981.095465503512
143,15.641396960279243,470,1401114.8687866507,1404095.964252154
109,15.641109121704828,0,0.0,2981.095465503512
70,15.63263186447832,0,0.0,2981.095465503512
246,15.641392653279864,0,0.0,2981.095465503512
253,15.6420859027074,0,0.0,2981.095465503512
194,15.64136398536057,0,0.0,2981.095465503512
238,15.64136119722167,0,0.0,2981.095465503512
236,15.641377978275733,0,0.0,2981.095465503512
23,15.641439636546798,0,0.0,2981.095465503512
79,15.641071482227115,0,0.0,2981.095465503512
206,15.64117872223678,0,0.0,2981.095465503512
60,15.641392498435929,0,0.0,2981.095465503512
0,15.641383497181106,0,0.0,2981.095465503512
85,15.569318602950108,0,0.0,2981.095465503512
168,15.641393475037242,0,0.0,2981.095465503512
46,15.641394296738486,0,0.0,2981.095465503512
210,15.64137829568129,0,0.0,2981.095465503512
115,15.641391200854383,0,0.0,2981.095465503512
226,15.650613443239427,0,0.0,2981.095465503512
196,15.639740837555562,0,0.0,2981.095465503512
53,15.641091684500072,0,0.0,2981.095465503512
127,15.642007470052773,0,0.0,2981.095465503512
190,15.6413889332181,0,0.0,2981.095465503512
39,15.675923105024523,0,0.0,2981.095465503512
55,15.641301135216498,0,0.0,2981.095465503512
134,15.641257417608653,0,0.0,2981.095465503512
34,15.641250418280576,0,0.0,2981.095465503512
72,15.661465465151833,0,0.0,2981.095465503512
68,15.638351692100551,0,0.0,2981.095465503512
184,15.641379538779523,0,0.0,2981.095465503512
59,15.641392084040694,0,0.0,2981.095465503512
78,15.64121204125634,0,0.0,2981.095465503512
124,15.641381482985098,0,0.0,2981.095465503512
202,15.641389557928143,0,0.0,2981.095465503512
164,15.68109300305337,0,0.0,2981.095465503512
114,15.68577493902008,0,0.0,2981.095465503512
174,15.641360693214349,0,0.0,2981.095465503512
201,15.641325259714622,0,0.0,2981.095465503512
188,15.641408509873092,0,0.0,2981.095465503512
162,15.641396498479368,0,0.0,2981.095465503512
241,15.641308132835317,0,0.0,2981.095465503512
255,15.641340013276837,0,0.0,2981.095465503512
4,15.641382544419647,0,0.0,2981.095465503512
22,15.64080331591898,0,0.0,2981.095465503512
65,15.64156933383812,0,0.0,2981.095465503512
12,15.64138139202928,0,0.0,2981.095465503512
71,15.641000983028983,0,0.0,2981.095465503512
215,15.663985925380194,0,0.0,2981.095465503512
67,15.641358607373432,0,0.0,2981.095465503512
148,15.641377609527096,0,0.0,2981.095465503512
133,15.640985645960267,0,0.0,2981.095465503512
83,15.641357665683593,0,0.0,2981.095465503512
8,15.61178915918817,0,0.0,2981.095465503512
87,15.680528142186489,0,0.0,2981.095465503512
249,15.641372036286425,0,0.0,2981.095465503512
73,15.641380862662617,0,0.0,2981.095465503512
211,15.641398306478058,0,0.0,2981.095465503512
144,15.641377769022759,0,0.0,2981.095465503512
128,15.632559600654,0,0.0,2981.095465503512
130,15.641402534258377,0,0.0,2981.095465503512
203,15.641385003835998,0,0.0,2981.095465503512
10,15.641369929662853,0,0.0,2981.095465503512
163,15.641403348951266,0,0.0,2981.095465503512
193,15.64128860880822,0,0.0,2981.095465503512
213,15.641382303480865,0,0.0,2981.095465503512
154,15.988067521842167,0,0.0,2981.095465503512
143,15.638627911005369,0,0.0,2981.095465503512
26,15.641327563263186,0,0.0,2981.095465503512
99,15.641335297972542,0,0.0,2981.095465503512
150,15.640266369674142,0,0.0,2981.095465503512
116,15.652243698472844,0,0.0,2981.095465503512
135,15.64134271684583,0,0.0,2981.095465503512
66,15.641393950501532,0,0.0,2981.095465503512
204,15.641391907749332,0,0.0,2981.095465503512
147,15.6414064836922,0,0.0,2981.095465503512
20,15.641337263648369,0,0.0,2981.095465503512
36,15.639697187167908,0,0.0,2981.095465503512
141,15.642297823262357,0,0.0,2981.095465503512
234,15.641357680068273,0,0.0,2981.095465503512
221,15.640543185581441,0,0.0,2981.095465503512
48,15.641399839825656,0,0.0,2981.095465503512
136,15.695221154003281,0,0.0,2981.095465503512
82,15.641217178952216,0,0.0,2981.095465503512
195,15.64137836213847,0,0.0,2981.095465503512
137,15.01406419514457,0,0.0,2981.095465503512
113,15.641428278086718,0,0.0,2981.095465503512
223,15.641355014198313,0,0.0,2981.095465503512
51,15.640154618971348,0,0.0,2981.095465503512
259,15.641985206715662,0,0.0,2981.095465503512
69,15.641284017125818,0,0.0,2981.095465503512
44,15.641380195563672,0,0.0,2981.095465503512
13,15.641274999874247,0,0.0,2981.095465503512
14,15.641329934606537,0,0.0,2981.095465503512
118,15.641338252728268,0,0.0,2981.095465503512
116,15.641397006121968,818,2438536.090781873,2441517.1862473763
38,15.641387138398532,0,0.0,2981.095465503512
152,15.641356676998875,0,0.0,2981.095465503512
186,15.641370779461917,0,0.0,2981.095465503512
43,15.642022696838065,0,0.0,2981.095465503512
95,15.64137835603262,0,0.0,2981.095465503512
62,15.641398946879617,0,0.0,2981.095465503512
45,15.640319083362021,0,0.0,2981.095465503512
183,15.641318298434939,0,0.0,2981.095465503512
145,15.640883503889276,0,0.0,2981.095465503512
24,15.641393447148317,0,0.0,2981.095465503512
181,15.641352667707386,0,0.0,2981.095465503512
35,15.641204665100094,0,0.0,2981.095465503512
31,15.641109288551,0,0.0,2981.095465503512
6,15.642920989377592,0,0.0,2981.095465503512
156,15.641366828779407,0,0.0,2981.095465503512
177,15.641385796222778,0,0.0,2981.095465503512
-1,15.5874819726926,0,0.0,2981.095465503512
243,15.64138139411115,0,0.0,2981.095465503512
230,15.641361361891729,0,0.0,2981.095465503512
50,15.641332697822557,0,0.0,2981.095465503512
9,15.641157317634802,0,0.0,2981.095465503512
169,15.641394668142993,0,0.0,2981.095465503512
2,15.641381588423375,0,0.0,2981.095465503512
247,15.641370636512065,0,0.0,2981.095465503512
112,15.641396078053797,0,0.0,2981.095465503512
192,15.641391001791495,0,0.0,2981.095465503512
153,15.64139357535774,0,0.0,2981.095465503512
123,15.641372047634578,0,0.0,2981.095465503512
149,15.641389801479312,0,0.0,2981.095465503512
