pickup_zone,avg_total_amount,bkt_tip_amount,tip_amount_start,tip_amount_end
192,15.641343199078541,86,4.824946785283288,7.448492678135409
238,15.64138194100235,86,4.824946785283288,7.448492678135409
117,15.641279026692178,99,38.931043392361005,41.554589285213126
235,15.641347683882248,95,28.436859820952463,31.060405713804585
109,15.641395016547705,92,20.56622214239607,23.189768035248193
58,15.641315330550807,87,7.448492678135409,10.072038570987559
131,15.64135547903112,124,104.51969071366426,107.14323660651638
183,15.64138829141995,90,15.319130356691801,17.94267624954395
83,15.64139089161931,88,10.072038570987559,12.69558446383968
161,15.641382363038757,94,25.813313928100342,28.436859820952463
145,15.641371840676998,99,38.931043392361005,41.554589285213126
131,15.641404262108479,77,-18.786966250385888,-16.163420357533766
124,15.641389421901547,89,12.69558446383968,15.319130356691801
67,15.641392747332818,87,7.448492678135409,10.072038570987559
131,15.624752383275274,85,2.2014008924311668,4.824946785283288
143,15.639698604501618,87,7.448492678135409,10.072038570987559
259,15.641300562546903,88,10.072038570987559,12.69558446383968
6,15.641281841226892,91,17.94267624954395,20.56622214239607
221,15.641303190458114,86,4.824946785283288,7.448492678135409
74,15.64137080108939,89,12.69558446383968,15.319130356691801
241,15.641394301401194,87,7.448492678135409,10.072038570987559
114,15.641390619313524,109,65.16650232088233,67.79004821373445
131,15.641367606390975,141,149.1199708921505,151.74351678500267
46,15.641390834774331,88,10.072038570987559,12.69558446383968
239,15.641368294031912,122,99.27259892796002,101.89614482081214
228,15.641393017804894,95,28.436859820952463,31.060405713804585
114,15.716507043430495,84,-0.4221450004209828,2.2014008924311668
97,15.6413229365397,84,-0.4221450004209828,2.2014008924311668
70,15.63982512724066,86,4.824946785283288,7.448492678135409
113,15.641350872282812,91,17.94267624954395,20.56622214239607
58,15.641348671458832,89,12.69558446383968,15.319130356691801
193,15.641391760135729,93,23.189768035248193,25.813313928100342
144,15.641390762342827,88,10.072038570987559,12.69558446383968
197,15.641439762310513,84,-0.4221450004209828,2.2014008924311668
235,15.637791181401264,88,10.072038570987559,12.69558446383968
65,15.641329453072066,89,12.69558446383968,15.319130356691801
253,15.641349419860099,90,15.319130356691801,17.94267624954395
259,15.641374872176973,91,17.94267624954395,20.56622214239607
19,15.641392239499757,85,2.2014008924311668,4.824946785283288
154,15.64134073900718,160,198.96734285634102,201.59088874919314
154,15.641379310830125,148,167.48479214211545,170.10833803496757
2,15.641386874879746,90,15.319130356691801,17.94267624954395
114,15.6371803716657,87,7.448492678135409,10.072038570987559
75,15.640446354661709,90,15.319130356691801,17.94267624954395
235,15.641013658700325,91,17.94267624954395,20.56622214239607
-1,15.641365967430696,113,75.66068589229081,78.28423178514294
145,15.641325185539744,95,28.436859820952463,31.060405713804585
141,15.641360844170645,90,15.319130356691801,17.94267624954395
237,15.641392167068195,85,2.2014008924311668,4.824946785283288
222,15.641392628141732,88,10.072038570987559,12.69558446383968
88,15.641393232476588,89,12.69558446383968,15.319130356691801
15,15.643704339077015,84,-0.4221450004209828,2.2014008924311668
245,15.640270431641927,85,2.2014008924311668,4.824946785283288
91,15.641178834460744,84,-0.4221450004209828,2.2014008924311668
229,15.641349473212198,114,78.28423178514294,80.90777767799511
126,15.641285899938996,88,10.072038570987559,12.69558446383968
160,15.641389372518791,86,4.824946785283288,7.448492678135409
229,15.641363937389036,107,59.91941053517803,62.54295642803015
119,15.641376642245332,88,10.072038570987559,12.69558446383968
229,15.641357168918393,113,75.66068589229081,78.28423178514294
202,15.641400754719026,84,-0.4221450004209828,2.2014008924311668
141,15.641376557642275,91,17.94267624954395,20.56622214239607
83,15.641386183571456,89,12.69558446383968,15.319130356691801
131,15.63987434140285,95,28.436859820952463,31.060405713804585
203,15.641404644844455,84,-0.4221450004209828,2.2014008924311668
126,15.641168469476922,86,4.824946785283288,7.448492678135409
77,15.641394504942893,85,2.2014008924311668,4.824946785283288
53,15.641378094416908,89,12.69558446383968,15.319130356691801
70,15.641341983178965,98,36.307497499508884,38.931043392361005
13,15.641392372339327,91,17.94267624954395,20.56622214239607
49,15.641363142308995,88,10.072038570987559,12.69558446383968
113,15.641367955171981,90,15.319130356691801,17.94267624954395
85,15.641357203883304,101,44.17813517806525,46.80168107091737
-1,15.641371609252328,190,277.67371964190494,280.29726553475706
217,15.64139509906461,85,2.2014008924311668,4.824946785283288
57,15.641394404088897,85,2.2014008924311668,4.824946785283288
31,15.641360992994079,127,112.39032839222068,115.0138742850728
239,15.641403433272012,60,-63.38724642887212,-60.763700536019996
226,15.639473894710399,86,4.824946785283288,7.448492678135409
162,15.64142391940625,84,-0.4221450004209828,2.2014008924311668
97,15.64136778705871,86,4.824946785283288,7.448492678135409
181,15.641382525165692,86,4.824946785283288,7.448492678135409
-1,15.641317239275281,115,80.90777767799511,83.53132357084723
227,15.641385711391386,95,28.436859820952463,31.060405713804585
219,15.641391000724996,103,49.425226963769546,52.04877285662167
33,15.641384338987127,101,44.17813517806525,46.80168107091737
