pickup_zone,avg_tip_amount,bkt_total_amount,total_amount_start,total_amount_end
12,1.7506648814289814,26,-11.667104224286277,24.74569945939504
64,1.7506631617781552,29,97.57130682675768,133.98411051043888
164,1.7506597630590157,32,206.80971787780152,243.22252156148272
122,1.7506634368345049,30,133.98411051043888,170.3969141941203
98,1.7506635414775922,26,-11.667104224286277,24.74569945939504
135,1.7506540736671723,27,24.74569945939504,61.15850314307636
96,1.7506078984651363,28,61.15850314307636,97.57130682675768
117,1.7506161552693782,32,206.80971787780152,243.22252156148272
203,1.7506637578552937,28,61.15850314307636,97.57130682675768
163,1.7506624869732434,28,61.15850314307636,97.57130682675768
107,1.750663345149055,31,170.3969141941203,206.80971787780152
142,1.7506584567223469,28,61.15850314307636,97.57130682675768
178,1.750662187343961,29,97.57130682675768,133.98411051043888
38,1.7506635973448845,26,-11.667104224286277,24.74569945939504
116,1.7506637578552937,24,-84.4927115916488,-48.079907907967595
69,1.7506634368345049,25,-48.079907907967595,-11.667104224286277
23,1.7507077369717765,26,-11.667104224286277,24.74569945939504
24,1.7506634368345049,28,61.15850314307636,97.57130682675768
137,1.750626763571376,38,425.2865399798892,461.69934366357063
174,1.750658975289095,27,24.74569945939504,61.15850314307636
68,1.7506497302171609,30,133.98411051043888,170.3969141941203
178,1.7506588800676421,35,316.04812892884536,352.4609326125268
41,1.7506634368345049,23,-120.90551527533012,-84.4927115916488
169,1.7506634368345049,27,24.74569945939504,61.15850314307636
248,1.7636803343925602,26,-11.667104224286277,24.74569945939504
143,1.7506281110732385,29,97.57130682675768,133.98411051043888
127,1.7506434265440443,32,206.80971787780152,243.22252156148272
60,1.750662295350653,28,61.15850314307636,97.57130682675768
229,1.7506564415356036,33,243.22252156148272,279.63532524516415
5,1.7506566860348245,35,316.04812892884536,352.4609326125268
164,1.7506404009239183,33,243.22252156148272,279.63532524516415
234,1.7506634368345049,33,243.22252156148272,279.63532524516415
131,1.7506634368345049,46,716.5889694493397,753.001773133021
105,1.7508112768692434,26,-11.667104224286277,24.74569945939504
255,1.7506833765048564,26,-11.667104224286277,24.74569945939504
93,1.7506569045473384,28,61.15850314307636,97.57130682675768
103,1.7506556898197074,27,24.74569945939504,61.15850314307636
159,1.7506610921268204,27,24.74569945939504,61.15850314307636
65,1.7506620635078678,29,97.57130682675768,133.98411051043888
58,1.7506616261075298,29,97.57130682675768,133.98411051043888
116,1.7506476533624358,31,170.3969141941203,206.80971787780152
116,1.7494428979548153,27,24.74569945939504,61.15850314307636
154,1.7503576290610425,30,133.98411051043888,170.3969141941203
206,1.750647061106629,28,61.15850314307636,97.57130682675768
78,1.7506556118420111,29,97.57130682675768,133.98411051043888
69,1.7506634368345049,29,97.57130682675768,133.98411051043888
12,1.7506637349947818,27,24.74569945939504,61.15850314307636
219,1.7506554088565067,36,352.4609326125268,388.873736296208
247,1.7506607532013847,31,170.3969141941203,206.80971787780152
114,1.7470141045314806,27,24.74569945939504,61.15850314307636
19,1.750652672924189,27,24.74569945939504,61.15850314307636
91,1.7506493592481052,29,97.57130682675768,133.98411051043888
223,1.7506644036833645,26,-11.667104224286277,24.74569945939504
74,1.7506603323651695,31,170.3969141941203,206.80971787780152
8,1.7506648058201788,24,-84.4927115916488,-48.079907907967595
154,1.7506616031255058,35,316.04812892884536,352.4609326125268
118,1.7506601315740338,30,133.98411051043888,170.3969141941203
131,1.7506634368345049,23,-120.90551527533012,-84.4927115916488
253,1.750660380958458,33,243.22252156148272,279.63532524516415
243,1.750677082031394,26,-11.667104224286277,24.74569945939504
41,1.7505406683328821,30,133.98411051043888,170.3969141941203
192,1.7506452430997732,27,24.74569945939504,61.15850314307636
-1,1.750495902436575,38,425.2865399798892,461.69934366357063
188,1.7506613173094345,28,61.15850314307636,97.57130682675768
33,1.750646318540433,29,97.57130682675768,133.98411051043888
177,1.7506631427066122,27,24.74569945939504,61.15850314307636
133,1.7506960541608994,26,-11.667104224286277,24.74569945939504
179,1.7506590130719664,27,24.74569945939504,61.15850314307636
33,1.7506342502252983,28,61.15850314307636,97.57130682675768
141,1.7506634368345049,25,-48.079907907967595,-11.667104224286277
133,1.7506186513282662,28,61.15850314307636,97.57130682675768
131,1.7505938743933545,35,316.04812892884536,352.4609326125268
258,1.750662680490301,28,61.15850314307636,97.57130682675768
78,1.7506604020461112,30,133.98411051043888,170.3969141941203
195,1.7506631206412997,28,61.15850314307636,97.57130682675768
88,1.7506570986193495,34,279.63532524516415,316.04812892884536
106,1.7504831212262724,29,97.57130682675768,133.98411051043888
114,1.7506497680465134,30,133.98411051043888,170.3969141941203
184,1.7506635516238316,27,24.74569945939504,61.15850314307636
186,1.7506635973448845,26,-11.667104224286277,24.74569945939504
142,1.7506634368345049,29,97.57130682675768,133.98411051043888
245,1.7501260151256155,27,24.74569945939504,61.15850314307636
172,1.7506589589775459,31,170.3969141941203,206.80971787780152
161,1.7506546449801326,28,61.15850314307636,97.57130682675768
186,1.7506606157337785,27,24.74569945939504,61.15850314307636
83,1.7506639183657322,26,-11.667104224286277,24.74569945939504
164,1.7506620615527555,34,279.63532524516415,316.04812892884536
143,1.7506131703427836,42,570.9377547146145,607.3505583982957
