pickup_zone,avg_trip_distance,bkt_tip_amount,tip_amount_start,tip_amount_end
192,4.648191278981721,86,4.824946785283288,7.448492678135409
238,4.6481954791531725,86,4.824946785283288,7.448492678135409
117,4.648186257179185,99,38.931043392361005,41.554589285213126
235,4.64819115676739,95,28.436859820952463,31.060405713804585
109,4.648197740026755,92,20.56622214239607,23.189768035248193
58,4.648189170534631,87,7.448492678135409,10.072038570987559
131,4.6481917529668735,124,104.51969071366426,107.14323660651638
183,4.648196114443728,90,15.319130356691801,17.94267624954395
83,4.648196474767546,88,10.072038570987559,12.69558446383968
161,4.648195783459252,94,25.813313928100342,28.436859820952463
145,4.648198262138241,99,38.931043392361005,41.554589285213126
131,4.648197740026755,77,-18.786966250385888,-16.163420357533766
124,4.64819773085821,89,12.69558446383968,15.319130356691801
67,4.648196594875485,87,7.448492678135409,10.072038570987559
131,4.643517835442177,85,2.2014008924311668,4.824946785283288
143,4.64799282198092,87,7.448492678135409,10.072038570987559
259,4.648179454525032,88,10.072038570987559,12.69558446383968
6,4.648178395974824,91,17.94267624954395,20.56622214239607
221,4.648179525207609,86,4.824946785283288,7.448492678135409
74,4.648192796601371,89,12.69558446383968,15.319130356691801
241,4.64819708906006,87,7.448492678135409,10.072038570987559
114,4.64819767584694,109,65.16650232088233,67.79004821373445
131,4.648193881737426,141,149.1199708921505,151.74351678500267
46,4.648195989751515,88,10.072038570987559,12.69558446383968
239,4.6481918123966315,122,99.27259892796002,101.89614482081214
228,4.6481973641164105,95,28.436859820952463,31.060405713804585
114,4.695144756477707,84,-0.4221450004209828,2.2014008924311668
97,4.648203627457434,84,-0.4221450004209828,2.2014008924311668
70,4.647924434620565,86,4.824946785283288,7.448492678135409
113,4.648196989138221,91,17.94267624954395,20.56622214239607
58,4.648192442949352,89,12.69558446383968,15.319130356691801
193,4.648198005584127,93,23.189768035248193,25.813313928100342
144,4.648197740026755,88,10.072038570987559,12.69558446383968
197,4.64825090652471,84,-0.4221450004209828,2.2014008924311668
235,4.647367062845234,88,10.072038570987559,12.69558446383968
65,4.648189016582184,89,12.69558446383968,15.319130356691801
253,4.648195269282913,90,15.319130356691801,17.94267624954395
259,4.648196636058739,91,17.94267624954395,20.56622214239607
19,4.648198230139198,85,2.2014008924311668,4.824946785283288
154,4.6481929940565125,160,198.96734285634102,201.59088874919314
154,4.648196992790338,148,167.48479214211545,170.10833803496757
2,4.648197740026755,90,15.319130356691801,17.94267624954395
114,4.6474390021699685,87,7.448492678135409,10.072038570987559
75,4.648034495505995,90,15.319130356691801,17.94267624954395
235,4.648149710748793,91,17.94267624954395,20.56622214239607
-1,4.64819914215369,113,75.66068589229081,78.28423178514294
145,4.648189447251502,95,28.436859820952463,31.060405713804585
141,4.648189749726778,90,15.319130356691801,17.94267624954395
237,4.648197430641488,85,2.2014008924311668,4.824946785283288
222,4.648197740026755,88,10.072038570987559,12.69558446383968
88,4.6481974317983745,89,12.69558446383968,15.319130356691801
15,4.649722078129625,84,-0.4221450004209828,2.2014008924311668
245,4.6481835664397275,85,2.2014008924311668,4.824946785283288
91,4.648245077795637,84,-0.4221450004209828,2.2014008924311668
229,4.64819536929604,114,78.28423178514294,80.90777767799511
126,4.648187874352264,88,10.072038570987559,12.69558446383968
160,4.6481954660621465,86,4.824946785283288,7.448492678135409
229,4.64819418305145,107,59.91941053517803,62.54295642803015
119,4.648193099329133,88,10.072038570987559,12.69558446383968
229,4.64819206819906,113,75.66068589229081,78.28423178514294
202,4.648200630887966,84,-0.4221450004209828,2.2014008924311668
141,4.648192765925398,91,17.94267624954395,20.56622214239607
83,4.648196326237117,89,12.69558446383968,15.319130356691801
131,4.647927827733393,95,28.436859820952463,31.060405713804585
203,4.648206039844788,84,-0.4221450004209828,2.2014008924311668
126,4.648151739847052,86,4.824946785283288,7.448492678135409
77,4.648196932277941,85,2.2014008924311668,4.824946785283288
53,4.6481933699669264,89,12.69558446383968,15.319130356691801
70,4.648188350187621,98,36.307497499508884,38.931043392361005
13,4.648196838758782,91,17.94267624954395,20.56622214239607
49,4.648191355393291,88,10.072038570987559,12.69558446383968
113,4.64819226757613,90,15.319130356691801,17.94267624954395
85,4.648190863286265,101,44.17813517806525,46.80168107091737
-1,4.648195677104131,190,277.67371964190494,280.29726553475706
217,4.648197199082601,85,2.2014008924311668,4.824946785283288
57,4.648196883684652,85,2.2014008924311668,4.824946785283288
31,4.648192321416662,127,112.39032839222068,115.0138742850728
239,4.648197692350321,60,-63.38724642887212,-60.763700536019996
226,4.647907170134804,86,4.824946785283288,7.448492678135409
162,4.648219917666938,84,-0.4221450004209828,2.2014008924311668
97,4.648193392403048,86,4.824946785283288,7.448492678135409
181,4.648194418186485,86,4.824946785283288,7.448492678135409
-1,4.648202403169501,115,80.90777767799511,83.53132357084723
227,4.64819566060075,95,28.436859820952463,31.060405713804585
219,4.648197281599505,103,49.425226963769546,52.04877285662167
33,4.648196555285392,101,44.17813517806525,46.80168107091737
129,4.64819773085821,92,20.56622214239607,23.189768035248193
130,4.648194741250478,86,4.824946785283288,7.448492678135409
135,4.648197666678396,94,25.813313928100342,28.436859820952463
248,4.648194816929101,141,149.1199708921505,151.74351678500267
116,4.648198155196641,101,44.17813517806525,46.80168107091737
143,4.648196746908,94,25.813313928100342,28.436859820952463
219,4.648189136098101,102,46.80168107091737,49.425226963769546
175,4.648195949244513,92,20.56622214239607,23.189768035248193
65,4.648244827213176,85,2.2014008924311668,4.824946785283288
117,4.647287558544964,89,12.69558446383968,15.319130356691801
155,4.64820254508715,85,2.2014008924311668,4.824946785283288
96,4.648062131039906,86,4.824946785283288,7.448492678135409
69,4.648208155229246,84,-0.4221450004209828,2.2014008924311668
131,4.64818022552049,107,59.91941053517803,62.54295642803015
15,4.6481978888131295,93,23.189768035248193,25.813313928100342
-1,4.648197740026755,179,248.8147148205315,251.4382607133836
84,4.648197740026755,95,28.436859820952463,31.060405713804585
77,4.648198166198895,87,7.448492678135409,10.072038570987559
141,4.6481966398013554,93,23.189768035248193,25.813313928100342
96,4.6481976630109765,105,54.67231874947379,57.29586464232591
8,4.64705713945093,87,7.448492678135409,10.072038570987559
253,4.6494279539272725,85,2.2014008924311668,4.824946785283288
181,4.64821188282861,84,-0.4221450004209828,2.2014008924311668
243,4.648203320391292,85,2.2014008924311668,4.824946785283288
114,4.648194977047665,122,99.27259892796002,101.89614482081214
70,4.64815912906674,93,23.189768035248193,25.813313928100342
228,4.648197740026755,97,33.683951606656734,36.307497499508884
130,4.648197854649741,85,2.2014008924311668,4.824946785283288
240,4.648195932575724,126,109.76678249936856,112.39032839222068
154,4.648191676955819,105,54.67231874947379,57.29586464232591
136,4.648197630004215,107,59.91941053517803,62.54295642803015
14,4.64819708906006,85,2.2014008924311668,4.824946785283288
236,4.648192353175101,89,12.69558446383968,15.319130356691801
41,4.64819231191664,108,62.54295642803015,65.16650232088233
127,4.648197685015485,127,112.39032839222068,115.0138742850728
