pickup_zone,avg_total_amount,bkt_tip_percentage,tip_percentage_start,tip_percentage_end
136,15.668270729468265,895,-0.06705895627459313,0.021506713420407664
239,15.943244443273533,895,-0.06705895627459313,0.021506713420407664
154,15.905115043953936,895,-0.06705895627459313,0.021506713420407664
171,15.647336642272641,897,0.11007238311540846,0.19863805281040925
143,15.641380968429042,899,0.28720372250541004,0.37576939220041083
145,15.64137236299648,905,0.8185977406754148,0.9071634103704156
56,15.641394851513894,902,0.5529007315904124,0.6414664012854132
103,15.641393901780432,904,0.730032070980414,0.8185977406754148
184,15.641396127775359,898,0.19863805281040925,0.28720372250541004
12,15.641388017280454,898,0.19863805281040925,0.28720372250541004
105,15.641395558771384,899,0.28720372250541004,0.37576939220041083
73,15.641396269614669,895,-0.06705895627459313,0.021506713420407664
32,15.641395309941144,895,-0.06705895627459313,0.021506713420407664
208,15.641375829373597,898,0.19863805281040925,0.28720372250541004
225,15.641378442031211,895,-0.06705895627459313,0.021506713420407664
35,15.641395816428757,900,0.37576939220041083,0.4643350618954116
243,15.641396410166543,901,0.4643350618954116,0.5529007315904124
196,15.641388105934832,899,0.28720372250541004,0.37576939220041083
82,15.641366528044694,898,0.19863805281040925,0.28720372250541004
223,15.64138902948782,906,0.9071634103704156,0.9957290800654164
229,15.631167413538655,897,0.11007238311540846,0.19863805281040925
181,15.641355012039103,897,0.11007238311540846,0.19863805281040925
61,15.64127407339862,896,0.021506713420407664,0.11007238311540846
37,15.641385879120962,895,-0.06705895627459313,0.021506713420407664
129,15.641386740610711,896,0.021506713420407664,0.11007238311540846
158,15.641394901279822,898,0.19863805281040925,0.28720372250541004
83,15.641390355259428,898,0.19863805281040925,0.28720372250541004
71,15.641390069328274,904,0.730032070980414,0.8185977406754148
189,15.641390192186789,895,-0.06705895627459313,0.021506713420407664
74,15.641394989042068,904,0.730032070980414,0.8185977406754148
-1,15.61446964174082,897,0.11007238311540846,0.19863805281040925
85,15.626799131874057,898,0.19863805281040925,0.28720372250541004
155,15.641360862241411,897,0.11007238311540846,0.19863805281040925
87,15.641384753123353,905,0.8185977406754148,0.9071634103704156
54,15.641378983639504,897,0.11007238311540846,0.19863805281040925
47,15.641395447469318,896,0.021506713420407664,0.11007238311540846
251,15.641381282193944,900,0.37576939220041083,0.4643350618954116
245,15.642259256246525,895,-0.06705895627459313,0.021506713420407664
180,15.641377807152171,899,0.28720372250541004,0.37576939220041083
259,15.641381215866353,900,0.37576939220041083,0.4643350618954116
245,15.641394595050363,903,0.6414664012854132,0.730032070980414
142,15.64139089161931,898,0.19863805281040925,0.28720372250541004
203,15.641393989009426,898,0.19863805281040925,0.28720372250541004
193,15.641395570455776,900,0.37576939220041083,0.4643350618954116
98,15.641395983040338,895,-0.06705895627459313,0.021506713420407664
12,15.641394851513894,896,0.021506713420407664,0.11007238311540846
136,15.641381202716302,903,0.6414664012854132,0.730032070980414
122,15.64134259607509,897,0.11007238311540846,0.19863805281040925
144,15.641396364323818,901,0.4643350618954116,0.5529007315904124
141,15.64136722090489,897,0.11007238311540846,0.19863805281040925
126,15.641234868930711,898,0.19863805281040925,0.28720372250541004
248,15.641340894945271,901,0.4643350618954116,0.5529007315904124
157,15.641384506080255,903,0.6414664012854132,0.730032070980414
137,15.641305458123513,902,0.5529007315904124,0.6414664012854132
212,15.64139025269919,899,0.28720372250541004,0.37576939220041083
96,15.6413970636074,902,0.5529007315904124,0.6414664012854132
115,15.641391200854383,895,-0.06705895627459313,0.021506713420407664
162,15.641394943199343,905,0.8185977406754148,0.9071634103704156
190,15.6413889332181,898,0.19863805281040925,0.28720372250541004
159,15.64139469564863,905,0.8185977406754148,0.9071634103704156
248,15.663986873393819,897,0.11007238311540846,0.19863805281040925
239,15.641359598964103,902,0.5529007315904124,0.6414664012854132
137,15.640178409053402,899,0.28720372250541004,0.37576939220041083
51,15.64114180152249,896,0.021506713420407664,0.11007238311540846
228,15.641259192206977,896,0.021506713420407664,0.11007238311540846
175,15.64138097939645,895,-0.06705895627459313,0.021506713420407664
131,15.641273366960267,902,0.5529007315904124,0.6414664012854132
26,15.641395157871214,899,0.28720372250541004,0.37576939220041083
259,15.641393507532962,905,0.8185977406754148,0.9071634103704156
43,15.641396089267468,904,0.730032070980414,0.8185977406754148
72,15.662779012440069,895,-0.06705895627459313,0.021506713420407664
87,15.657033396950498,897,0.11007238311540846,0.19863805281040925
87,15.641408716591318,900,0.37576939220041083,0.4643350618954116
221,15.641042211039005,895,-0.06705895627459313,0.021506713420407664
137,15.641197270015352,901,0.4643350618954116,0.5529007315904124
161,15.641273385750562,898,0.19863805281040925,0.28720372250541004
70,15.641385758659183,902,0.5529007315904124,0.6414664012854132
55,15.641395432927588,900,0.37576939220041083,0.4643350618954116
217,15.64139509906461,898,0.19863805281040925,0.28720372250541004
198,15.641281344168396,896,0.021506713420407664,0.11007238311540846
121,15.641397546129356,895,-0.06705895627459313,0.021506713420407664
137,15.64131779776106,905,0.8185977406754148,0.9071634103704156
253,15.641385474406524,904,0.730032070980414,0.8185977406754148
51,15.641397068724256,900,0.37576939220041083,0.4643350618954116
82,15.641393109490345,897,0.11007238311540846,0.19863805281040925
192,15.64139132162407,903,0.6414664012854132,0.730032070980414
96,15.640882465987808,897,0.11007238311540846,0.19863805281040925
164,15.6413744578498,905,0.8185977406754148,0.9071634103704156
79,15.641396364323818,902,0.5529007315904124,0.6414664012854132
118,15.641354011175501,898,0.19863805281040925,0.28720372250541004
181,15.641397450007673,899,0.28720372250541004,0.37576939220041083
