pickup_zone,avg_tip_amount,bkt_trip_distance,trip_distance_start,trip_distance_end
165,1.7506672454576484,0,0.0,2981.095465503512
103,1.7506533366785793,0,0.0,2981.095465503512
30,1.7502161996678718,0,0.0,2981.095465503512
244,1.750666222664834,0,0.0,2981.095465503512
225,1.7506639183657322,0,0.0,2981.095465503512
28,1.750662339960988,0,0.0,2981.095465503512
172,1.7508498629386688,0,0.0,2981.095465503512
143,1.7506634368345049,94,280222.97375733015,283204.06922283367
106,1.7544208586533416,0,0.0,2981.095465503512
84,1.7506602732968786,0,0.0,2981.095465503512
232,1.750663093500436,0,0.0,2981.095465503512
199,1.7504647781454925,0,0.0,2981.095465503512
222,1.7506625609177824,0,0.0,2981.095465503512
158,1.7506613914731082,0,0.0,2981.095465503512
189,1.7506635973448845,0,0.0,2981.095465503512
91,1.7506514732129699,0,0.0,2981.095465503512
197,1.7506409629994766,0,0.0,2981.095465503512
179,1.7506592197873339,0,0.0,2981.095465503512
178,1.7506209460403706,0,0.0,2981.095465503512
29,1.7506662880060808,0,0.0,2981.095465503512
146,1.7506633077404676,0,0.0,2981.095465503512
92,1.750348496813142,0,0.0,2981.095465503512
80,1.7506634368345049,0,0.0,2981.095465503512
237,1.7506744758700787,0,0.0,2981.095465503512
159,1.7506640798432687,0,0.0,2981.095465503512
121,1.750664206623513,0,0.0,2981.095465503512
1,1.7506475150361036,0,0.0,2981.095465503512
139,1.750663919522296,0,0.0,2981.095465503512
235,1.748776204866499,0,0.0,2981.095465503512
161,1.7507906844797214,0,0.0,2981.095465503512
248,1.7506631562770283,1565,4665414.403512997,4668395.4989785
132,1.750685056715844,0,0.0,2981.095465503512
97,1.75065832845503,0,0.0,2981.095465503512
205,1.7506640788762002,0,0.0,2981.095465503512
228,1.7504612646406212,0,0.0,2981.095465503512
56,1.7506996768626564,0,0.0,2981.095465503512
120,1.750663350098245,0,0.0,2981.095465503512
33,1.7506648244441603,0,0.0,2981.095465503512
7,1.750661428530475,0,0.0,2981.095465503512
19,1.7506638350147345,0,0.0,2981.095465503512
229,1.7592046383384123,0,0.0,2981.095465503512
256,1.7506673144667158,0,0.0,2981.095465503512
143,1.7506634368345049,554,1651526.8878889456,1654507.9833544493
107,1.7506635056594262,0,0.0,2981.095465503512
58,1.7506237545035108,0,0.0,2981.095465503512
227,1.7512175924493834,0,0.0,2981.095465503512
93,1.7506806681030858,0,0.0,2981.095465503512
155,1.7506834478763253,0,0.0,2981.095465503512
76,1.7506626812193997,0,0.0,2981.095465503512
200,1.7506634368345049,0,0.0,2981.095465503512
77,1.7506603652421733,0,0.0,2981.095465503512
239,1.8171750026038302,0,0.0,2981.095465503512
207,1.7506634368345049,0,0.0,2981.095465503512
157,1.751068523999698,0,0.0,2981.095465503512
257,1.7506691499662679,0,0.0,2981.095465503512
25,1.7505236172031255,0,0.0,2981.095465503512
88,1.7506309070738661,0,0.0,2981.095465503512
89,1.7506654752444766,0,0.0,2981.095465503512
64,1.7505668948523652,0,0.0,2981.095465503512
129,1.750665196386113,0,0.0,2981.095465503512
37,1.7506643658485996,0,0.0,2981.095465503512
142,1.7506595802928382,0,0.0,2981.095465503512
131,1.6555649054062032,0,0.0,2981.095465503512
47,1.7506648206676392,0,0.0,2981.095465503512
170,1.7506584512212178,0,0.0,2981.095465503512
208,1.750644547291429,0,0.0,2981.095465503512
21,1.7506573855948078,0,0.0,2981.095465503512
98,1.7506635414775922,0,0.0,2981.095465503512
198,1.7506652907383433,0,0.0,2981.095465503512
252,1.7506685244064941,0,0.0,2981.095465503512
160,1.7506814920075215,0,0.0,2981.095465503512
90,1.7506635169006888,0,0.0,2981.095465503512
220,1.7506300708106959,0,0.0,2981.095465503512
242,1.750665865212467,0,0.0,2981.095465503512
81,1.7506640788762002,0,0.0,2981.095465503512
18,1.7506634811778439,0,0.0,2981.095465503512
57,1.750663107121878,0,0.0,2981.095465503512
143,1.7506634368345049,470,1401114.8687866507,1404095.964252154
109,1.7506558169489466,0,0.0,2981.095465503512
70,1.749926934796513,0,0.0,2981.095465503512
246,1.7506639183657322,0,0.0,2981.095465503512
253,1.750674705876251,0,0.0,2981.095465503512
194,1.7506713889437109,0,0.0,2981.095465503512
238,1.75067017091876,0,0.0,2981.095465503512
236,1.7507352371914082,0,0.0,2981.095465503512
23,1.7507041680414628,0,0.0,2981.095465503512
79,1.7509983849943127,0,0.0,2981.095465503512
206,1.7506569888811112,0,0.0,2981.095465503512
60,1.750662829628462,0,0.0,2981.095465503512
0,1.7506638625438997,0,0.0,2981.095465503512
85,1.7407720019500972,0,0.0,2981.095465503512
168,1.7506626147197797,0,0.0,2981.095465503512
46,1.7506724092516148,0,0.0,2981.095465503512
210,1.750642834046391,0,0.0,2981.095465503512
115,1.750663666169827,0,0.0,2981.095465503512
226,1.751660590829535,0,0.0,2981.095465503512
196,1.7504443443009798,0,0.0,2981.095465503512
53,1.750665813455221,0,0.0,2981.095465503512
127,1.75101211384574,0,0.0,2981.095465503512
190,1.7506615068557834,0,0.0,2981.095465503512
39,1.7560102144862546,0,0.0,2981.095465503512
55,1.7507275517852905,0,0.0,2981.095465503512
134,1.7506687495060596,0,0.0,2981.095465503512
34,1.7506515979678592,0,0.0,2981.095465503512
72,1.756109482575123,0,0.0,2981.095465503512
68,1.7504505855329335,0,0.0,2981.095465503512
184,1.750664180643668,0,0.0,2981.095465503512
59,1.7506629740661228,0,0.0,2981.095465503512
78,1.750638009122462,0,0.0,2981.095465503512
124,1.7506607239226195,0,0.0,2981.095465503512
202,1.7506617297659792,0,0.0,2981.095465503512
164,1.753656964273934,0,0.0,2981.095465503512
114,1.7549580000703449,0,0.0,2981.095465503512
174,1.7506580424612384,0,0.0,2981.095465503512
201,1.7506778919122186,0,0.0,2981.095465503512
188,1.7507107221476659,0,0.0,2981.095465503512
162,1.750674201860807,0,0.0,2981.095465503512
241,1.7505967144990184,0,0.0,2981.095465503512
255,1.75065474071987,0,0.0,2981.095465503512
4,1.7506625478501163,0,0.0,2981.095465503512
22,1.7506418629863472,0,0.0,2981.095465503512
65,1.7508694156756313,0,0.0,2981.095465503512
12,1.7506631167866045,0,0.0,2981.095465503512
71,1.7506221883945143,0,0.0,2981.095465503512
215,1.752078398900539,0,0.0,2981.095465503512
67,1.7506606743436566,0,0.0,2981.095465503512
148,1.7506625430836045,0,0.0,2981.095465503512
133,1.7506369069822107,0,0.0,2981.095465503512
83,1.7506590913671807,0,0.0,2981.095465503512
8,1.745563063617153,0,0.0,2981.095465503512
87,1.7526712285985504,0,0.0,2981.095465503512
249,1.7506707636371162,0,0.0,2981.095465503512
73,1.7506662113558797,0,0.0,2981.095465503512
211,1.7506637578552937,0,0.0,2981.095465503512
144,1.7506988615016388,0,0.0,2981.095465503512
128,1.749774095956377,0,0.0,2981.095465503512
130,1.7506719693402344,0,0.0,2981.095465503512
203,1.7506666123291688,0,0.0,2981.095465503512
10,1.750659726808244,0,0.0,2981.095465503512
163,1.7506775973206046,0,0.0,2981.095465503512
193,1.7506926140225127,0,0.0,2981.095465503512
213,1.7506640918912895,0,0.0,2981.095465503512
154,1.788197747383952,0,0.0,2981.095465503512
143,1.7514668932329225,0,0.0,2981.095465503512
26,1.7506664568289978,0,0.0,2981.095465503512
99,1.7506623855491175,0,0.0,2981.095465503512
150,1.750592082666535,0,0.0,2981.095465503512
116,1.753900668625172,0,0.0,2981.095465503512
135,1.7506939852368752,0,0.0,2981.095465503512
66,1.7506633911134266,0,0.0,2981.095465503512
204,1.750663012452449,0,0.0,2981.095465503512
147,1.7506722883252417,0,0.0,2981.095465503512
20,1.750659015620219,0,0.0,2981.095465503512
36,1.7503189692554266,0,0.0,2981.095465503512
141,1.7509912823236367,0,0.0,2981.095465503512
234,1.7506684352922552,0,0.0,2981.095465503512
221,1.7505954718786672,0,0.0,2981.095465503512
48,1.7506644286852402,0,0.0,2981.095465503512
136,1.7564149581770743,0,0.0,2981.095465503512
82,1.7506032412501102,0,0.0,2981.095465503512
195,1.7506631206412997,0,0.0,2981.095465503512
137,1.661807181600566,0,0.0,2981.095465503512
113,1.7506308562058173,0,0.0,2981.095465503512
223,1.7506558539221235,0,0.0,2981.095465503512
51,1.7503991218769293,0,0.0,2981.095465503512
259,1.7512596404819558,0,0.0,2981.095465503512
69,1.7505944837601881,0,0.0,2981.095465503512
44,1.7506605079082915,0,0.0,2981.095465503512
13,1.750653089559085,0,0.0,2981.095465503512
14,1.7506508965760814,0,0.0,2981.095465503512
118,1.7506721023308558,0,0.0,2981.095465503512
116,1.7506634368345049,818,2438536.090781873,2441517.1862473763
38,1.7506625018251407,0,0.0,2981.095465503512
152,1.750667991422051,0,0.0,2981.095465503512
186,1.7506572989154836,0,0.0,2981.095465503512
43,1.7514827515956943,0,0.0,2981.095465503512
95,1.7506644427974751,0,0.0,2981.095465503512
62,1.7506640385273584,0,0.0,2981.095465503512
45,1.7508755710628126,0,0.0,2981.095465503512
183,1.7506518655126984,0,0.0,2981.095465503512
145,1.749983147985284,0,0.0,2981.095465503512
24,1.7506637578552937,0,0.0,2981.095465503512
181,1.7506778304375048,0,0.0,2981.095465503512
35,1.7506544619669373,0,0.0,2981.095465503512
31,1.7505677789819747,0,0.0,2981.095465503512
6,1.751802487551594,0,0.0,2981.095465503512
156,1.7506604483041588,0,0.0,2981.095465503512
177,1.7506639628617664,0,0.0,2981.095465503512
-1,1.7447713463210386,0,0.0,2981.095465503512
243,1.750667938016162,0,0.0,2981.095465503512
230,1.7506650867980407,0,0.0,2981.095465503512
50,1.7506604908949601,0,0.0,2981.095465503512
9,1.7506326881143195,0,0.0,2981.095465503512
169,1.7506634368345049,0,0.0,2981.095465503512
2,1.7506618553211757,0,0.0,2981.095465503512
247,1.7506650765274696,0,0.0,2981.095465503512
112,1.7506638428106869,0,0.0,2981.095465503512
192,1.7506730951131113,0,0.0,2981.095465503512
153,1.7506634694110565,0,0.0,2981.095465503512
123,1.7506460799212094,0,0.0,2981.095465503512
149,1.7506625199800054,0,0.0,2981.095465503512
240,1.7852654285172662,0,0.0,2981.095465503512
119,1.7506735593065919,0,0.0,2981.095465503512
94,1.7506558293020849,0,0.0,2981.095465503512
171,1.7512969006252623,0,0.0,2981.095465503512
151,1.750688567219227,0,0.0,2981.095465503512
212,1.750662231813779,0,0.0,2981.095465503512
102,1.7506619672988204,0,0.0,2981.095465503512
245,1.7506044172710171,0,0.0,2981.095465503512
125,1.7506644401139433,0,0.0,2981.095465503512
167,1.7506634368345049,0,0.0,2981.095465503512
117,1.7643211135682664,0,0.0,2981.095465503512
251,1.7506436358732782,0,0.0,2981.095465503512
191,1.7505413259056493,0,0.0,2981.095465503512
182,1.75066622510999,0,0.0,2981.095465503512
49,1.7507013932459436,0,0.0,2981.095465503512
32,1.7506459434283235,0,0.0,2981.095465503512
176,1.7506635973448845,0,0.0,2981.095465503512
126,1.7506702379820327,0,0.0,2981.095465503512
180,1.7506009450877273,0,0.0,2981.095465503512
140,1.7506634368345049,0,0.0,2981.095465503512
16,1.7506625199800054,0,0.0,2981.095465503512
122,1.7506423418555914,0,0.0,2981.095465503512
52,1.7506619507435492,0,0.0,2981.095465503512
219,1.7499399396773236,0,0.0,2981.095465503512
75,1.7546527704981387,0,0.0,2981.095465503512
224,1.7506605719670179,0,0.0,2981.095465503512
248,1.7506634368345049,2683,7998279.133945923,8001260.229411426
248,1.7547435797949236,0,0.0,2981.095465503512
74,1.7506099280431913,0,0.0,2981.095465503512
41,1.7506634368345049,212,631992.2386867446,634973.3341522481
96,1.7508867854378118,0,0.0,2981.095465503512
41,1.7708780041365348,0,0.0,2981.095465503512
216,1.7506812218211252,0,0.0,2981.095465503512
61,1.7506675529697797,0,0.0,2981.095465503512
63,1.7506582277221805,0,0.0,2981.095465503512
15,1.7508491262687769,0,0.0,2981.095465503512
54,1.7506615890017565,0,0.0,2981.095465503512
5,1.7506141722237172,0,0.0,2981.095465503512
86,1.7506485324721572,0,0.0,2981.095465503512
175,1.7506589270228499,0,0.0,2981.095465503512
17,1.750644739269913,0,0.0,2981.095465503512
105,1.7506668293683292,0,0.0,2981.095465503512
217,1.7506611523361821,0,0.0,2981.095465503512
258,1.750662680490301,0,0.0,2981.095465503512
