pickup_zone,avg_passenger_count,bkt_tip_amount,tip_amount_start,tip_amount_end
192,1.6708468634725253,86,4.824946785283288,7.448492678135409
238,1.6708464248755208,86,4.824946785283288,7.448492678135409
117,1.670847222166192,99,38.931043392361005,41.554589285213126
235,1.6708470980023653,95,28.436859820952463,31.060405713804585
109,1.670846850824839,92,20.56622214239607,23.189768035248193
58,1.6708470724232032,87,7.448492678135409,10.072038570987559
131,1.670846850824839,124,104.51969071366426,107.14323660651638
183,1.670846850824839,90,15.319130356691801,17.94267624954395
83,1.670846850824839,88,10.072038570987559,12.69558446383968
161,1.670846850824839,94,25.813313928100342,28.436859820952463
145,1.6708464852327247,99,38.931043392361005,41.554589285213126
131,1.670846667453939,77,-18.786966250385888,-16.163420357533766
124,1.670846850824839,89,12.69558446383968,15.319130356691801
67,1.670846850824839,87,7.448492678135409,10.072038570987559
131,1.6708850399913755,85,2.2014008924311668,4.824946785283288
143,1.6708511700337565,87,7.448492678135409,10.072038570987559
259,1.6708464329232233,88,10.072038570987559,12.69558446383968
6,1.6708466743523651,91,17.94267624954395,20.56622214239607
221,1.6708467056807308,86,4.824946785283288,7.448492678135409
74,1.670845904941224,89,12.69558446383968,15.319130356691801
241,1.670846850824839,87,7.448492678135409,10.072038570987559
114,1.670846850824839,109,65.16650232088233,67.79004821373445
131,1.6708467289608233,141,149.1199708921505,151.74351678500267
46,1.670846850824839,88,10.072038570987559,12.69558446383968
239,1.67084691233174,122,99.27259892796002,101.89614482081214
228,1.670846850824839,95,28.436859820952463,31.060405713804585
114,1.670752242797539,84,-0.4221450004209828,2.2014008924311668
97,1.6708474294062494,84,-0.4221450004209828,2.2014008924311668
70,1.6708467309950035,86,4.824946785283288,7.448492678135409
113,1.6708465188604038,91,17.94267624954395,20.56622214239607
58,1.670846976138294,89,12.69558446383968,15.319130356691801
193,1.6708469738386522,93,23.189768035248193,25.813313928100342
144,1.670846759139389,88,10.072038570987559,12.69558446383968
197,1.6708425006629084,84,-0.4221450004209828,2.2014008924311668
235,1.670848516846387,88,10.072038570987559,12.69558446383968
65,1.6708470701235059,89,12.69558446383968,15.319130356691801
253,1.6708470074666866,90,15.319130356691801,17.94267624954395
259,1.670846944809913,91,17.94267624954395,20.56622214239607
19,1.670846976138294,85,2.2014008924311668,4.824946785283288
154,1.6708469738386522,160,198.96734285634102,201.59088874919314
154,1.6708465757684892,148,167.48479214211545,170.10833803496757
2,1.670846850824839,90,15.319130356691801,17.94267624954395
114,1.6708439447181278,87,7.448492678135409,10.072038570987559
75,1.670847064958994,90,15.319130356691801,17.94267624954395
235,1.6708473032216988,91,17.94267624954395,20.56622214239607
-1,1.6708469134815436,113,75.66068589229081,78.28423178514294
145,1.6708469157811525,95,28.436859820952463,31.060405713804585
141,1.6708466999319969,90,15.319130356691801,17.94267624954395
237,1.6708467927672597,85,2.2014008924311668,4.824946785283288
222,1.670846850824839,88,10.072038570987559,12.69558446383968
88,1.67084691233174,89,12.69558446383968,15.319130356691801
15,1.6708599526993813,84,-0.4221450004209828,2.2014008924311668
245,1.670840210988108,85,2.2014008924311668,4.824946785283288
91,1.6708542854101291,84,-0.4221450004209828,2.2014008924311668
229,1.6708461799976748,114,78.28423178514294,80.90777767799511
126,1.6708472267657557,88,10.072038570987559,12.69558446383968
160,1.67084691233174,86,4.824946785283288,7.448492678135409
229,1.6708470353455758,107,59.91941053517803,62.54295642803015
119,1.6708469436601008,88,10.072038570987559,12.69558446383968
229,1.6708468206462816,113,75.66068589229081,78.28423178514294
202,1.6708470689736583,84,-0.4221450004209828,2.2014008924311668
141,1.6708467289608233,91,17.94267624954395,20.56622214239607
83,1.670846850824839,89,12.69558446383968,15.319130356691801
131,1.6708481490982914,95,28.436859820952463,31.060405713804585
203,1.6708465349562103,84,-0.4221450004209828,2.2014008924311668
126,1.6708471730260566,86,4.824946785283288,7.448492678135409
77,1.670846759139389,85,2.2014008924311668,4.824946785283288
53,1.6708466070967851,89,12.69558446383968,15.319130356691801
70,1.6708466070967851,98,36.307497499508884,38.931043392361005
13,1.670846850824839,91,17.94267624954395,20.56622214239607
49,1.6708470376452516,88,10.072038570987559,12.69558446383968
113,1.6708463633686421,90,15.319130356691801,17.94267624954395
85,1.6708469738386522,101,44.17813517806525,46.80168107091737
-1,1.670846850824839,190,277.67371964190494,280.29726553475706
217,1.670846850824839,85,2.2014008924311668,4.824946785283288
57,1.670846484083039,85,2.2014008924311668,4.824946785283288
31,1.670846759139389,127,112.39032839222068,115.0138742850728
239,1.670846850824839,60,-63.38724642887212,-60.763700536019996
226,1.6708449571858333,86,4.824946785283288,7.448492678135409
162,1.6708482824654074,84,-0.4221450004209828,2.2014008924311668
97,1.6708470097663484,86,4.824946785283288,7.448492678135409
181,1.670846027954909,86,4.824946785283288,7.448492678135409
-1,1.670847252344743,115,80.90777767799511,83.53132357084723
227,1.670846850824839,95,28.436859820952463,31.060405713804585
219,1.670846850824839,103,49.425226963769546,52.04877285662167
33,1.67084691233174,101,44.17813517806525,46.80168107091737
129,1.670846850824839,92,20.56622214239607,23.189768035248193
130,1.6708470968525106,86,4.824946785283288,7.448492678135409
135,1.670846850824839,94,25.813313928100342,28.436859820952463
248,1.6708465455899066,141,149.1199708921505,151.74351678500267
116,1.6708463622189897,101,44.17813517806525,46.80168107091737
143,1.67084691233174,94,25.813313928100342,28.436859820952463
219,1.67084691233174,102,46.80168107091737,49.425226963769546
175,1.67084691233174,92,20.56622214239607,23.189768035248193
65,1.670845845976639,85,2.2014008924311668,4.824946785283288
117,1.6708422707845771,89,12.69558446383968,15.319130356691801
155,1.6708477524513112,85,2.2014008924311668,4.824946785283288
96,1.6708446356319848,86,4.824946785283288,7.448492678135409
69,1.6708477001443045,84,-0.4221450004209828,2.2014008924311668
131,1.6708471908377545,107,59.91941053517803,62.54295642803015
15,1.6708470051670272,93,23.189768035248193,25.813313928100342
-1,1.670846850824839,179,248.8147148205315,251.4382607133836
84,1.670846850824839,95,28.436859820952463,31.060405713804585
77,1.67084691233174,87,7.448492678135409,10.072038570987559
141,1.670846667453939,93,23.189768035248193,25.813313928100342
96,1.670846850824839,105,54.67231874947379,57.29586464232591
8,1.670852020815662,87,7.448492678135409,10.072038570987559
253,1.670796409812982,85,2.2014008924311668,4.824946785283288
181,1.6708469186633255,84,-0.4221450004209828,2.2014008924311668
243,1.6708470304634198,85,2.2014008924311668,4.824946785283288
114,1.6708470353455758,122,99.27259892796002,101.89614482081214
70,1.670847410137059,93,23.189768035248193,25.813313928100342
228,1.670846850824839,97,33.683951606656734,36.307497499508884
130,1.6708469772881158,85,2.2014008924311668,4.824946785283288
240,1.6708469738386522,126,109.76678249936856,112.39032839222068
154,1.6708470666739648,105,54.67231874947379,57.29586464232591
136,1.670846759139389,107,59.91941053517803,62.54295642803015
14,1.670846850824839,85,2.2014008924311668,4.824946785283288
236,1.6708469738386522,89,12.69558446383968,15.319130356691801
41,1.6708468821531854,108,62.54295642803015,65.16650232088233
127,1.670846759139389,127,112.39032839222068,115.0138742850728
178,1.670846759139389,92,20.56622214239607,23.189768035248193
14,1.670846759139389,112,73.0371399994387,75.66068589229081
171,1.6708222990723645,85,2.2014008924311668,4.824946785283288
118,1.6708474704941874,85,2.2014008924311668,4.824946785283288
178,1.6708465826667638,85,2.2014008924311668,4.824946785283288
9,1.670846850824839,93,23.189768035248193,25.813313928100342
63,1.670846850824839,93,23.189768035248193,25.813313928100342
128,1.670846850824839,107,59.91941053517803,62.54295642803015
239,1.670846850824839,109,65.16650232088233,67.79004821373445
180,1.670846850824839,103,49.425226963769546,52.04877285662167
140,1.670846850824839,84,-0.4221450004209828,2.2014008924311668
15,1.670846850824839,97,33.683951606656734,36.307497499508884
248,1.6706002098734642,84,-0.4221450004209828,2.2014008924311668
248,1.670846484083039,102,46.80168107091737,49.425226963769546
96,1.6708594582296186,85,2.2014008924311668,4.824946785283288
45,1.670846364518295,91,17.94267624954395,20.56622214239607
