pickup_zone,avg_tip_amount,bkt_tip_percentage,tip_percentage_start,tip_percentage_end
136,1.7623064052853379,895,-0.06705895627459313,0.021506713420407664
239,1.8541176276397557,895,-0.06705895627459313,0.021506713420407664
154,1.8725070087021978,895,-0.06705895627459313,0.021506713420407664
171,1.7486950794813196,897,0.11007238311540846,0.19863805281040925
143,1.7506169417236332,899,0.28720372250541004,0.37576939220041083
145,1.7506339136677287,905,0.8185977406754148,0.9071634103704156
56,1.7506618781818557,902,0.5529007315904124,0.6414664012854132
103,1.750659819904,904,0.730032070980414,0.8185977406754148
184,1.7506632002860443,898,0.19863805281040925,0.28720372250541004
12,1.750661053012806,898,0.19863805281040925,0.28720372250541004
105,1.7506595683132449,899,0.28720372250541004,0.37576939220041083
73,1.7506711413659286,895,-0.06705895627459313,0.021506713420407664
32,1.7506634368345049,895,-0.06705895627459313,0.021506713420407664
208,1.750657617003905,898,0.19863805281040925,0.28720372250541004
225,1.7506639183657322,895,-0.06705895627459313,0.021506713420407664
35,1.7506614428579024,900,0.37576939220041083,0.4643350618954116
243,1.7506629784072552,901,0.4643350618954116,0.5529007315904124
196,1.750659005978815,899,0.28720372250541004,0.37576939220041083
82,1.7506546423661447,898,0.19863805281040925,0.28720372250541004
223,1.7506555518858085,906,0.9071634103704156,0.9957290800654164
229,1.7376752633065844,897,0.11007238311540846,0.19863805281040925
181,1.7506543386734166,897,0.11007238311540846,0.19863805281040925
61,1.7506675362925224,896,0.021506713420407664,0.11007238311540846
37,1.7506656839824986,895,-0.06705895627459313,0.021506713420407664
129,1.7506628640435427,896,0.021506713420407664,0.11007238311540846
158,1.7506625072655269,898,0.19863805281040925,0.28720372250541004
83,1.7506618323391308,898,0.19863805281040925,0.28720372250541004
71,1.750657179362799,904,0.730032070980414,0.8185977406754148
189,1.7506635973448845,895,-0.06705895627459313,0.021506713420407664
74,1.7506616031255058,904,0.730032070980414,0.8185977406754148
-1,1.7410563069969673,897,0.11007238311540846,0.19863805281040925
85,1.7445485386111725,898,0.19863805281040925,0.28720372250541004
155,1.750652444209192,897,0.11007238311540846,0.19863805281040925
87,1.75064609121965,905,0.8185977406754148,0.9071634103704156
54,1.7506603049200746,897,0.11007238311540846,0.19863805281040925
47,1.750663345149055,896,0.021506713420407664,0.11007238311540846
251,1.7506556353796803,900,0.37576939220041083,0.4643350618954116
245,1.7516466904851649,895,-0.06705895627459313,0.021506713420407664
180,1.7506465046658002,899,0.28720372250541004,0.37576939220041083
259,1.750651121504091,900,0.37576939220041083,0.4643350618954116
245,1.7506600005848654,903,0.6414664012854132,0.730032070980414
142,1.7506619561144883,898,0.19863805281040925,0.28720372250541004
203,1.7506624201643335,898,0.19863805281040925,0.28720372250541004
193,1.7506623137484676,900,0.37576939220041083,0.4643350618954116
98,1.7506635973448845,895,-0.06705895627459313,0.021506713420407664
12,1.750663253463605,896,0.021506713420407664,0.11007238311540846
136,1.7506324806920583,903,0.6414664012854132,0.730032070980414
122,1.750653721706551,897,0.11007238311540846,0.19863805281040925
144,1.7506629784072552,901,0.4643350618954116,0.5529007315904124
141,1.7501353102383632,897,0.11007238311540846,0.19863805281040925
126,1.7506108085268355,898,0.19863805281040925,0.28720372250541004
248,1.7505749871037688,901,0.4643350618954116,0.5529007315904124
157,1.7506469569680403,903,0.6414664012854132,0.730032070980414
137,1.7505891879103088,902,0.5529007315904124,0.6414664012854132
212,1.7506608467811338,899,0.28720372250541004,0.37576939220041083
96,1.7506597853054968,902,0.5529007315904124,0.6414664012854132
115,1.750663666169827,895,-0.06705895627459313,0.021506713420407664
162,1.7506614197546058,905,0.8185977406754148,0.9071634103704156
190,1.7506615068557834,898,0.19863805281040925,0.28720372250541004
159,1.750661172203891,905,0.8185977406754148,0.9071634103704156
248,1.7408997593898325,897,0.11007238311540846,0.19863805281040925
239,1.7504951412211456,902,0.5529007315904124,0.6414664012854132
137,1.7501456673759161,899,0.28720372250541004,0.37576939220041083
51,1.7506545342569526,896,0.021506713420407664,0.11007238311540846
228,1.7506575817745014,896,0.021506713420407664,0.11007238311540846
175,1.7506818957210997,895,-0.06705895627459313,0.021506713420407664
131,1.7505755445501372,902,0.5529007315904124,0.6414664012854132
26,1.750662405433926,899,0.28720372250541004,0.37576939220041083
259,1.7506590130719664,905,0.8185977406754148,0.9071634103704156
43,1.7506625199800054,904,0.730032070980414,0.8185977406754148
72,1.759080930209631,895,-0.06705895627459313,0.021506713420407664
87,1.7465603188565457,897,0.11007238311540846,0.19863805281040925
87,1.7506087184081445,900,0.37576939220041083,0.4643350618954116
221,1.7506867083962379,895,-0.06705895627459313,0.021506713420407664
137,1.7505302316003817,901,0.4643350618954116,0.5529007315904124
161,1.7506249907758373,898,0.19863805281040925,0.28720372250541004
70,1.7506541768439732,902,0.5529007315904124,0.6414664012854132
55,1.7506622220630093,900,0.37576939220041083,0.4643350618954116
217,1.750662996744345,898,0.19863805281040925,0.28720372250541004
198,1.7506592892261086,896,0.021506713420407664,0.11007238311540846
121,1.7506645604077806,895,-0.06705895627459313,0.021506713420407664
137,1.7505804630577868,905,0.8185977406754148,0.9071634103704156
253,1.7506439744966615,904,0.730032070980414,0.8185977406754148
51,1.7506624742587589,900,0.37576939220041083,0.4643350618954116
82,1.7506628867218053,897,0.11007238311540846,0.19863805281040925
192,1.7506594026747069,903,0.6414664012854132,0.730032070980414
96,1.7503076224625884,897,0.11007238311540846,0.19863805281040925
164,1.750629083103894,905,0.8185977406754148,0.9071634103704156
79,1.7506628867218053,902,0.5529007315904124,0.6414664012854132
118,1.7506512224776212,898,0.19863805281040925,0.28720372250541004
181,1.7506631389175928,899,0.28720372250541004,0.37576939220041083
137,1.750641578635791,904,0.730032070980414,0.8185977406754148
6,1.7506577294755492,906,0.9071634103704156,0.9957290800654164
140,1.7506634368345049,895,-0.06705895627459313,0.021506713420407664
106,1.7456257970286297,897,0.11007238311540846,0.19863805281040925
90,1.7506653629610034,895,-0.06705895627459313,0.021506713420407664
210,1.7506645604077806,895,-0.06705895627459313,0.021506713420407664
203,1.7506607469570044,897,0.11007238311540846,0.19863805281040925
150,1.7506605029001063,902,0.5529007315904124,0.6414664012854132
219,1.7506567209355073,900,0.37576939220041083,0.4643350618954116
151,1.7506602278437564,906,0.9071634103704156,0.9957290800654164
61,1.7505646522898881,898,0.19863805281040925,0.28720372250541004
49,1.7505916515297522,898,0.19863805281040925,0.28720372250541004
145,1.750634470212711,902,0.5529007315904124,0.6414664012854132
84,1.75066728909174,895,-0.06705895627459313,0.021506713420407664
228,1.7506594717411141,899,0.28720372250541004,0.37576939220041083
22,1.7506564001567677,904,0.730032070980414,0.8185977406754148
228,1.7505077320656635,906,0.9071634103704156,0.9957290800654164
18,1.7506612360124827,898,0.19863805281040925,0.28720372250541004
90,1.7506621606944623,897,0.11007238311540846,0.19863805281040925
8,1.7478033303575826,898,0.19863805281040925,0.28720372250541004
154,1.7501607310227432,901,0.4643350618954116,0.5529007315904124
94,1.7505805766981755,897,0.11007238311540846,0.19863805281040925
221,1.7506571501911181,896,0.021506713420407664,0.11007238311540846
156,1.7506660050041114,895,-0.06705895627459313,0.021506713420407664
74,1.7506487671625115,906,0.9071634103704156,0.9957290800654164
91,1.7506590735843688,903,0.6414664012854132,0.730032070980414
248,1.7521209724486957,896,0.021506713420407664,0.11007238311540846
117,1.7504369474941994,900,0.37576939220041083,0.4643350618954116
33,1.7506433808192925,906,0.9071634103704156,0.9957290800654164
163,1.7506616031255058,901,0.4643350618954116,0.5529007315904124
177,1.7506625411284042,897,0.11007238311540846,0.19863805281040925
248,1.7506005670035814,905,0.8185977406754148,0.9071634103704156
161,1.7506210576539578,897,0.11007238311540846,0.19863805281040925
29,1.7506685731812526,895,-0.06705895627459313,0.021506713420407664
119,1.75068927021605,895,-0.06705895627459313,0.021506713420407664
188,1.7506534121922623,898,0.19863805281040925,0.28720372250541004
145,1.7506570188530077,907,0.9957290800654164,1.0842947497604172
9,1.7506616031255058,903,0.6414664012854132,0.730032070980414
137,1.6833388930215039,897,0.11007238311540846,0.19863805281040925
171,1.7506168978034153,899,0.28720372250541004,0.37576939220041083
75,1.7505849276408256,902,0.5529007315904124,0.6414664012854132
119,1.7506519025612424,897,0.11007238311540846,0.19863805281040925
85,1.750635293491616,903,0.6414664012854132,0.730032070980414
196,1.7506602278437564,904,0.730032070980414,0.8185977406754148
255,1.7506616031255058,902,0.5529007315904124,0.6414664012854132
180,1.7506578899854204,903,0.6414664012854132,0.730032070980414
41,1.7346568271957326,898,0.19863805281040925,0.28720372250541004
227,1.7501429296546944,897,0.11007238311540846,0.19863805281040925
91,1.7506266945299376,898,0.19863805281040925,0.28720372250541004
64,1.7506614428579024,901,0.4643350618954116,0.5529007315904124
141,1.7506606862710061,903,0.6414664012854132,0.730032070980414
257,1.7506633911134266,896,0.021506713420407664,0.11007238311540846
215,1.750628931303732,906,0.9071634103704156,0.9957290800654164
71,1.7506442749298874,901,0.4643350618954116,0.5529007315904124
227,1.7506628225419902,903,0.6414664012854132,0.730032070980414
127,1.750656117705348,905,0.8185977406754148,0.9071634103704156
133,1.7506627950363554,903,0.6414664012854132,0.730032070980414
9,1.7507046513784033,895,-0.06705895627459313,0.021506713420407664
135,1.7506633158051028,896,0.021506713420407664,0.11007238311540846
51,1.7504740508007492,898,0.19863805281040925,0.28720372250541004
251,1.7506698572726487,895,-0.06705895627459313,0.021506713420407664
