pickup_zone,avg_trip_distance,bkt_tip_percentage,tip_percentage_start,tip_percentage_end
136,4.664630555284057,895,-0.06705895627459313,0.021506713420407664
239,4.811946980896834,895,-0.06705895627459313,0.021506713420407664
154,4.821102877727417,895,-0.06705895627459313,0.021506713420407664
171,4.657438442070092,897,0.11007238311540846,0.19863805281040925
143,4.648228717545328,899,0.28720372250541004,0.37576939220041083
145,4.648199303776605,905,0.8185977406754148,0.9071634103704156
56,4.6481976116671255,902,0.5529007315904124,0.6414664012854132
103,4.64819804517409,904,0.730032070980414,0.8185977406754148
184,4.648197497060313,898,0.19863805281040925,0.28720372250541004
12,4.648195469895015,898,0.19863805281040925,0.28720372250541004
105,4.648199745370683,899,0.28720372250541004,0.37576939220041083
73,4.6482025529373265,895,-0.06705895627459313,0.021506713420407664
32,4.648197165158984,895,-0.06705895627459313,0.021506713420407664
208,4.64819446127867,898,0.19863805281040925,0.28720372250541004
225,4.648196576959206,895,-0.06705895627459313,0.021506713420407664
35,4.648198478515962,900,0.37576939220041083,0.4643350618954116
243,4.64819771252112,901,0.4643350618954116,0.5529007315904124
196,4.648196509698103,899,0.28720372250541004,0.37576939220041083
82,4.648191175348538,898,0.19863805281040925,0.28720372250541004
223,4.648197740026755,906,0.9071634103704156,0.9957290800654164
229,4.675680730456485,897,0.11007238311540846,0.19863805281040925
181,4.648190624424134,897,0.11007238311540846,0.19863805281040925
61,4.648199273872479,896,0.021506713420407664,0.11007238311540846
37,4.648199753879011,895,-0.06705895627459313,0.021506713420407664
129,4.648195246437492,896,0.021506713420407664,0.11007238311540846
158,4.6481977030220865,898,0.19863805281040925,0.28720372250541004
83,4.648195162748757,898,0.19863805281040925,0.28720372250541004
71,4.648197760032315,904,0.730032070980414,0.8185977406754148
189,4.648198165282041,895,-0.06705895627459313,0.021506713420407664
74,4.648197740026755,904,0.730032070980414,0.8185977406754148
-1,4.661477875704777,897,0.11007238311540846,0.19863805281040925
85,4.64848552766127,898,0.19863805281040925,0.28720372250541004
155,4.648202097464382,897,0.11007238311540846,0.19863805281040925
87,4.648199435217066,905,0.8185977406754148,0.9071634103704156
54,4.648196515860645,897,0.11007238311540846,0.19863805281040925
47,4.648197326525376,896,0.021506713420407664,0.11007238311540846
251,4.648196130781719,900,0.37576939220041083,0.4643350618954116
245,4.6490392176448765,895,-0.06705895627459313,0.021506713420407664
180,4.648207855268287,899,0.28720372250541004,0.37576939220041083
259,4.648197970759941,900,0.37576939220041083,0.4643350618954116
245,4.648198390663087,903,0.6414664012854132,0.730032070980414
142,4.648196139198799,898,0.19863805281040925,0.28720372250541004
203,4.648197317026272,898,0.19863805281040925,0.28720372250541004
193,4.648197797623353,900,0.37576939220041083,0.4643350618954116
98,4.648197661928874,895,-0.06705895627459313,0.021506713420407664
12,4.6481969854555025,896,0.021506713420407664,0.11007238311540846
136,4.648205729968425,903,0.6414664012854132,0.730032070980414
122,4.648185946198845,897,0.11007238311540846,0.19863805281040925
144,4.64819769418403,901,0.4643350618954116,0.5529007315904124
141,4.649577839144418,897,0.11007238311540846,0.19863805281040925
126,4.648197523839171,898,0.19863805281040925,0.28720372250541004
248,4.648223553141019,901,0.4643350618954116,0.5529007315904124
157,4.648200499025773,903,0.6414664012854132,0.730032070980414
137,4.648195435592101,902,0.5529007315904124,0.6414664012854132
212,4.648197909479612,899,0.28720372250541004,0.37576939220041083
96,4.648199512397965,902,0.5529007315904124,0.6414664012854132
115,4.648196589960519,895,-0.06705895627459313,0.021506713420407664
162,4.648197740026755,905,0.8185977406754148,0.9071634103704156
190,4.648197740026755,898,0.19863805281040925,0.28720372250541004
159,4.648197740026755,905,0.8185977406754148,0.9071634103704156
248,4.253705767242526,897,0.11007238311540846,0.19863805281040925
239,4.648266864991974,902,0.5529007315904124,0.6414664012854132
137,4.648022491883659,899,0.28720372250541004,0.37576939220041083
51,4.6481669433824395,896,0.021506713420407664,0.11007238311540846
228,4.648176169802852,896,0.021506713420407664,0.11007238311540846
175,4.648206141504347,895,-0.06705895627459313,0.021506713420407664
131,4.648182966168855,902,0.5529007315904124,0.6414664012854132
26,4.648197762782879,899,0.28720372250541004,0.37576939220041083
259,4.648198166198895,905,0.8185977406754148,0.9071634103704156
43,4.648197740026755,904,0.730032070980414,0.8185977406754148
72,4.659768343499385,895,-0.06705895627459313,0.021506713420407664
87,4.670326082654157,897,0.11007238311540846,0.19863805281040925
87,4.648239589581142,900,0.37576939220041083,0.4643350618954116
221,4.6481253101872095,895,-0.06705895627459313,0.021506713420407664
137,4.648180762459865,901,0.4643350618954116,0.5529007315904124
161,4.648198123461428,898,0.19863805281040925,0.28720372250541004
70,4.648197399212647,902,0.5529007315904124,0.6414664012854132
55,4.648197740778369,900,0.37576939220041083,0.4643350618954116
217,4.648197199082601,898,0.19863805281040925,0.28720372250541004
198,4.648175984602326,896,0.021506713420407664,0.11007238311540846
121,4.6481987089027506,895,-0.06705895627459313,0.021506713420407664
137,4.648198984967352,905,0.8185977406754148,0.9071634103704156
253,4.648201466143257,904,0.730032070980414,0.8185977406754148
51,4.648198360406883,900,0.37576939220041083,0.4643350618954116
82,4.648196703981171,897,0.11007238311540846,0.19863805281040925
192,4.648197170660111,903,0.6414664012854132,0.730032070980414
96,4.648678335958512,897,0.11007238311540846,0.19863805281040925
164,4.6482014592305685,905,0.8185977406754148,0.9071634103704156
79,4.648197740026755,902,0.5529007315904124,0.6414664012854132
118,4.648197123254777,898,0.19863805281040925,0.28720372250541004
181,4.6481980900999655,899,0.28720372250541004,0.37576939220041083
