avg_tip_percentage,bkt_total_amount,val_start,val_end
0.93808630394,49,825.8273805003837,862.24018418406500
0.2955795323325,41,534.5249510309333,570.93775471461460
0.26667568187338286,38,425.2865399798894,461.69934366357070
0.25,54,1007.8913989187902,1044.30420260247150
0.236146095718,52,935.0657915514276,971.47859523510890
0.230767961453,59,1189.9554173371967,1226.36822102087800
0.230767898583,58,1153.5426136535154,1189.95541733719670
0.2307494032768,61,1262.7810247045593,1299.19382838824060
0.230742189217,57,1117.1298099698341,1153.54261365351540
0.230741556865,56,1080.7170062861528,1117.12980996983410
0.1986466853742,53,971.4785952351089,1007.89139891879020
0.16139604220652,39,461.6993436635707,498.11214734725200
0.15068270051699406,28,61.1585031430764,97.57130682675770
0.1433106824608322,36,352.4609326125268,388.87373629620810
0.14066532166457799,29,97.5713068267577,133.98411051043900
0.13890334254408876,40,498.1121473472520,534.52495103093330
0.12580555213140696,32,206.8097178778016,243.22252156148290
0.1237792798878001,34,279.6353252451642,316.04812892884550
0.1200135798282951,31,170.3969141941203,206.80971787780160
0.11486380605825676,27,24.7456994593951,61.15850314307640
0.11392655900005833,42,570.9377547146146,607.35055839829590
0.11327463158908184,35,316.0481289288455,352.46093261252680
0.1117214202874629,30,133.9841105104390,170.39691419412030
0.1038909665053757,33,243.2225215614829,279.63532524516420
0.10155643863646363,37,388.8737362962081,425.28653997988940
0.10010281602986666,45,680.1761657656585,716.58896944933980
0.09962953866958564,26,-11.6671042242862,24.74569945939510
0.057691793012,46,716.5889694493398,753.00177313302110
0.05769167932825,43,607.3505583982959,643.76336208197720
0.038461247479666665,50,862.2401841840650,898.65298786774630
0.0010014220192666667,44,643.7633620819772,680.17616576565850
0.0,19,-266.5567300100553,-230.14392632637400
0.0,0,-958.4000000000000,-921.98719631631870
0.0,22,-157.3183189590114,-120.90551527533010
0.0,136,3993.7413009806568,4030.15410466433810
0.0,25,-48.0799079079675,-11.66710422428620
0.0,51,898.6529878677463,935.06579155142760
0.0,246,7999.1497061855998,8035.56250986928110
0.0,48,789.4145768167024,825.82738050038370
0.0,66,1444.8450431229658,1481.25784680664710
0.0,3082,111265.8609531057666,111302.27375678944790
0.0,163,4976.8870004400519,5013.29980412373320
0.0,18,-302.9695336937366,-266.55673001005530
0.0,14,-448.6207484284618,-412.20794474478050
0.0,21,-193.7311226426927,-157.31831895901140
0.0,15,-412.2079447447805,-375.79514106109920
0.0,23,-120.9055152753301,-84.49271159164880
0.0,20,-230.1439263263740,-193.73112264269270
0.0,109,3010.5956015212617,3047.00840520494300
0.0,47,753.0017731330211,789.41457681670240
0.0,24,-84.4927115916488,-48.07990790796750
