avg_trip_distance,bkt_tip_percentage,val_start,val_end
12.875609756097557,907,0.99572908006541722,1.084294749760417680
6.277492986708981,895,-0.06705895627458830,0.021506713420412160
5.2,0,-79.33333333330000000,-79.244767663604999540
3.919539308911198,897,0.11007238311541262,0.198638052810413080
3.554629422455235,896,0.02150671342041216,0.110072383115412620
3.0275100409807525,898,0.19863805281041308,0.287203722505413540
2.4980786460925812,901,0.46433506189541446,0.552900731590414920
2.2191735537190085,906,0.90716341037041676,0.995729080065417220
1.942361308677098,905,0.81859774067541630,0.907163410370416760
1.8569964041214284,899,0.28720372250541354,0.375769392200414000
1.7273865566610016,900,0.37576939220041400,0.464335061895414460
1.6160794297352352,902,0.55290073159041492,0.641466401285415380
1.2716419612314704,904,0.73003207098041584,0.818597740675416300
1.1693193338160752,903,0.64146640128541538,0.730032070980415840
