avg_total_amount,bkt_tip_amount,val_start,val_end
213.712,133,128.1316037493334762,130.75514964218560760
210.3,163,206.8379805348974182,209.46152642774954960
209.8,162,204.2144346420452868,206.83798053489741820
209.07,139,143.8728791064462646,146.49642499929839600
205.99777777777777,120,94.0255071422557680,96.64905303510789940
204.80153846153846,141,149.1199708921505274,151.74351678500265880
200.8,143,154.3670626778547902,156.99060857070692160
197.73833333333334,124,104.5196907136642936,107.14323660651642500
191.8,137,138.6257873207420018,141.24933321359413320
190.7,155,185.8496133920803670,188.47315928493249840
189.70000000000002,154,183.2260674992282356,185.84961339208036700
186.8,153,180.6025216063761042,183.22606749922823560
186.1,152,177.9789757135239728,180.60252160637610420
181.50048780487805,104,52.0487728566216656,54.67231874947379700
177.29130434782607,118,88.7784153565515052,91.40196124940363660
176.82714285714286,128,115.0138742850728192,117.63742017792495060
174.552,113,75.6606858922908482,78.28423178514297960
168.73714285714286,117,86.1548694636993738,88.77841535655150520
164.67199999999997,119,91.4019612494036366,94.02550714225576800
162.7839534883721,106,57.2958646423259284,59.91941053517805980
161.88,136,136.0022414278898704,138.62578732074200180
161.04,130,120.2609660707770820,122.88451196362921340
155.8,142,151.7435167850026588,154.36706267785479020
154.70102040816326,122,99.2725989279600308,101.89614482081216220
151.0,140,146.4964249992983960,149.11997089215052740
150.2084285714286,110,67.7900482137344540,70.41359410658658540
149.9440151515152,100,41.5545892852131400,44.17813517806527140
147.3,135,133.3786955350377390,136.00224142788987040
144.56394736842103,114,78.2842317851429796,80.90777767799511100
139.65864406779664,107,59.9194105351780598,62.54295642803019120
139.01179856115112,101,44.1781351780652714,46.80168107091740280
136.51598484848492,98,36.3074974995088772,38.93104339236100860
136.42573333333337,102,46.8016810709174028,49.42522696376953420
136.01424242424233,96,31.0604057138046144,33.68395160665674580
135.67000000000002,132,125.5080578564813448,128.13160374933347620
134.2,123,101.8961448208121622,104.51969071366429360
133.30789297658862,97,33.6839516066567458,36.30749749950887720
133.05,131,122.8845119636292134,125.50805785648134480
130.80631578947367,111,70.4135941065865854,73.03713999943871680
129.3041935483871,109,65.1665023208823226,67.79004821373445400
128.12818181818182,126,109.7667824993685564,112.39032839222068780
125.40457831325303,105,54.6723187494737970,57.29586464232592840
125.39222222222222,129,117.6374201779249506,120.26096607077708200
123.45653061224473,94,25.8133139281003516,28.43685982095248300
119.97471428571428,99,38.9310433923610086,41.55458928521314000
119.15249999999999,108,62.5429564280301912,65.16650232088232260
117.82651773981591,95,28.4368598209524830,31.06040571380461440
113.38000000000001,116,83.5313235708472424,86.15486946369937380
111.42987654320987,103,49.4252269637695342,52.04877285662166560
108.19951117318432,93,23.1897680352482202,25.81331392810035160
106.44058823529411,115,80.9077776779951110,83.53132357084724240
101.43243214475787,92,20.5662221423960888,23.18976803524822020
90.85468105607953,91,17.9426762495439574,20.56622214239608880
81.52521299764939,90,15.3191303566918260,17.94267624954395740
71.63651846460284,89,12.6955844638396946,15.31913035669182600
64.81573080038578,88,10.0720385709875632,12.69558446383969460
50.4900371621873,87,7.4484926781354318,10.07203857098756320
35.66800766851194,86,4.8249467852833004,7.44849267813543180
18.204553709141237,85,2.2014008924311690,4.82494678528330040
11.82665284681022,84,-0.4221450004209624,2.20140089243116900
0.3,75,-24.0340580360901450,-21.41051214323801360
-6.74990099009901,83,-3.0456908932730938,-0.42214500042096240
-28.08,81,-8.2927826789773566,-5.66923678612522520
-38.63,71,-34.5282416074986706,-31.90469571464653920
-40.94,70,-37.1517875003508020,-34.52824160749867060
-47.235,79,-13.5398744646816194,-10.91632857182948800
-55.8,82,-5.6692367861252252,-3.04569089327309380
-63.35999999999999,80,-10.9163285718294880,-8.29278267897735660
-66.8,60,-63.3872464288721160,-60.76370053601998460
-68.8,59,-66.0107923217242474,-63.38724642887211600
-73.8,57,-71.2578841074285102,-68.63433821457637880
-75.84,77,-18.7869662503858822,-16.16342035753375080
-227.1,0,-220.8000000000000000,-218.17645410714786860
