avg_tip_amount,bkt_tip_percentage,val_start,val_end
111.29756097560976,907,0.99572908006541722,1.084294749760417680
83.50473140495872,906,0.90716341037041676,0.995729080065417220
37.33716927453769,905,0.81859774067541630,0.907163410370416760
21.120535917901936,904,0.73003207098041584,0.818597740675416300
15.462186821144098,903,0.64146640128541538,0.730032070980415840
12.846985743380854,902,0.55290073159041492,0.641466401285415380
12.767787456445964,901,0.46433506189541446,0.552900731590414920
6.9294794952681515,900,0.37576939220041400,0.464335061895414460
4.79193589654932,899,0.28720372250541354,0.375769392200414000
3.8157458917014173,898,0.19863805281041308,0.287203722505413540
2.685253325939653,897,0.11007238311541262,0.198638052810413080
1.4962832617836237,896,0.02150671342041216,0.110072383115412620
4.958921885098496E-4,895,-0.06705895627458830,0.021506713420412160
-23.8,0,-79.33333333330000000,-79.244767663604999540
