avg_tip_amount,bkt_trip_distance,val_start,val_end
3.06,1565,4665414.403512996280,4668395.4989784997920
1.7506641193395933,0,0E-12,2981.0954655035120
0.0,94,280222.973757330128,283204.0692228336400
0.0,212,631992.238686744544,634973.3341522480560
0.0,554,1651526.887888945648,1654507.9833544491600
0.0,818,2438536.090781872816,2441517.1862473763280
0.0,2683,7998279.133945922696,8001260.2294114262080
0.0,470,1401114.868786650640,1404095.9642521541520
