avg_passenger_count,bkt_total_amount,val_start,val_end
4.0,0,-958.4000000000000,-921.98719631631870
3.0,57,1117.1298099698341,1153.54261365351540
3.0,56,1080.7170062861528,1117.12980996983410
3.0,59,1189.9554173371967,1226.36822102087800
2.6666666666666665,44,643.7633620819772,680.17616576565850
2.3333333333333335,50,862.2401841840650,898.65298786774630
2.25,46,716.5889694493398,753.00177313302110
2.0,19,-266.5567300100553,-230.14392632637400
2.0,58,1153.5426136535154,1189.95541733719670
1.8,53,971.4785952351089,1007.89139891879020
1.7714285714285714,39,461.6993436635707,498.11214734725200
1.75,43,607.3505583982959,643.76336208197720
1.75,52,935.0657915514276,971.47859523510890
1.7189349112426036,24,-84.4927115916488,-48.07990790796750
1.7007299270072993,25,-48.0799079079675,-11.66710422428620
1.6988141662946021,27,24.7456994593951,61.15850314307640
1.6882767191383596,28,61.1585031430764,97.57130682675770
1.6672412454742453,26,-11.6671042242862,24.74569945939510
1.6666666666666667,45,680.1761657656585,716.58896944933980
1.6590909090909092,37,388.8737362962081,425.28653997988940
1.6470588235294117,23,-120.9055152753301,-84.49271159164880
1.625,40,498.1121473472520,534.52495103093330
1.6,61,1262.7810247045593,1299.19382838824060
1.5837689133425035,29,97.5713068267577,133.98411051043900
1.5,54,1007.8913989187902,1044.30420260247150
1.5,41,534.5249510309333,570.93775471461460
1.5,48,789.4145768167024,825.82738050038370
1.4390243902439024,38,425.2865399798894,461.69934366357070
1.4215328467153285,31,170.3969141941203,206.80971787780160
1.414012738853503,34,279.6353252451642,316.04812892884550
1.406891495601173,30,133.9841105104390,170.39691419412030
1.405693950177936,33,243.2225215614829,279.63532524516420
1.3177777777777777,32,206.8097178778016,243.22252156148290
1.305084745762712,36,352.4609326125268,388.87373629620810
1.2857142857142858,22,-157.3183189590114,-120.90551527533010
1.2727272727272727,35,316.0481289288455,352.46093261252680
1.25,20,-230.1439263263740,-193.73112264269270
1.1666666666666667,42,570.9377547146146,607.35055839829590
1.0,136,3993.7413009806568,4030.15410466433810
1.0,51,898.6529878677463,935.06579155142760
1.0,246,7999.1497061855998,8035.56250986928110
1.0,49,825.8273805003837,862.24018418406500
1.0,66,1444.8450431229658,1481.25784680664710
1.0,3082,111265.8609531057666,111302.27375678944790
1.0,163,4976.8870004400519,5013.29980412373320
1.0,18,-302.9695336937366,-266.55673001005530
1.0,14,-448.6207484284618,-412.20794474478050
1.0,15,-412.2079447447805,-375.79514106109920
1.0,109,3010.5956015212617,3047.00840520494300
1.0,47,753.0017731330211,789.41457681670240
0.6,21,-193.7311226426927,-157.31831895901140
