avg_total_amount,bkt_trip_distance,val_start,val_end
28.3,2683,7998279.133945922696,8001260.2294114262080
18.36,1565,4665414.403512996280,4668395.4989784997920
15.641399984835532,0,0E-12,2981.0954655035120
4.3,212,631992.238686744544,634973.3341522480560
3.8,470,1401114.868786650640,1404095.9642521541520
3.3,94,280222.973757330128,283204.0692228336400
3.3,554,1651526.887888945648,1654507.9833544491600
3.3,818,2438536.090781872816,2441517.1862473763280
