avg_passenger_count,bkt_tip_percentage,val_start,val_end
1.7017955977842933,895,-0.06705895627458830,0.021506713420412160
1.7008613119307274,898,0.19863805281041308,0.287203722505413540
1.674643584521385,902,0.55290073159041492,0.641466401285415380
1.6468093304577023,897,0.11007238311541262,0.198638052810413080
1.6267884702219286,896,0.02150671342041216,0.110072383115412620
1.5935452560058239,900,0.37576939220041400,0.464335061895414460
1.578486964940184,899,0.28720372250541354,0.375769392200414000
1.573546180159635,904,0.73003207098041584,0.818597740675416300
1.5689397710303634,901,0.46433506189541446,0.552900731590414920
1.5409123823316437,903,0.64146640128541538,0.730032070980415840
1.5192034139402562,905,0.81859774067541630,0.907163410370416760
1.415289256198347,906,0.90716341037041676,0.995729080065417220
1.048780487804878,907,0.99572908006541722,1.084294749760417680
1.0,0,-79.33333333330000000,-79.244767663604999540
