avg_tip_percentage,bkt_tip_amount,val_start,val_end
0.998708566509,172,230.4498935705666008,233.07343946341873220
0.993390747046,273,495.4280287486318722,498.05157464148400360
0.993233426871,464,996.5252942833889696,999.14884017624110100
0.990971921661,255,448.2042026772935070,450.82774857014563840
0.988717339667,211,332.7681833917997254,335.39172928465185680
0.98643649815,175,238.3205312491229950,240.94407714197512640
0.986151909358,173,233.0734394634187322,235.69698535627086360
0.984308131241,163,206.8379805348974182,209.46152642774954960
0.98231812933,291,542.6518548199702374,545.27540071282236880
0.981887511916,162,204.2144346420452868,206.83798053489741820
0.980073413739,155,185.8496133920803670,188.47315928493249840
0.97965738758,153,180.6025216063761042,183.22606749922823560
0.975609756098,142,151.7435167850026588,154.36706267785479020
0.974162874275,154,183.2260674992282356,185.84961339208036700
0.971523178808,140,146.4964249992983960,149.11997089215052740
0.969892823632,253,442.9571108915892442,445.58065678444137560
0.9648080167477999,152,177.9789757135239728,180.60252160637610420
0.9554630614556666,180,251.4382607133836520,254.06180660623578340
0.9532629223590001,129,117.6374201779249506,120.26096607077708200
0.944584382872,427,899.4540962478601078,902.07764214071223920
0.93808630394,389,799.7593523194791146,802.38289821233124600
0.935997976221,225,369.4978258917295650,372.12137178458169640
0.934003105896,131,122.8845119636292134,125.50805785648134480
0.931749506858,132,125.5080578564813448,128.13160374933347620
0.9315094812546666,160,198.9673428563410240,201.59088874919315540
0.91649694501,135,133.3786955350377390,136.00224142788987040
0.912408759124,293,547.8989466056745002,550.52249249852663160
0.9019086451251175,115,80.9077776779951110,83.53132357084724240
0.8919655441906363,126,109.7667824993685564,112.39032839222068780
0.883261890489,236,398.3568307131030104,400.98037660595514180
0.882352941176,235,395.7332848202508790,398.35683071310301040
0.8744760900726667,168,219.9557099991580752,222.57925589201020660
0.852483320979,136,136.0022414278898704,138.62578732074200180
0.8518506426572857,128,115.0138742850728192,117.63742017792495060
0.8470481645515999,145,159.6141544635590530,162.23770035641118440
0.8460343029586667,179,248.8147148205315206,251.43826071338365200
0.8280532212885,156,188.4731592849324984,191.09670517778462980
0.8141435960260001,123,101.8961448208121622,104.51969071366429360
0.8111816668027501,130,120.2609660707770820,122.88451196362921340
0.8023423931419231,141,149.1199708921505274,151.74351678500265880
0.7998462843111999,116,83.5313235708472424,86.15486946369937380
0.779788232841,137,138.6257873207420018,141.24933321359413320
0.776892430279,143,154.3670626778547902,156.99060857070692160
0.77241164079,159,196.3437969634888926,198.96734285634102400
0.7574960447625,139,143.8728791064462646,146.49642499929839600
0.7561936989620001,119,91.4019612494036366,94.02550714225576800
0.7539752359114,133,128.1316037493334762,130.75514964218560760
0.7482483774516939,122,99.2725989279600308,101.89614482081216220
0.748119015048,217,348.5094587489125138,351.13300464176464520
0.7233383637203158,114,78.2842317851429796,80.90777767799511100
0.7196725032893333,147,164.8612462492633158,167.48479214211544720
0.709975380893,111,70.4135941065865854,73.03713999943871680
0.7054956953364723,108,62.5429564280301912,65.16650232088232260
0.7012425573764285,117,86.1548694636993738,88.77841535655150520
0.6856616680726667,124,104.5196907136642936,107.14323660651642500
0.6730272445524444,120,94.0255071422557680,96.64905303510789940
0.6716820168433913,118,88.7784153565515052,91.40196124940363660
0.6703523116214194,109,65.1665023208823226,67.79004821373445400
0.6574811765553713,110,67.7900482137344540,70.41359410658658540
0.6515228025417,113,75.6606858922908482,78.28423178514297960
0.6512425292561524,107,59.9194105351780598,62.54295642803019120
0.641716274427,134,130.7551496421856076,133.37869553503773900
0.6345081929668889,198,298.6620867847220172,301.28563267757414860
0.6184046070081206,105,54.6723187494737970,57.29586464232592840
0.6164546173104801,103,49.4252269637695342,52.04877285662166560
0.614848839806,190,277.6737196419049660,280.29726553475709740
0.5758678407685,148,167.4847921421154472,170.10833803496757860
0.5420348150712826,112,73.0371399994387168,75.66068589229084820
0.5338366335439201,102,46.8016810709174028,49.42522696376953420
0.5296007979255,181,254.0618066062357834,256.68535249908791480
0.5185891049699303,106,57.2958646423259284,59.91941053517805980
0.5,282,519.0399417843010548,521.66348767715318620
0.4921294330662673,99,38.9310433923610086,41.55458928521314000
0.4832337441811381,101,44.1781351780652714,46.80168107091740280
0.4764397066336667,127,112.3903283922206878,115.01387428507281920
0.445711644374878,104,52.0487728566216656,54.67231874947379700
0.425873844918,164,209.4615264277495496,212.08507232060168100
0.40717880692125746,98,36.3074974995088772,38.93104339236100860
0.40237491561459837,100,41.5545892852131400,44.17813517806527140
0.3688433112015639,97,33.6839516066567458,36.30749749950887720
0.3637220452263333,121,96.6490530351078994,99.27259892796003080
0.3581136016728387,95,28.4368598209524830,31.06040571380461440
0.3343461325497107,96,31.0604057138046144,33.68395160665674580
0.2941722900412888,93,23.1897680352482202,25.81331392810035160
0.2817304165661003,94,25.8133139281003516,28.43685982095248300
0.27008207532720635,91,17.9426762495439574,20.56622214239608880
0.2673993841603333,138,141.2493332135941332,143.87287910644626460
0.2630365990939131,92,20.5662221423960888,23.18976803524822020
0.258241891772,161,201.5908887491931554,204.21443464204528680
0.2582417582415,125,107.1432366065164250,109.76678249936855640
0.230767898583,185,264.5559901776443090,267.17953607049644040
0.230767172048,149,170.1083380349675786,172.73188392781971000
0.230747144276,197,296.0385408918698858,298.66208678472201720
0.230742189217,184,261.9324442847921776,264.55599017764430900
0.21787828616130506,90,15.3191303566918260,17.94267624954395740
0.2073625460451161,89,12.6955844638396946,15.31913035669182600
0.1806631988360467,87,7.4484926781354318,10.07203857098756320
0.17921602050551289,88,10.0720385709875632,12.69558446383969460
